sample_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0,0.84923303,0.6679227,0.27032346,-0.05245952,-0.5442839,-0.23207588,-0.2522007,0.19589502,-0.25737375,-0.38733247,-0.6191417,0.57974565,-0.09828707,0.19240564,0.18080571,0.085513555,0.25842136,0.046165183,-0.36080045,0.20572229,0.5642349,-0.27537102,-0.438766,-0.91142565,0.07693371,-0.2611982,0.9091422,-0.072321884,-0.44461754,-0.00015119667,-0.7936385,-0.78324765,-0.521962,-0.058268033,-0.67560184,0.3621474,-0.08651005,0.022854198,0.13914071,-0.7315795,-0.43717375,-0.1436363,-0.69540066,0.36760744,0.43709904,0.23764697,-0.27947348,-0.22466768,-0.1445764,-0.68565327,0.7138793,0.7250499,0.24975759,0.5337768,0.20427391,0.7758476,0.51355714,-0.7513568,-0.24631095,0.32582617,-0.062609546,0.22286592,0.20109342,0.27431995,0.6161206,0.5446955,-0.17982516,0.24894087,0.551757,0.09656801,-0.62745595,-0.8800601,0.31251967,0.1244724,-0.17088163,-0.432741,-0.47919193,-0.2184169,-0.22835772,-0.048188422,-0.57423526,-0.12620755,-0.78835565,-0.34429523,-0.07733102,0.7431697,0.18877247,0.009980779,0.26675853,-0.38110864,0.4682174,-0.24414717,-0.6028066,0.58451474,-0.17930731,0.43038556,-0.4930075,-0.004858495,0.12853038,-0.62832075,-0.18218113,-0.61701596,0.13249117,0.3712952,0.9287744,0.121377334,0.55112535,-0.7730304,-0.45437926,-0.7206671,-0.30878717,-0.06143716,-0.18801533,0.0032887645,-0.004339582,0.27142072,-0.35515442,0.8128844,0.8894467,-0.7416018,0.28434014,0.03891125,0.3455914,0.5937499,0.06236415,0.9605278,0.11638138,-0.20327552
1,0.46543613,0.69917,-0.68115836,-0.13902743,0.121347085,-0.30953258,-0.004633655,0.03940221,-0.6448552,-0.3939736,0.24977183,0.097972564,-0.23557219,-0.37494913,0.23121704,0.03341789,0.28020844,-0.7089276,-0.09910451,0.16736574,-0.6180752,0.09114691,0.112121716,-0.5884415,-0.3827255,-0.32503846,-0.3330143,-0.61591786,0.57257396,-0.37461653,-0.22893862,-0.76530546,0.74370235,-0.11620116,-0.71292895,-0.46229222,-0.58568466,0.27634406,0.3004188,0.044490784,-0.088083744,0.69932765,0.35293096,0.22451262,0.35965252,0.6897983,-0.049189314,-0.15879299,-0.19030148,-0.59592474,0.58251524,0.39093652,1.160694,-0.51300055,0.41918802,0.18911855,0.12076035,0.043164697,-0.039970294,1.0839944,0.23754302,0.0076318914,0.6193952,0.13140781,0.95548385,-0.14791815,-0.731989,0.49125412,0.13345188,-0.7900297,-0.28765702,0.46420658,0.3924937,-0.111550465,0.571979,-1.37379,-0.10026724,-0.34325227,-0.1910946,0.78252333,0.33396494,0.2669672,-0.1343917,-0.30806667,0.19763835,-0.40509018,0.03679804,0.3620967,0.7389087,-0.8038598,-0.2012093,0.45418525,-0.17043309,-0.33993968,0.312852,0.2903873,0.4796631,0.08504228,1.6040964,-1.3520002,0.61048126,-0.24544626,-0.42875642,-0.53046983,0.6720338,-1.1548465,1.030992,-0.1539046,0.4229962,-0.07248685,-0.46538988,-0.24121429,0.07139075,-0.45149675,-0.632154,-0.35107768,-0.41949296,0.59779674,0.18240023,0.1840234,-0.21369512,0.3363509,0.031062772,0.6523736,-0.45490307,-0.012529876,-0.049878113,-0.17082813
2,0.9514602,0.15983012,-0.65388405,0.67696387,0.54408854,-0.9438275,0.49960223,-0.44992426,-0.71988165,-0.403246,-1.059242,-0.12616697,-0.027449522,-0.10156022,0.49824935,0.14989296,0.8149986,-0.12784687,-0.3989135,-0.27639073,-0.5019571,-0.27385584,0.2800617,-0.81422275,-0.0013424434,0.11594486,0.4859948,-0.4001814,0.0817083,0.02099931,0.052741785,0.18591678,0.4917309,-0.2975751,-0.43634963,0.66628546,0.39357457,-0.15577975,0.10105657,-0.7569779,-0.15429991,0.55503345,0.48181996,-0.26591033,0.22182177,-0.21766865,0.14889716,0.2930855,-0.540344,0.20188132,1.2157699,0.14705792,0.1124166,-0.37850177,0.38503593,0.51087993,-0.16277923,0.46095765,-0.45169425,0.22095269,-0.5209735,-0.33586782,0.47108117,0.19011468,0.14161499,-0.36223865,-0.47870496,-0.36641192,0.4957539,0.1303985,-0.7248204,0.093182,-0.34754226,0.5710899,-0.12030439,-1.1385527,-0.34688348,0.32823196,0.6052678,0.19920124,-0.7663324,-0.83149904,-1.1786355,-0.3965165,-0.114318766,0.84450424,0.5552504,-0.14520042,0.08442858,-1.2492961,-0.27687004,-0.36415198,0.4133704,-0.17069617,-0.31827176,0.59458387,0.75717765,-0.54879975,0.47134998,-0.9746709,-0.24219444,-0.71462786,-0.23044606,-0.38036725,-0.38001478,-0.5370974,0.41529095,-0.6992843,0.19020055,-0.63186175,-0.2756706,0.116730615,0.4322865,0.13440274,0.42926386,0.07720826,-1.1368077,-0.3798691,0.52431697,-0.23096573,-0.306702,-0.6069651,-0.22709523,0.0028176343,0.26550245,-0.627218,-0.51225007,0.44110754
3,0.8745213,-0.19046089,-0.4986018,-0.24755727,-0.33037978,0.027601669,0.53446823,-0.33102208,-0.7828923,-0.35180798,0.65382254,0.50417256,-0.14431353,0.26670742,0.021901606,-0.0458002,0.13321277,-0.428067,0.032877766,0.57234937,-1.0070474,-0.3430499,-0.023519535,-0.07581837,-0.24394815,-0.47555673,0.8789456,-0.41940525,-0.68147266,0.18322842,0.40041196,0.34284025,0.12948927,-0.16198675,-0.32195002,0.02841692,0.3592698,-0.059087884,0.1687674,-0.25838178,-0.017686503,-0.54590917,-0.8613969,0.90993786,0.7124637,-0.17586449,-0.1436019,0.03367103,0.47933534,-1.0141582,0.8613399,-0.13739675,-0.02128073,0.3627672,0.1531502,1.1475977,-0.38184512,0.6808235,-0.6678132,0.5419919,0.48517564,-0.30553484,0.33650026,-0.2139404,0.020410195,0.5889441,-0.78805727,-0.3730964,0.6340119,-0.11088403,0.24663259,-0.07541943,0.19914101,-0.52386945,-0.10770981,-1.0605224,0.29410225,-0.25211242,0.516381,0.28576896,0.95121694,-0.356139,-0.7056721,0.6073911,0.20472774,0.25573388,0.13603705,0.45297483,0.36490056,0.089301586,0.18228057,-0.21655291,-0.55496264,0.6205123,0.093763664,0.5328129,0.38122588,0.0043105804,1.168791,-0.5195416,-0.24996041,-0.5901529,-0.5632107,-0.5923885,0.9670328,-0.9861109,-0.2916486,-0.024077557,0.55983466,0.12764017,0.406952,-0.15535755,0.835311,0.47773919,0.0883681,-0.3399718,-1.0544415,-0.14449422,0.7485674,-0.17476186,-0.14833531,0.055966638,-0.36819267,-0.5072244,-0.11798616,0.6446377,-0.6286089,-0.31373534
4,0.70229656,-0.26688635,-0.8056948,0.217282,0.17516959,0.018458437,0.1243216,-0.16869691,0.23073404,-0.4488725,0.5116415,0.052862894,0.45519444,0.57216007,0.024402598,0.0506778,0.53900284,-0.29480714,-0.56081855,-0.44976002,-0.108108535,-0.3407201,-0.0005127992,-0.722884,0.5701683,-0.5209446,0.7237276,0.2056973,0.12904643,0.05102585,-0.34399614,-0.50256395,0.03689121,0.04713952,-0.03883447,0.6453205,0.16145498,-0.17302766,0.6125382,0.40462297,-0.7019392,0.008434747,-0.15815184,0.4883003,-0.05773081,-0.22011384,0.20970508,-0.6476878,0.020304026,-0.18920828,-0.13640146,0.08169623,0.50146395,0.43137267,0.049844787,0.11584295,-0.79796606,-0.09300725,-0.35282427,0.308961,-0.08218959,0.029003631,0.5272709,0.652745,0.23893933,-0.6128043,-0.7450676,-0.6886455,0.29481155,0.42412743,-0.45774797,-0.28968632,0.20000654,0.6157866,-0.4320769,-0.41516808,-0.17981066,0.2063825,-0.36251384,0.2216656,0.4529594,-0.4745182,-0.8909789,-0.6602822,0.068378754,0.41930756,-0.31806773,0.40054682,-0.31736922,-0.68460584,-0.1604782,0.06483179,-0.19470386,0.31936246,-0.005968095,-0.20496054,-0.09094909,0.44592997,0.9058301,-0.3437521,0.51051533,-0.12250959,-0.5000398,-0.14462195,0.014455546,-0.49293002,-0.18887672,-0.26938128,-0.396959,-0.044470593,0.020920713,0.0039194818,0.36552227,0.012719155,-0.14043498,0.38201028,0.23536752,0.6077553,1.0743809,-0.3506045,-0.49463922,-0.017852599,-0.42213604,0.6087399,0.44512784,0.05159211,-0.37536317,-0.5721142
5,0.99106425,0.008336226,-0.5964901,0.14350267,-0.1684313,0.2084986,0.16276312,-0.54763633,0.5279474,0.42973423,-0.3510553,0.5108161,-0.2616519,0.4334325,-0.22049902,-0.067718185,0.45415062,-0.93478346,-0.30277175,0.4609244,-0.099464335,-0.7256228,-0.23009157,-0.54529655,-0.13833049,-0.144302,0.42449751,0.5312976,0.17779581,-0.36063638,-0.80526054,0.34464136,0.264074,-0.07152193,-0.68833613,0.16612832,0.34950027,0.06409052,0.52234536,-0.102703586,-0.27384973,0.2034313,-0.29047117,0.9154724,-0.18971023,-0.5888769,0.6734264,-0.4618488,0.19661333,0.08429317,-0.4445503,0.8495336,0.13404176,0.48201752,0.124415636,0.12742725,0.1567084,-0.42021686,-0.7742303,0.14538918,-0.4197323,-0.24850485,0.6187043,0.05381991,1.0109515,-0.46335286,-0.1544955,-0.0689872,0.01496533,-0.5174734,0.09655762,-0.25743592,0.22319707,0.42138338,-0.0020886166,-0.91824126,-0.87829715,0.13288282,-0.13755237,-0.04322127,0.21866184,0.14664209,-0.13568293,0.2092334,0.082377836,0.08402569,0.6536549,0.59332293,0.2869405,-0.8205318,-0.21536721,0.14820525,-0.38649532,-0.12316131,-0.28422776,0.093753956,0.29657653,-0.38096687,0.57092977,-0.8210853,-0.1471207,-0.33636606,-0.113406815,0.8808155,0.20586848,-0.6117985,0.62193495,0.25621018,-0.44853017,-0.3474835,0.5048571,-0.1641235,0.4112063,0.09591895,0.39485475,0.17540699,-0.81365854,-0.14648807,0.56862533,0.07902647,-0.018384784,-0.59406954,0.3543299,-0.30014113,-0.07203765,-0.42594263,0.1039796,-0.7602905
6,0.48667994,-0.3252426,-0.9357745,0.46370244,-0.50029534,0.5431963,0.4426711,0.32663172,0.42856112,-0.58804923,-0.1568286,0.304324,-0.4250019,0.060836695,0.66877043,0.009888577,0.0401566,-0.5355518,-0.50720334,-0.83471656,-0.1643281,-0.13131356,-0.71774095,0.21541655,-0.23396538,-0.36549786,0.4850377,-0.48242146,-0.088555224,0.48004448,-0.53043085,-0.29744336,0.5132193,-0.13016073,-0.7190284,-0.44829333,0.76377785,-0.3448123,-0.705753,0.6705606,0.11416658,-0.32737553,-0.6043093,0.54292256,-0.60190177,-0.27635956,-1.3449603,0.6105383,-0.45639664,0.07632842,1.0537325,-0.2691697,1.1299763,0.45118076,-0.32583508,0.7691648,0.6500067,0.8921287,-1.5639539,0.45926684,-0.46404094,0.5661633,0.3209998,-0.07923528,-0.2778509,-0.36384085,0.013725092,0.25679618,0.5387343,0.2987682,-0.6492816,-0.09473665,0.15548466,0.719738,0.2512144,-0.6498281,0.018082255,-0.11616418,0.10425534,-0.046161775,0.2926045,-1.0727026,-0.8429715,-0.035112664,1.0005816,-0.49637428,0.2750599,0.5765438,0.9641418,-0.7086843,0.28321478,0.87095386,-0.48086512,-0.110400155,-0.5844083,0.8392568,-0.17684396,0.054618523,1.433028,-0.98612005,0.31801447,-0.41179264,0.09305359,-0.01376545,0.78611356,-0.17665337,0.92483765,-0.23192574,-0.4309023,0.109807916,0.34056965,-0.1700519,-0.3223313,0.8846642,0.32867262,-0.071114376,-1.1628009,0.48794478,0.11947984,-0.082999855,-0.21355529,-0.53617084,0.45479798,0.6161913,0.16471708,0.18881513,0.30035672,0.22663772
7,0.73382586,-0.55822784,-0.005745623,0.029248957,-0.27224618,0.2429551,-0.014604426,0.08624591,0.5427343,0.24727009,0.21021494,-0.28407723,-0.41176528,0.91069335,-0.10133464,-0.29271045,0.9311739,-0.8726276,0.17099181,-0.688642,-0.054883182,0.011795912,-0.13201152,0.02054681,-0.25511515,-0.6225818,0.6568665,-0.44258112,-0.33143982,-0.9048683,-0.7156185,-0.20314331,0.5402968,0.46689478,-0.64431345,0.29860502,0.18894838,0.34236252,0.6703771,-0.21485215,-0.43828607,0.3103238,-0.40008637,0.80869776,1.1458849,0.7046248,0.6675422,0.39266163,0.180199,0.0027869432,0.76644796,-0.21142146,0.2654675,-0.24585898,0.44603056,-0.025657743,0.82131034,0.29421076,-0.2532317,0.4847446,-0.14889516,0.19314952,0.58709484,-0.18857491,-0.50919497,0.44899777,-0.18320169,-0.3356283,-0.3456368,0.04937902,-0.8171246,-0.15546069,0.44935283,0.5867705,0.51601404,-0.92806,-0.5664408,0.42548907,-0.59025985,0.07567063,0.70653224,-0.51994896,-0.85852146,0.26208934,0.14192657,0.30306417,0.17493129,-0.74386734,-0.22540392,-0.67827505,-0.875983,0.21260801,0.619238,0.7407164,-0.4916257,0.05243066,-0.398203,0.82195365,0.37351134,-0.6793143,0.23591807,-0.5725474,0.2888536,0.13993602,0.91859,-0.60976654,0.083959706,-0.0207429,0.2523784,-0.053631816,-0.18115231,0.5294893,-0.31059584,0.9069453,0.12131354,0.5551974,-0.44682708,-0.40599605,0.6936335,-0.28522936,-0.09265962,-0.26657808,0.63547903,-0.15723638,-0.43028152,0.4620711,-0.10703032,-0.38918322
8,0.94451845,0.40263915,-0.5932234,-0.36901817,-0.60507244,-0.15220666,0.4902439,0.10299832,0.50735104,-0.18405259,0.31548607,0.14852338,-0.98501396,0.4914223,0.30488935,0.38386685,0.47788444,-0.22252505,-0.13601355,0.66380906,-0.11428382,0.50347275,0.1996559,0.43600062,-0.43698207,-0.08183602,0.29710102,-0.71162194,-0.14737865,-0.46832296,-0.30972278,-0.121405505,-0.1653361,0.20659596,-0.46383977,-0.20319879,0.43999615,-0.3248465,0.41156787,-0.26616675,-0.363519,0.49596867,-0.4703232,0.404264,0.18406019,0.40633878,-0.42293486,0.21137981,-0.6744102,-0.08793843,0.43595684,0.57611614,0.2777345,0.10039168,0.54227793,0.34059978,-0.078812435,-0.4382102,-0.53143,0.860792,-0.38450405,-0.1130106,0.33705512,-0.301657,0.96652985,-0.08038802,-0.64762527,-0.17306904,0.31188154,0.10810598,-0.5047351,0.45595145,0.32244045,0.53579134,0.2991327,-0.42911375,-0.07454449,0.65007055,0.20325413,0.3417446,0.26454726,-0.57648104,-0.68069977,0.4542686,0.22079365,0.9658838,-0.14993629,0.75129575,0.28011137,-0.3251246,-0.23786913,-0.49120262,-0.73477834,0.34433037,-0.8670881,-0.6790247,0.36410102,-0.13869402,0.77299786,-0.36413574,-0.42540276,0.2582922,-0.46197528,-0.26409924,0.31095287,0.24432509,0.089075156,0.025436599,-0.73033214,0.269269,-0.31417146,0.64420074,0.23690873,0.36683217,-0.08700283,-0.5338759,-0.11760162,0.31579843,0.4559844,-0.7145677,-0.51501113,-0.634966,-0.504873,-0.2583531,-0.28457972,0.6478072,-0.57696927,-0.5011641
9,0.72834355,0.5456056,-0.66461855,-0.028942844,0.733673,0.115962125,0.11805245,-0.65000546,0.49455503,-0.9514735,0.44976002,-0.57792956,-0.19774045,0.6868638,0.09243458,0.55279255,-0.09918992,-0.094939455,0.43404752,0.1886385,-0.8006021,-0.46816114,-0.77302325,-0.22818096,0.28277633,0.010648965,0.63864356,-0.23832864,-0.10010544,0.10181695,-0.56828856,-1.1432666,-0.33554453,-0.798673,-0.94899315,0.2175066,0.3070495,0.035428423,-0.57743555,-0.23797521,-0.07838943,-0.31747383,0.22785743,0.3361385,0.3302987,-0.21944317,-0.50646645,-0.012691205,-0.13459723,-0.48572052,0.40795073,-0.022784077,0.468651,-0.28703713,0.006439861,-0.10893345,0.15419155,-0.23966354,-0.9350786,0.76513386,-0.94904375,0.6913978,0.47267577,0.5238497,-0.1425155,0.48124507,-0.18282013,0.12347001,-0.12885128,-0.43702927,0.6510089,-0.057540108,0.3692053,0.4627571,-0.3062645,-1.4745731,-0.6499371,0.19491139,-0.06989521,0.5923337,-0.21574725,-0.77392304,-0.13300657,-0.40441614,-0.20791493,0.5346871,-0.113800116,0.3244214,0.50974864,-0.51378196,-0.07860804,0.31817356,0.08616381,0.5405204,0.016380478,0.3233321,-0.00030324183,0.7794312,0.7366029,-0.9237315,-0.056214802,-0.29345056,0.03427607,-0.229052,0.26052728,-0.9696582,0.055249408,0.16498628,0.37861237,-0.56609863,-0.5207534,-0.11632892,0.29853943,0.77466387,-0.3842131,-0.07821093,-0.24758106,-0.080735005,1.1270449,-0.6322112,0.68126214,-0.4449158,-0.24177517,-0.108972624,-0.7067533,-0.517014,0.4933259,0.28470564
