sample_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0,0.8056896,0.62342435,0.26114085,-0.053723894,-0.5029538,-0.1884808,-0.22797263,0.1825395,-0.28880197,-0.39054725,-0.66470295,0.5793568,-0.07251731,0.18746936,0.11377495,0.08854822,0.26594758,0.05464174,-0.36584976,0.21990533,0.5284606,-0.25880596,-0.43689343,-0.85531133,0.061742328,-0.25723305,0.82813686,0.008565067,-0.41883633,0.026189115,-0.7631212,-0.7591969,-0.49475074,-0.03385256,-0.6583071,0.4103804,-0.052601058,0.026176255,0.1401032,-0.70705616,-0.4316981,-0.13809316,-0.68701035,0.3444744,0.409718,0.2024141,-0.31054485,-0.25630817,-0.17064227,-0.6689989,0.6671203,0.6806049,0.28480512,0.50907105,0.20519057,0.7506851,0.46958438,-0.74856764,-0.23303251,0.29840225,-0.013003828,0.23763792,0.18467383,0.2856962,0.592058,0.54601824,-0.16963278,0.2578742,0.54520506,0.116045944,-0.6642083,-0.8773654,0.27645814,0.15827096,-0.15721954,-0.40621233,-0.45407927,-0.21389878,-0.24080151,-0.073787585,-0.5147685,-0.11965183,-0.768863,-0.32950556,-0.0768694,0.7328095,0.16812189,-0.023291506,0.24614921,-0.3585602,0.45429036,-0.23752466,-0.54652023,0.5408999,-0.19914252,0.41855693,-0.46954432,-0.045816112,0.07830788,-0.5595148,-0.17113735,-0.5780155,0.19893515,0.36015505,0.88649404,0.13794741,0.53197724,-0.74759805,-0.42736134,-0.701344,-0.29937485,-0.0653092,-0.17228267,0.070713915,-0.0060631353,0.26903015,-0.33126906,0.7966085,0.88335997,-0.6934673,0.29743013,0.0028281475,0.3094279,0.5680972,0.07590552,0.92829573,0.11561017,-0.1694671
1,0.46491545,0.64328426,-0.6958778,-0.15281494,0.11446454,-0.31111765,0.0018162364,0.049518064,-0.6032669,-0.39764142,0.19551618,0.108202085,-0.20396101,-0.33645588,0.19988538,-0.006636404,0.23096167,-0.6812707,-0.09878012,0.16302519,-0.55607486,0.07948082,0.105841935,-0.56910956,-0.3427997,-0.2605129,-0.2936974,-0.56455356,0.5528926,-0.3596311,-0.2887075,-0.73810154,0.7199416,-0.07048597,-0.6605481,-0.4504548,-0.6145493,0.2796873,0.29168305,0.011425732,-0.09418175,0.67444086,0.3745651,0.20429036,0.33865526,0.58560365,-0.06657407,-0.09135836,-0.20822367,-0.5675192,0.63504696,0.33651677,1.1533877,-0.47954783,0.39994574,0.20846166,0.18960123,0.01893881,-0.035492085,1.0242107,0.2100792,-0.015845496,0.59462804,0.13181956,0.91126287,-0.1719915,-0.65523523,0.5132514,0.15507618,-0.8017472,-0.29065537,0.38748506,0.37739465,-0.09423031,0.53386515,-1.3672429,-0.0860324,-0.3625984,-0.13906865,0.7506007,0.29811472,0.23082498,-0.11209634,-0.34049392,0.20404708,-0.4175935,0.067483656,0.35524482,0.732994,-0.7962539,-0.17908481,0.5115248,-0.17774639,-0.36629725,0.30382305,0.30443642,0.46915108,0.040929962,1.4966832,-1.3237755,0.6296725,-0.21236828,-0.39967817,-0.51898295,0.6297466,-1.1159497,1.0357418,-0.19743484,0.38130486,-0.11952593,-0.4111653,-0.25000343,0.08863034,-0.42923984,-0.6710267,-0.30256888,-0.40797842,0.5706517,0.17871232,0.16832465,-0.22700992,0.3184645,0.049521446,0.68029815,-0.4382799,-0.035214305,-0.052602403,-0.15640454
2,0.910223,0.14256117,-0.6270425,0.71176964,0.52247524,-0.9024544,0.493195,-0.4256951,-0.6637259,-0.4056209,-1.0389605,-0.10127278,-0.011160902,-0.11205319,0.4728525,0.15415604,0.81871766,-0.10613232,-0.36963388,-0.29357523,-0.50329036,-0.30010194,0.2718544,-0.7849132,0.003201651,0.111538075,0.5169291,-0.34313503,0.095986605,0.0165489,0.053813566,0.22275254,0.47129166,-0.26999,-0.42627108,0.6764372,0.39583194,-0.15945238,0.08958103,-0.73551065,-0.13035695,0.5283627,0.42393053,-0.242836,0.18446004,-0.25856444,0.1606917,0.312519,-0.5238491,0.20998612,1.2026309,0.14739892,0.11309669,-0.35255957,0.3450265,0.47637135,-0.14707947,0.46212596,-0.44623998,0.19809562,-0.4814636,-0.29939318,0.45946687,0.17275049,0.10386937,-0.2916515,-0.41203323,-0.3505505,0.4562411,0.13795045,-0.6751412,0.074484855,-0.30952373,0.49359813,-0.0809197,-1.1424904,-0.3421133,0.33074442,0.5580834,0.23632202,-0.74147797,-0.81151193,-1.136748,-0.4114163,-0.12586673,0.7874008,0.5604046,-0.10538589,0.07180973,-1.24747,-0.2641186,-0.40828067,0.37839347,-0.15743038,-0.28525358,0.60382426,0.7088394,-0.5390167,0.4650083,-0.89508307,-0.25742513,-0.65513813,-0.22641753,-0.36003068,-0.35542616,-0.53581595,0.37372243,-0.69664484,0.18292299,-0.6106076,-0.2587419,0.09754614,0.39858896,0.15617271,0.41571113,0.07471494,-1.0984577,-0.39046434,0.52923757,-0.21828519,-0.32998234,-0.5884287,-0.21891864,0.032148257,0.25472948,-0.60677004,-0.4843855,0.4812537
3,0.8152639,-0.19006546,-0.495005,-0.24613905,-0.34702146,0.016318755,0.52132595,-0.30152708,-0.7370821,-0.36877477,0.62655276,0.5003246,-0.18755114,0.26667646,0.026927961,-0.09380767,0.10451189,-0.42382926,0.028922662,0.5635935,-0.9819346,-0.27383313,-0.015787937,-0.0488407,-0.23604177,-0.4466628,0.82274497,-0.515646,-0.69178337,0.15516116,0.39946896,0.36253643,0.1590159,-0.16138855,-0.2645438,-0.039102577,0.36350802,-0.036055632,0.17180023,-0.22461423,-0.0180385,-0.5136308,-0.8440846,0.82626426,0.7159219,-0.16252607,-0.15714404,0.083199665,0.4664563,-1.0111531,0.88443244,-0.12962887,0.02224642,0.33644924,0.19506885,1.0906996,-0.34395856,0.7094328,-0.6673679,0.53184605,0.46392587,-0.32062316,0.31900197,-0.19915266,0.03371572,0.5336032,-0.80557173,-0.28145298,0.61985046,-0.099679746,0.2120606,-0.03408306,0.18015906,-0.46853596,-0.106476896,-1.0383049,0.29241732,-0.25099748,0.5267423,0.25956637,0.9016039,-0.3744061,-0.6559792,0.60624915,0.20089361,0.26311788,0.16370507,0.42351174,0.37579316,0.06816734,0.16737801,-0.16413623,-0.55756146,0.6091724,0.07807739,0.48861805,0.37246326,0.028070714,1.1502906,-0.56012917,-0.21144678,-0.58085495,-0.49666497,-0.605029,0.98375875,-0.95514995,-0.21674886,-0.0013780398,0.54717845,0.12552974,0.38595536,-0.10097374,0.7948024,0.44123918,0.058435503,-0.35194007,-1.0254382,-0.07599786,0.69933724,-0.15683454,-0.123801045,0.07347067,-0.36159676,-0.47856423,-0.11256644,0.6286413,-0.59618676,-0.3507475
4,0.6762197,-0.27965102,-0.7833732,0.16970818,0.15495595,0.02407197,0.117637716,-0.19289243,0.24586283,-0.38924408,0.48047942,0.042689092,0.42961407,0.55088663,0.007920674,0.055580713,0.52284586,-0.26277664,-0.5284548,-0.42411643,-0.13050613,-0.312569,-0.017080087,-0.67108303,0.5298313,-0.50450253,0.68204755,0.19034648,0.14234583,0.05188474,-0.32456067,-0.46598062,0.032447986,0.042878546,-0.027523166,0.6429163,0.16810931,-0.16930018,0.5787176,0.37475857,-0.6506528,-0.016451318,-0.15503123,0.47634163,-0.021726226,-0.19914414,0.2112944,-0.60459805,0.036329634,-0.18067506,-0.18176813,0.10873426,0.45802495,0.43085843,0.029910462,0.11478173,-0.77885646,-0.07878134,-0.3582362,0.3044853,-0.047711287,0.040285144,0.47797522,0.6072563,0.25222027,-0.57186824,-0.7336757,-0.64831316,0.27626115,0.38389888,-0.42786378,-0.25687343,0.18708551,0.59904706,-0.37778768,-0.42252052,-0.14315759,0.19073686,-0.35706502,0.19270483,0.45569018,-0.47324926,-0.86282384,-0.618547,0.071108036,0.4244931,-0.2746414,0.38291916,-0.33004805,-0.6357127,-0.13463166,0.06483491,-0.19511382,0.3018766,-0.01917122,-0.22168723,-0.090518266,0.45968142,0.87691593,-0.36775354,0.45259744,-0.10767497,-0.4530502,-0.12192169,0.021922795,-0.4582594,-0.18846284,-0.22118762,-0.38771796,-0.045984223,0.017677689,0.008140989,0.34001487,0.04028669,-0.13042551,0.34734797,0.22114441,0.5471459,1.0433927,-0.32151493,-0.5043711,-0.015386428,-0.42838368,0.5363211,0.40616736,0.08079029,-0.3762123,-0.55866724
5,0.93870753,0.009405964,-0.5871143,0.129237,-0.17580734,0.18483801,0.1234606,-0.51666284,0.5077164,0.42544314,-0.31750444,0.4587167,-0.25866926,0.46530485,-0.22839798,-0.028507994,0.4480511,-0.91406125,-0.27853054,0.41155872,-0.12048446,-0.66429484,-0.20598766,-0.5104951,-0.16376494,-0.2027938,0.40057597,0.5109462,0.19444802,-0.36266336,-0.72431093,0.3018734,0.2643585,-0.061262235,-0.71383345,0.16469207,0.37541062,0.06459189,0.49654472,-0.08116886,-0.26637167,0.19796683,-0.31318578,0.9061734,-0.18013817,-0.51758355,0.63773715,-0.44624233,0.17035478,0.076308995,-0.4509367,0.8365341,0.10844926,0.5055771,0.15172121,0.15666322,0.12765652,-0.40689322,-0.75337327,0.14137284,-0.38127613,-0.19312821,0.6060591,0.06509931,0.95138186,-0.37799525,-0.15899877,-0.02570735,-0.004553172,-0.45414338,0.07533676,-0.20979856,0.24197926,0.39855996,0.014215761,-0.9009452,-0.83378255,0.09417884,-0.18929534,-0.055080667,0.20808162,0.12749755,-0.19594614,0.18901427,0.08028397,0.0762552,0.6610366,0.5592243,0.23948035,-0.79923534,-0.18116052,0.12417793,-0.3469802,-0.08419355,-0.28866214,0.10415412,0.2974598,-0.31793344,0.51915276,-0.75804937,-0.15841968,-0.3312446,-0.047936812,0.8750806,0.19911273,-0.5890522,0.57749504,0.2421524,-0.42500824,-0.33014327,0.49224415,-0.16769128,0.372449,0.13100433,0.41276005,0.173009,-0.8214322,-0.14493066,0.5451626,0.08272839,0.024265813,-0.56688833,0.32859364,-0.32159758,-0.10455872,-0.4008448,0.06613005,-0.7152095
6,0.4519738,-0.3299997,-0.94790196,0.46303943,-0.4458346,0.53385496,0.45927778,0.38944283,0.3811768,-0.5496839,-0.15635955,0.33464038,-0.39350772,0.03657595,0.58112067,0.011671146,0.005751915,-0.48663148,-0.4809134,-0.8244258,-0.18713868,-0.12902632,-0.74163073,0.21758708,-0.20803551,-0.3424437,0.43464217,-0.362662,-0.08575769,0.54401475,-0.5282331,-0.2590531,0.49253637,-0.14288357,-0.699697,-0.38963276,0.7739143,-0.36232302,-0.6802051,0.6704318,0.067149214,-0.34269795,-0.579347,0.5215804,-0.56385994,-0.29723868,-1.3534023,0.596172,-0.44285342,0.07899443,1.0169442,-0.25313827,1.1080341,0.4625819,-0.36295903,0.73597336,0.60423523,0.86813754,-1.4401318,0.438717,-0.43347114,0.5204352,0.3034291,-0.06209892,-0.31423494,-0.34398106,0.024469405,0.20382498,0.5518484,0.2959887,-0.6217253,-0.119738966,0.18952155,0.67577386,0.25401008,-0.59704345,0.049971346,-0.09936539,0.0709142,-0.045453478,0.3127995,-1.0659013,-0.8993587,-0.0735288,1.0164187,-0.5396913,0.22828539,0.5634516,0.8906482,-0.7003653,0.26942345,0.81409997,-0.45674223,-0.098602004,-0.5782061,0.82512087,-0.16190583,0.06975464,1.4192677,-0.93246967,0.3112791,-0.3307015,0.088133484,-0.0015682059,0.7519759,-0.16705003,0.8748939,-0.19201876,-0.44248804,0.14727995,0.40058973,-0.18679582,-0.2867426,0.91062343,0.31164753,-0.07743555,-1.1357702,0.4988212,0.17492305,-0.07860368,-0.21873087,-0.5313563,0.44642112,0.6216825,0.17799969,0.17044994,0.34256002,0.2573277
7,0.66059583,-0.526102,-0.038363956,0.031238165,-0.2261737,0.2524796,-0.032883726,0.09224417,0.5625461,0.27075848,0.24584997,-0.2591394,-0.41196352,0.86547226,-0.10905246,-0.33788085,0.88433003,-0.8610985,0.15608901,-0.6497135,-0.028512534,0.0413448,-0.11117055,0.048709556,-0.22292653,-0.59283394,0.6379459,-0.4719342,-0.3512656,-0.8515815,-0.69704384,-0.257173,0.5479134,0.48071823,-0.59710103,0.3032174,0.16617823,0.29555872,0.64196,-0.22020333,-0.43929845,0.29125762,-0.37198922,0.7583012,1.1241088,0.7357981,0.61992985,0.37441117,0.17647664,-0.021842271,0.7665196,-0.23832425,0.25094423,-0.23527585,0.391953,0.0040881224,0.7731406,0.29540524,-0.24515297,0.4715755,-0.12720767,0.22977285,0.5782241,-0.14106788,-0.52241164,0.48636746,-0.19254239,-0.30330676,-0.27726498,0.04635271,-0.80154264,-0.13598642,0.41220927,0.572018,0.53589904,-0.8877676,-0.5201598,0.40953967,-0.5389863,0.029923199,0.67235863,-0.5048077,-0.8188227,0.24147473,0.12929773,0.30918437,0.13015914,-0.7443718,-0.23129158,-0.64209497,-0.87541413,0.20802541,0.59114367,0.69039893,-0.43557867,0.027596403,-0.40607753,0.800156,0.32814428,-0.6742191,0.2662825,-0.54183173,0.28233057,0.08572472,0.90859514,-0.5895646,0.0980933,-0.015334837,0.23547068,-0.019654648,-0.21623315,0.5031655,-0.26890755,0.8675545,0.076459736,0.49923804,-0.3977275,-0.36056003,0.6455735,-0.26510602,-0.069095775,-0.27692968,0.61844593,-0.12219323,-0.3839801,0.4625274,-0.13851579,-0.3525479
8,0.9080265,0.4206121,-0.5259085,-0.35499692,-0.5764578,-0.17487939,0.4736251,0.08848175,0.5173527,-0.18847188,0.29379857,0.12475393,-0.9815872,0.44202465,0.346223,0.35077637,0.46386597,-0.18745382,-0.14002976,0.6335673,-0.11947443,0.49400118,0.17623593,0.46993643,-0.42486817,-0.039109863,0.26762122,-0.77031976,-0.15465857,-0.4479631,-0.29663455,-0.084475756,-0.14244585,0.185724,-0.43032354,-0.22990493,0.40472236,-0.30320296,0.37665087,-0.25920343,-0.37244144,0.46422622,-0.39846307,0.33344787,0.18966627,0.37168422,-0.38673288,0.2517662,-0.6603844,-0.08008438,0.45245752,0.54942584,0.31103396,0.08216658,0.50246847,0.27855003,-0.026474653,-0.38156235,-0.5578658,0.88751674,-0.39318973,-0.06010413,0.32579857,-0.2892717,0.9078005,-0.084546335,-0.6231456,-0.13332137,0.30006355,0.03157592,-0.48106718,0.45260036,0.3077566,0.5474387,0.25366148,-0.43138507,-0.094170585,0.6123017,0.22808951,0.32497233,0.2289184,-0.618475,-0.65363467,0.41975933,0.17612459,0.9510357,-0.12499824,0.74813175,0.28531832,-0.33554223,-0.24547966,-0.41148618,-0.69849515,0.34655038,-0.8122842,-0.6681845,0.3527803,-0.08718385,0.7705788,-0.37888864,-0.36717597,0.21661344,-0.43204898,-0.29455623,0.32969558,0.27235496,0.15554768,0.039413046,-0.68781674,0.27559146,-0.36843768,0.64120865,0.20958035,0.27726176,-0.09186386,-0.5125285,-0.12930739,0.28489977,0.38854486,-0.6916781,-0.50454885,-0.60925955,-0.46372202,-0.23736519,-0.2442534,0.61056167,-0.54986227,-0.48332685
9,0.70502037,0.52545315,-0.5983161,0.014149586,0.761893,0.101940654,0.10529258,-0.6291483,0.45344836,-0.94138145,0.45291978,-0.56478286,-0.18370503,0.7055796,0.07347725,0.55029273,-0.14272192,-0.036699284,0.4381261,0.15137447,-0.77004445,-0.44711506,-0.7550143,-0.19447404,0.30378115,0.02018071,0.56120116,-0.20491724,-0.06883214,0.11943574,-0.5394528,-1.1167258,-0.31098062,-0.738289,-0.8997013,0.17724462,0.30514774,0.06474941,-0.5592581,-0.20838569,-0.08848896,-0.2796394,0.23434259,0.2997576,0.29457042,-0.24346,-0.5227613,0.0029927148,-0.11807184,-0.48618934,0.42983502,-0.011969399,0.4550116,-0.26628223,-0.009567366,-0.1020766,0.17436737,-0.2914604,-0.8766808,0.778731,-0.8846811,0.73656446,0.4594804,0.52701765,-0.14656791,0.47602752,-0.14669304,0.115974866,-0.117616564,-0.4391786,0.6412435,-0.096769184,0.38097355,0.41138762,-0.30453426,-1.4062088,-0.62073565,0.19529183,-0.053344335,0.5674298,-0.17980812,-0.7616914,-0.14768891,-0.38132203,-0.19769663,0.49393398,-0.100143075,0.34070852,0.4889072,-0.49736938,-0.048685938,0.32495582,0.04068753,0.51678365,0.04281089,0.31371954,0.013585474,0.72792286,0.6993615,-0.86274236,-0.0474177,-0.27761135,0.022163302,-0.20864284,0.2722195,-0.9512347,0.009455388,0.15872075,0.3789002,-0.52275085,-0.528234,-0.19235729,0.26015264,0.79705215,-0.34798932,-0.06594065,-0.24432068,-0.07677662,1.0916137,-0.6365988,0.65465987,-0.4385456,-0.22220837,-0.07476548,-0.69084716,-0.50962245,0.5002185,0.29295433
