,BAP1,EPAS1,MTOR,NF2,PIK3CA,PTEN,PTGS2,RNF139,SETD2,TP53,TSC1,VHL,Y
149,33.6756914,35.00093,33.90316,33.53788,33.28652,36.37985,27.73951,34.47188,33.69714,34.88776,33.47421,33.42758,1
150,33.18774128,36.58449,33.28648,35.55171,33.47643,36.06082,31.24314,32.57983,32.96196,35.03465,33.96017,32.42761,1
151,34.09291748,38.11065,33.22208,34.00996,33.0913,36.13747,31.60897,32.13971,33.26041,33.42502,33.04021,30.37936,1
152,32.48168416,36.5278,33.81666,34.72607,33.55637,36.85509,30.45505,32.92632,33.38305,35.16721,32.10992,32.57092,0
153,32.7781361,38.51488,33.54318,34.41642,33.45945,36.84917,30.57652,32.59456,33.5293,34.88632,33.77151,32.64742,0
154,33.02478408,38.52523,34.15395,33.49275,34.54255,38.6934,34.40376,34.35968,34.85888,33.04185,33.93046,33.25149,1
155,32.52432022,38.38029,32.88509,32.88201,33.86863,38.25746,31.80629,33.55349,33.88353,35.875,32.20036,30.66794,0
156,32.98298534,38.17688,34.23417,33.27345,33.42085,36.4032,32.07741,32.92793,33.90767,33.33985,34.04882,32.11148,1
157,33.3292746,37.65692,33.48296,34.23953,33.44695,36.62402,29.87202,33.24595,32.932,35.04253,32.99442,32.08989,0
158,33.54357175,38.28107,33.36498,34.28565,31.9591,35.43727,29.87005,31.51756,33.07093,33.98799,33.4191,30.90626,0
159,33.21599261,37.33006,33.19219,33.01284,31.79574,35.27898,28.16886,32.53884,32.77924,32.70201,32.47974,31.3271,1
160,33.70913229,37.521,33.4204,33.63283,28.71806,32.62036,33.17053,30.39399,31.17031,33.02982,32.08699,30.96515,1
161,32.84733637,37.16699,33.43809,33.48693,32.17143,36.12823,31.61106,32.36573,33.25172,32.98159,32.82853,32.85534,0
162,33.13121156,38.39118,33.0237,33.34108,33.51643,37.1176,31.092,33.21121,32.81194,35.36972,33.38039,32.2787,1
163,32.98998278,38.61251,33.12043,33.08606,32.79605,36.95032,31.20474,32.44673,33.58067,34.27262,32.94056,31.52947,0
164,32.92721606,37.85943,34.39027,33.87111,33.91813,37.61499,30.60007,33.7194,34.46663,34.90054,33.64906,33.03129,0
165,34.32398963,38.52064,33.55807,34.79205,31.6762,35.90204,29.61807,30.8537,32.43318,34.89301,33.36062,31.4547,1
166,34.04725434,36.79424,33.68501,34.99658,31.8792,36.54647,29.37773,33.21443,33.54304,35.67458,32.70412,32.71924,0
167,32.85747964,38.9794,33.56888,33.70966,33.74188,36.7019,28.95483,32.08977,33.66378,33.77323,33.66058,32.5293,1
168,32.52294843,37.19439,32.91388,32.16326,33.65767,36.36035,30.39687,32.25236,33.73695,34.33944,33.11623,33.338,0
169,33.92076518,36.77437,34.02893,34.1437,32.30921,35.36049,27.44097,32.01984,33.40865,34.54417,33.81385,32.18815,0
170,32.76569397,37.10062,33.34004,34.14801,32.42968,37.57667,31.16132,32.62659,32.99812,34.78178,32.52777,31.28225,1
171,32.93146682,38.47459,33.98086,33.86803,33.41274,36.96615,31.35021,32.801,33.5221,33.60998,31.87314,31.90567,0
172,32.93145497,37.43979,33.27459,33.51794,34.26713,35.96517,31.98922,32.32207,33.59191,34.5018,32.82055,32.28514,0
173,32.71803867,38.36265,33.72058,33.5573,33.38382,36.79856,31.82695,31.78659,33.60608,34.77624,33.21663,32.32059,0
174,32.2260695,37.04234,33.56291,33.84841,33.75391,36.72289,30.41775,33.27873,33.36457,33.82182,32.9574,31.49184,0
175,32.8677124,37.81606,32.86948,33.56764,32.23931,36.52887,31.34742,31.87428,33.15523,34.73828,32.54517,30.98642,0
176,33.84387246,39.13826,33.8451,33.58214,32.89218,37.99666,30.11854,32.12573,33.34867,35.39631,32.93248,31.79913,0
177,32.51996749,35.86338,32.98942,33.1042,33.35177,34.65038,31.17902,34.27276,32.16275,32.04003,32.62658,31.66344,0
178,33.11520938,37.9134,34.30048,33.80118,32.93922,36.77314,33.02287,32.92305,34.01015,33.34126,32.81059,32.39461,1
179,32.89515069,37.9687,32.81197,33.51366,32.5942,36.08937,31.14709,31.8716,33.23246,34.98283,34.0481,32.34561,0
180,33.40452558,38.75226,33.43997,33.6789,32.98728,36.87734,34.94678,32.47268,32.81781,33.82151,33.82576,30.34566,0
