,0.16691354591782925,0.21990747247141856,records
397,17,7,1
398,17,11,2
399,17,14,1
400,17,15,1
401,17,17,1
402,17,18,2
403,17,20,1
404,17,22,1
405,17,23,2
406,17,24,2
407,17,27,2
408,17,30,2
409,17,31,1
410,17,33,1
411,17,34,2
412,17,35,3
413,17,36,1
414,17,37,6
415,17,38,1
416,17,39,1
417,17,40,6
418,17,41,9
419,17,42,6
420,17,43,10
421,17,44,13
422,17,45,39
423,17,46,20
424,17,47,15
425,17,48,6
426,17,49,8
427,17,50,5
428,17,51,4
429,17,52,5
430,17,53,2
431,17,54,1
432,17,55,2
433,17,56,2
434,17,57,3
435,17,58,1
436,17,63,2
437,17,66,1
438,17,68,3
439,17,69,1
440,17,70,1
441,17,74,1
442,17,75,2
443,17,76,1
444,17,81,1
445,17,82,1
446,17,83,2
447,17,84,1
448,17,85,2
449,17,91,1
450,18,2,1
451,18,5,1
452,18,6,2
453,18,9,1
454,18,12,3
455,18,13,1
456,18,15,1
457,18,16,1
458,18,19,1
459,18,20,1
460,18,22,1
461,18,23,2
462,18,25,2
463,18,28,1
464,18,29,2
465,18,30,1
466,18,31,1
467,18,32,2
468,18,33,2
469,18,34,3
470,18,35,2
471,18,36,3
472,18,37,2
473,18,38,4
474,18,39,4
475,18,40,7
476,18,41,4
477,18,42,8
478,18,43,10
479,18,44,24
480,18,45,523
481,18,46,26
482,18,47,17
483,18,48,6
484,18,49,4
485,18,50,2
486,18,51,4
487,18,52,2
488,18,53,3
489,18,54,3
490,18,55,2
491,18,56,3
492,18,57,3
493,18,59,2
494,18,60,1
495,18,62,2
496,18,64,3
497,18,65,1
498,18,66,2
499,18,67,1
500,18,68,1
501,18,69,3
502,18,70,1
503,18,71,1
504,18,72,1
505,18,73,1
506,18,76,1
507,18,80,2
508,18,86,1
509,18,87,1
510,18,97,1
511,19,1,1
512,19,7,1
513,19,8,2
514,19,9,2
515,19,17,1
516,19,20,2
517,19,21,1
518,19,22,2
519,19,26,1
520,19,27,1
521,19,28,1
522,19,30,1
523,19,31,1
524,19,32,1
525,19,33,1
526,19,34,2
527,19,35,3
528,19,36,2
529,19,37,2
530,19,39,3
531,19,40,3
532,19,41,4
533,19,42,6
534,19,43,10
535,19,44,9
536,19,45,39
537,19,46,13
538,19,47,14
539,19,48,9
540,19,49,5
541,19,51,4
542,19,52,1
543,19,53,3
544,19,54,2
545,19,56,2
546,19,57,6
547,19,58,3
548,19,59,1
549,19,60,1
550,19,62,1
551,19,63,2
552,19,65,1
553,19,67,1
554,19,69,1
555,19,72,1
556,19,78,1
557,19,79,1
558,19,82,1
559,19,85,2
560,19,87,1
561,19,93,1
562,20,4,1
563,20,9,1
564,20,10,1
565,20,14,1
566,20,16,1
567,20,21,1
568,20,22,1
569,20,23,2
570,20,25,1
571,20,28,1
572,20,29,3
573,20,32,1
574,20,33,1
575,20,34,1
576,20,35,1
577,20,36,1
578,20,37,1
579,20,38,2
580,20,39,1
581,20,40,2
582,20,41,2
583,20,42,8
584,20,43,8
585,20,44,12
586,20,45,19
587,20,46,10
588,20,47,6
589,20,48,4
590,20,49,4
591,20,50,7
592,20,52,4
593,20,53,4
594,20,54,2
595,20,55,1
596,20,56,2
597,20,59,3
598,20,60,2
599,20,62,2
600,20,63,2
601,20,64,1
602,20,72,1
603,20,73,1
604,20,75,2
605,20,76,1
606,20,79,1
607,20,81,1
608,20,85,1
609,20,91,1
610,21,2,1
611,21,6,2
612,21,14,1
613,21,19,1
614,21,20,1
615,21,24,1
616,21,25,1
617,21,26,2
618,21,29,1
619,21,31,1
620,21,32,1
621,21,36,2
622,21,37,1
623,21,38,1
624,21,39,4
625,21,40,1
626,21,41,3
627,21,42,4
628,21,43,6
629,21,44,6
630,21,45,21
631,21,46,7
632,21,47,7
633,21,48,3
634,21,49,2
635,21,50,2
636,21,51,1
637,21,52,1
638,21,53,1
639,21,54,1
640,21,57,2
641,21,58,1
642,21,63,2
643,21,64,1
644,21,69,1
645,21,72,1
646,21,76,1
647,21,80,1
648,21,84,1
649,21,98,1
650,22,2,1
651,22,3,1
652,22,4,1
653,22,8,1
654,22,11,1
655,22,20,1
656,22,24,1
657,22,34,1
658,22,35,2
659,22,37,1
660,22,38,1
661,22,39,4
662,22,40,1
663,22,41,5
664,22,42,8
665,22,43,4
666,22,44,7
667,22,45,16
668,22,46,4
669,22,47,2
670,22,48,4
671,22,49,3
672,22,50,1
673,22,51,1
674,22,52,1
675,22,53,1
676,22,55,4
677,22,56,3
678,22,57,1
679,22,61,3
680,22,63,1
681,22,65,1
682,22,66,1
683,22,70,1
684,22,76,2
685,22,81,1
686,22,94,1
687,22,96,1
688,22,98,1
689,23,0,1
690,23,9,1
691,23,12,1
692,23,19,1
693,23,23,1
694,23,26,1
695,23,31,1
696,23,37,1
697,23,38,2
698,23,39,1
699,23,40,3
700,23,41,2
701,23,42,4
702,23,43,5
703,23,44,3
704,23,45,21
705,23,46,3
706,23,47,1
707,23,48,2
708,23,49,4
709,23,50,1
710,23,52,1
711,23,53,1
712,23,56,1
713,23,57,1
714,23,61,1
715,23,62,2
716,23,64,1
717,23,65,2
718,23,66,1
719,23,68,1
720,23,95,1
721,24,14,1
722,24,17,1
723,24,22,1
724,24,23,1
725,24,25,1
726,24,35,1
727,24,36,1
728,24,39,3
729,24,40,1
730,24,41,2
731,24,42,2
732,24,43,3
733,24,44,3
734,24,45,14
735,24,46,2
736,24,47,2
737,24,48,3
738,24,49,2
739,24,50,2
740,24,52,1
741,24,54,3
742,24,57,1
743,24,58,1
744,24,68,1
745,24,77,1
746,25,7,1
747,25,19,1
748,25,23,1
749,25,28,1
750,25,33,1
751,25,35,1
752,25,36,1
753,25,41,1
754,25,42,2
755,25,44,2
756,25,45,14
757,25,46,3
758,25,47,5
759,25,48,2
760,25,50,1
761,25,51,2
762,25,52,1
763,25,53,1
764,25,55,1
765,25,57,1
766,25,59,1
767,25,60,1
768,25,64,1
769,25,67,1
770,25,71,1
771,25,79,1
772,25,88,1
773,25,96,1
774,26,32,1
775,26,35,2
776,26,37,1
777,26,38,1
778,26,40,2
779,26,41,2
780,26,43,1
781,26,44,2
782,26,45,19
783,26,46,1
784,26,47,2
785,26,48,2
786,26,49,1
787,26,51,1
788,26,52,1
789,26,53,1
790,26,54,1
791,26,64,1
792,26,65,1
793,26,69,1
794,27,27,1
795,27,31,2
796,27,40,1
797,27,42,1
798,27,43,1
799,27,44,1
800,27,45,11
801,27,46,1
802,27,48,2
803,27,53,1
804,27,56,1
805,27,61,1
806,27,63,1
807,27,77,1
808,27,83,1
809,28,13,2
810,28,20,1
811,28,35,1
812,28,36,1
813,28,39,1
814,28,41,1
815,28,42,1
816,28,43,4
817,28,44,2
818,28,45,17
819,28,46,1
820,28,47,1
821,28,48,2
822,28,49,1
823,28,50,2
824,28,52,1
825,28,54,2
826,28,64,1
827,28,66,1
828,28,68,2
829,28,79,1
830,29,13,1
831,29,27,1
832,29,33,1
833,29,40,1
834,29,42,1
835,29,43,1
836,29,44,2
837,29,45,10
838,29,47,3
839,29,48,1
840,29,50,2
841,29,52,1
842,29,54,1
843,29,56,1
844,29,58,1
845,30,8,1
846,30,12,1
847,30,31,1
848,30,33,1
849,30,39,1
850,30,40,1
851,30,42,1
852,30,43,1
853,30,44,2
854,30,45,12
855,30,46,3
856,30,47,1
857,30,49,1
858,30,50,4
859,30,52,1
860,30,53,1
861,30,60,1
862,30,61,1
863,30,75,1
864,30,81,1
865,31,30,1
866,31,31,1
867,31,38,2
868,31,39,1
869,31,40,1
870,31,43,1
871,31,44,1
872,31,45,16
873,31,47,1
874,31,50,1
875,31,51,2
876,31,53,1
877,31,74,1
878,32,4,1
879,32,27,1
880,32,40,1
881,32,43,1
882,32,44,1
883,32,45,19
884,32,46,1
885,32,48,1
886,32,49,1
887,32,54,1
888,32,61,1
889,32,68,1
890,33,20,1
891,33,25,1
892,33,42,1
893,33,45,16
894,33,46,1
895,33,47,1
896,33,49,2
897,33,50,1
898,33,55,1
899,33,59,1
900,33,61,1
901,34,22,1
902,34,43,1
903,34,45,23
904,34,46,1
905,34,47,1
906,34,48,1
907,34,51,1
908,34,54,1
909,34,56,1
910,34,57,1
911,34,61,1
912,34,69,1
913,34,80,1
914,34,96,1
915,35,3,1
916,35,10,1
917,35,28,1
918,35,29,1
919,35,37,3
920,35,39,1
921,35,40,1
922,35,42,2
923,35,45,9
924,35,46,1
925,35,47,1
926,35,48,1
927,35,66,1
928,36,32,1
929,36,38,1
930,36,44,1
931,36,45,13
932,36,51,1
933,36,58,1
934,36,68,1
935,37,25,1
936,37,31,1
937,37,40,1
938,37,41,1
939,37,44,1
940,37,45,5
941,37,52,1
942,37,55,1
943,37,56,1
944,38,33,1
945,38,44,1
946,38,45,14
947,38,52,1
948,39,21,1
949,39,42,1
950,39,43,1
951,39,44,2
952,39,45,7
953,39,46,1
954,39,49,1
955,39,50,1
956,39,53,1
957,39,75,1
