	GRB2	UBC
0	GRB2	EGFR
1	GRB2	MAP1LC3B
2	GRB2	GJA9
3	GRB2	ARAP1
4	UBC	DLGAP4
5	UBC	PCMT1
6	UBC	XPC
7	DLGAP4	TRIM25
8	USP31	EGFR
9	EGFR	IL25
10	MAP1LC3B	KLHL5
11	KLHL5	CUL3
12	TRIM25	LANCL1-AS1
13	XPC	NPM1
14	XPC	RNPS1
15	NPM1	LEMD1
16	PCMT1	RNF123
17	CUL3	TARBP2
18	RNF123	TRIM43B
19	GPR155	FPR2
20	FPR2	ARAP1
21	RNPS1	SRPK2
22	SRPK2	SDR42E1
23	GRB2	UBC
