,feature_idx,cv_scores,avg_score,feature_names
15,"(1300, 1786, 2876, 3846, 4271, 4468, 6418, 7112, 9786, 10800, 11273, 11601, 15286, 16972, 17216)",[0.4761141],0.4761140956967682,"('B3GALT2', 'C19orf73', 'CGGBP1', 'DBF4B', 'DNAJC9', 'DYNC1H1', 'GRK1', 'HUS1B', 'MVB12B', 'OR4E2', 'PDE4A', 'PIWIL4', 'TARBP2', 'WDR5', 'ZC3H11B')"
16,"(1300, 1786, 2876, 3006, 3846, 4271, 4468, 6418, 7112, 9786, 10800, 11273, 11601, 15286, 16972, 17216)",[0.49995292],0.49995291840958456,"('B3GALT2', 'C19orf73', 'CGGBP1', 'CIDEC', 'DBF4B', 'DNAJC9', 'DYNC1H1', 'GRK1', 'HUS1B', 'MVB12B', 'OR4E2', 'PDE4A', 'PIWIL4', 'TARBP2', 'WDR5', 'ZC3H11B')"
17,"(1300, 1786, 2876, 3006, 3846, 4271, 4468, 5526, 6418, 7112, 9786, 10800, 11273, 11601, 15286, 16972, 17216)",[0.51527373],0.5152737265856918,"('B3GALT2', 'C19orf73', 'CGGBP1', 'CIDEC', 'DBF4B', 'DNAJC9', 'DYNC1H1', 'FHL3', 'GRK1', 'HUS1B', 'MVB12B', 'OR4E2', 'PDE4A', 'PIWIL4', 'TARBP2', 'WDR5', 'ZC3H11B')"
18,"(1300, 1786, 2876, 3006, 3846, 4271, 4468, 5526, 6418, 7112, 9786, 10800, 11273, 11601, 13120, 15286, 16972, 17216)",[0.53452051],0.5345205060208519,"('B3GALT2', 'C19orf73', 'CGGBP1', 'CIDEC', 'DBF4B', 'DNAJC9', 'DYNC1H1', 'FHL3', 'GRK1', 'HUS1B', 'MVB12B', 'OR4E2', 'PDE4A', 'PIWIL4', 'RNASE1', 'TARBP2', 'WDR5', 'ZC3H11B')"
19,"(1300, 1786, 2876, 3006, 3846, 4271, 4468, 5526, 6418, 6934, 7112, 9786, 10800, 11273, 11601, 13120, 15286, 16972, 17216)",[0.55022612],0.5502261171684889,"('B3GALT2', 'C19orf73', 'CGGBP1', 'CIDEC', 'DBF4B', 'DNAJC9', 'DYNC1H1', 'FHL3', 'GRK1', 'HOXA9', 'HUS1B', 'MVB12B', 'OR4E2', 'PDE4A', 'PIWIL4', 'RNASE1', 'TARBP2', 'WDR5', 'ZC3H11B')"
20,"(1300, 1786, 2876, 3006, 3846, 4271, 4468, 5526, 6418, 6934, 7112, 7634, 9786, 10800, 11273, 11601, 13120, 15286, 16972, 17216)",[0.56467908],0.5646790776226773,"('B3GALT2', 'C19orf73', 'CGGBP1', 'CIDEC', 'DBF4B', 'DNAJC9', 'DYNC1H1', 'FHL3', 'GRK1', 'HOXA9', 'HUS1B', 'ITPKC', 'MVB12B', 'OR4E2', 'PDE4A', 'PIWIL4', 'RNASE1', 'TARBP2', 'WDR5', 'ZC3H11B')"
21,"(1300, 1786, 2876, 3006, 3846, 4271, 4468, 5526, 6418, 6934, 7112, 7634, 8663, 9786, 10800, 11273, 11601, 13120, 15286, 16972, 17216)",[0.57831397],0.5783139721893524,"('B3GALT2', 'C19orf73', 'CGGBP1', 'CIDEC', 'DBF4B', 'DNAJC9', 'DYNC1H1', 'FHL3', 'GRK1', 'HOXA9', 'HUS1B', 'ITPKC', 'LRRC10', 'MVB12B', 'OR4E2', 'PDE4A', 'PIWIL4', 'RNASE1', 'TARBP2', 'WDR5', 'ZC3H11B')"
22,"(1300, 1786, 2876, 3006, 3846, 4271, 4441, 4468, 5526, 6418, 6934, 7112, 7634, 8663, 9786, 10800, 11273, 11601, 13120, 15286, 16972, 17216)",[0.59123205],0.5912320527681618,"('B3GALT2', 'C19orf73', 'CGGBP1', 'CIDEC', 'DBF4B', 'DNAJC9', 'DUSP18', 'DYNC1H1', 'FHL3', 'GRK1', 'HOXA9', 'HUS1B', 'ITPKC', 'LRRC10', 'MVB12B', 'OR4E2', 'PDE4A', 'PIWIL4', 'RNASE1', 'TARBP2', 'WDR5', 'ZC3H11B')"
23,"(1300, 1786, 2876, 3006, 3846, 4271, 4441, 4468, 5526, 6418, 6934, 7112, 7634, 8177, 8663, 9786, 10800, 11273, 11601, 13120, 15286, 16972, 17216)",[0.60271956],0.6027195568697105,"('B3GALT2', 'C19orf73', 'CGGBP1', 'CIDEC', 'DBF4B', 'DNAJC9', 'DUSP18', 'DYNC1H1', 'FHL3', 'GRK1', 'HOXA9', 'HUS1B', 'ITPKC', 'KRTAP10-10', 'LRRC10', 'MVB12B', 'OR4E2', 'PDE4A', 'PIWIL4', 'RNASE1', 'TARBP2', 'WDR5', 'ZC3H11B')"
24,"(1300, 1786, 2876, 3006, 3846, 4271, 4441, 4468, 5526, 6418, 6934, 7112, 7634, 8177, 8663, 9786, 10800, 10809, 11273, 11601, 13120, 15286, 16972, 17216)",[0.61581029],0.6158102898979283,"('B3GALT2', 'C19orf73', 'CGGBP1', 'CIDEC', 'DBF4B', 'DNAJC9', 'DUSP18', 'DYNC1H1', 'FHL3', 'GRK1', 'HOXA9', 'HUS1B', 'ITPKC', 'KRTAP10-10', 'LRRC10', 'MVB12B', 'OR4E2', 'OR4N5', 'PDE4A', 'PIWIL4', 'RNASE1', 'TARBP2', 'WDR5', 'ZC3H11B')"
25,"(1300, 1786, 2876, 3006, 3846, 4271, 4441, 4468, 5526, 6418, 6934, 7112, 7280, 7634, 8177, 8663, 9786, 10800, 10809, 11273, 11601, 13120, 15286, 16972, 17216)",[0.62697073],0.6269707250761394,"('B3GALT2', 'C19orf73', 'CGGBP1', 'CIDEC', 'DBF4B', 'DNAJC9', 'DUSP18', 'DYNC1H1', 'FHL3', 'GRK1', 'HOXA9', 'HUS1B', 'IGHV3OR15-7', 'ITPKC', 'KRTAP10-10', 'LRRC10', 'MVB12B', 'OR4E2', 'OR4N5', 'PDE4A', 'PIWIL4', 'RNASE1', 'TARBP2', 'WDR5', 'ZC3H11B')"
26,"(1300, 1786, 2876, 3006, 3846, 4271, 4441, 4468, 5526, 6418, 6934, 7112, 7280, 7634, 8177, 8663, 9786, 10687, 10800, 10809, 11273, 11601, 13120, 15286, 16972, 17216)",[0.6387311],0.6387310953196419,"('B3GALT2', 'C19orf73', 'CGGBP1', 'CIDEC', 'DBF4B', 'DNAJC9', 'DUSP18', 'DYNC1H1', 'FHL3', 'GRK1', 'HOXA9', 'HUS1B', 'IGHV3OR15-7', 'ITPKC', 'KRTAP10-10', 'LRRC10', 'MVB12B', 'OGFOD3', 'OR4E2', 'OR4N5', 'PDE4A', 'PIWIL4', 'RNASE1', 'TARBP2', 'WDR5', 'ZC3H11B')"
