,ABCB1,ACTN4,AHR,AKT1,ALDOA,ANGPT2,ANXA2,APLP2,AR,AVPR2,BAP1,CCND1,CD274,CD44,CDKN2A,CRP,CTNNB1,CXCL12,DNMT1,DNMT3A,DOK4,EPAS1,EPHA2,EPO,ERBB2,ERBB3,FN1,GATA3,HIF1A,HNF4A,INSR,JADE1,KPNA2,MAP3K5,MAPK3,MMP9,MTOR,MUL1,NDRG2,PATZ1,PIK3CB,PRKCE,PTEN,PTPRU,RBX1,RNF139,SOD2,STAT3,STK11,TEK,TFAP2A,TGFA,TGFB1,TICAM2,TRIM33,VCAM1,VDR,VHL,VIM,WWOX,Y
109,34.37828684,37.41351651,34.56680648,34.66523241,38.71042632,32.43988808,38.52026967,36.68394494,29.45769393,29.05877475,33.40124987,35.50515053,30.13252117,36.64415346,32.53759603,23.55342,36.5363,35.26184,36.01775,32.23264,33.28871,37.65662,33.568,20.98119,32.49673,33.71222,40.77478,28.95339,36.38827,32.229,35.04015,32.46908,33.31404,32.2664,34.43625,37.5308,33.34867,29.36413,34.66135,29.59171,33.20273,31.12276,36.28409,34.45727,32.58173,32.0326,38.8748,36.53784,33.83242,32.66729,30.40105,29.6598,34.67245,27.4079,34.73966,35.27042,30.88852,32.4382,39.93152,34.70884,0
110,32.18603781,37.06328948,33.97212503,34.76055628,37.35079048,33.20519474,37.33051935,35.77159357,29.64061195,27.63551792,33.45462494,35.16933781,29.94352604,36.33709118,31.03594889,27.58701,35.75581,34.63832,35.56001,32.04936,31.87278,38.50824,32.05323,27.96026,32.46796,33.52745,39.4718,32.44139,36.90882,32.19622,35.21104,33.1697,32.73025,33.31255,34.19226,34.21292,33.70393,29.07369,34.67086,31.23488,32.83157,32.29682,37.24268,32.80445,32.80782,31.7264,37.40544,36.64975,33.36303,31.57271,30.88704,29.43715,35.18285,22.29955,34.89097,33.52471,30.13308,31.75438,39.04842,34.34642,1
111,36.5362447,37.4174887,33.42300442,34.52947092,38.23568575,32.77967528,36.41801426,36.18013893,32.97122689,30.18881035,33.43174688,35.48133743,21.45207561,35.04687646,34.08871984,25.24234,35.9397,35.75063,36.51575,33.26531,32.99443,37.2883,33.98651,20.98119,34.09311,35.91798,38.65979,27.49545,35.92774,34.97687,35.40298,32.32133,32.30208,32.55884,33.18673,36.26701,34.11175,30.85901,33.41387,31.46921,33.65563,32.71919,36.70972,32.09667,31.4286,31.4166,38.29034,36.33947,33.81629,31.40763,31.82511,31.84353,35.56293,29.24394,33.41936,35.49526,30.8761,31.89459,39.56581,34.40917,0
112,34.31418618,37.10491799,34.57042313,33.91659753,37.69529847,33.00532027,36.11611999,35.66694787,32.21693085,28.08412174,32.38504595,35.02804826,30.5269336,35.51056739,31.33352743,23.90471,35.7004,34.55765,35.29771,32.57151,32.45079,37.96332,33.10976,24.10048,33.36476,35.81889,38.01271,33.28153,37.02146,33.14151,35.40194,32.43474,32.38316,32.52388,33.97964,30.91209,33.42897,29.03381,34.32889,30.3303,34.0906,31.86695,36.8763,31.98987,32.1591,32.52812,36.72839,35.96753,33.18261,32.56106,30.13307,31.22843,34.06627,24.38191,34.64825,35.22104,30.04282,31.72456,39.31324,34.59503,1
113,34.79123931,36.81307087,34.16172617,34.0056079,38.02190651,33.64207123,36.35329403,35.22629174,33.178644,29.34499356,33.50229509,34.67129702,30.72449306,35.52299816,29.2976201,25.16065,35.84804,34.71061,34.35805,31.95143,32.6073,38.97151,33.19618,23.88151,33.26656,36.62507,38.07175,31.47996,37.51348,33.23547,35.95285,32.92469,32.1135,32.69456,34.12131,30.12432,33.67073,29.1622,35.29482,30.62823,35.21763,31.84541,37.60411,32.02869,33.55799,33.05536,37.36785,35.52362,32.77266,33.0501,24.8977,30.25447,33.27689,21.8037,35.64369,35.79392,29.16709,32.17025,40.16369,33.67022,0
114,35.33891524,37.8526333,33.91008488,35.12800471,39.8515812,30.69582321,38.21215801,36.65040163,32.40040911,29.35604396,33.52941692,36.56852018,29.39816418,37.5750874,33.25933638,30.76192,35.33425,33.10784,35.58871,33.07254,33.98167,37.57963,33.16239,31.5167,34.53648,37.40232,39.5803,30.25203,35.81031,35.34497,34.63891,32.5576,32.90894,31.96762,34.57672,33.31618,33.21178,29.76981,33.07117,31.32524,33.8061,31.85712,35.48098,35.02681,32.99822,31.98942,38.41083,36.85405,33.97001,30.46352,32.58195,32.14002,36.09662,21.8037,33.18848,35.97872,32.17432,31.94041,40.56529,34.0818,1
115,31.77738987,36.99135559,34.96396074,34.10473013,39.14021977,32.8926698,35.93655671,35.7372717,32.16292561,27.39490296,32.77011586,36.99680563,30.15905993,34.45812598,28.15877643,25.77018,35.56927,33.36918,34.71519,32.39556,32.81037,38.07266,33.28632,28.12418,33.63143,35.19611,38.08872,27.94565,38.12745,33.04002,35.53305,33.15099,31.26932,31.54466,35.07457,29.30078,33.39232,30.52982,34.53265,31.0055,34.62569,30.50654,36.45442,33.23852,32.87367,32.56691,37.0732,36.02511,33.58546,31.6655,29.48794,30.75108,34.15497,21.8037,34.71675,35.58475,28.01804,31.32521,39.70484,34.36566,0
116,32.16390526,37.08070346,31.77986691,34.35699062,38.46868279,31.33202105,37.28699977,36.62861151,30.16864125,31.576845,32.84745723,34.27038888,31.20552969,33.5845532,32.16259547,26.79764,35.27971,36.71959,34.88981,33.07659,31.98107,35.67956,30.18592,24.2849,34.00978,34.60741,39.92951,29.83312,36.6783,31.50687,33.37632,31.54635,35.0459,31.48283,33.91464,30.40325,32.90937,30.65019,33.83513,31.76106,33.69074,29.11451,36.44109,31.18489,34.71493,33.81127,37.12986,36.35354,32.2189,28.43991,25.41052,27.64766,33.85489,25.95899,33.59561,32.69939,28.8026,32.42861,38.29596,32.47681,0
117,33.34036162,36.43290896,35.27750799,34.37749289,37.01913903,31.87138575,37.12828616,35.01675198,31.35836679,27.05846679,33.04256406,33.90016073,31.92476123,36.56571655,31.46877832,25.71352,36.25758,36.42735,35.71654,32.17205,31.45921,37.53006,31.47552,23.04933,32.06875,31.14779,39.43873,32.51541,36.83521,27.90618,33.82864,32.18513,33.50324,33.14922,33.77776,31.44288,33.85817,28.74258,33.46122,29.73422,33.64199,31.33717,37.64543,30.94557,33.87326,32.99709,37.79961,36.13709,32.72819,32.76022,30.36813,29.08274,34.19483,27.03152,34.27893,35.40923,31.64276,32.7842,39.97069,33.64197,1
118,35.11517196,36.91336283,34.04684837,34.16121395,38.44818085,32.38382118,36.51886007,35.38570233,32.86697752,29.42871863,32.20574551,36.6714805,29.06606889,35.18061886,32.34036101,21.05396,35.07977,31.61819,34.07155,32.19288,33.56363,37.47726,33.58801,20.98119,34.20465,36.10071,38.09658,33.82261,36.42656,34.18707,34.73507,32.26922,32.73301,32.78294,34.69186,32.65996,32.95064,29.7671,34.12207,30.79222,33.63797,30.98183,36.38799,32.9737,33.12645,32.16694,38.18365,35.40957,33.5807,32.55137,31.01299,31.1366,34.18061,21.8037,34.27321,36.06392,30.38787,31.30706,39.36563,33.9827,1
