,ACPP,FOLH1,FRAT1,FRAT2,ICOS,ICOSLG,ITK,MTCP1,NFATC1,NFATC2,NFATC2IP,NFATC3,NFATC4,PATE1,PATE2,PATE3,PATE4,PDCD1,PDCD1LG2,PMEPA1,PRAC1,PRAC2,PSCA,PTCRA,STEAP1,TAL1,TAL2,TCF7,TCF7L1,TCIRG1,TCL1A,TCL1B,TLX1,TLX2,TLX3,WT1,WTAP,WTIP,Y
158,28.52043222,33.41445,24.67039,27.45221,26.70757,31.11079,32.3068,32.39523,31.51207,32.12739,32.44508,33.01931,31.64905,26.1054,23.65705,20.77313,20.6434,29.51598,28.65611,33.25933,20.92977,20.97631,25.53696,25.14358,30.08805,29.27183,27.50929,31.68664,30.54816,35.03241,20.34962,20.83896,20.81345,20.74443,20.94977,28.77698,32.17395,32.00484,0
159,30.30557541,32.85723,24.82787,26.39995,26.32234,32.29348,27.80279,32.10583,32.10937,32.21792,33.12806,33.94905,29.83154,21.03956,20.98689,21.03643,21.03226,28.88477,29.67582,32.73027,20.98438,21.04606,27.25491,21.16929,29.89644,28.1991,27.07016,32.11095,29.10572,33.55293,21.11217,23.43565,21.02762,21.01461,20.94013,24.56484,31.35433,29.47084,1
160,30.37312481,33.352,28.84564,29.81253,26.93168,30.1493,28.54914,32.6723,32.47862,32.47829,33.23037,30.59246,32.38771,31.16995,20.98689,21.03643,21.03226,29.79069,21.81965,33.47371,20.98438,21.04606,25.68821,21.16929,24.55889,30.22142,21.32133,31.88709,30.23627,36.22114,28.76195,20.9865,21.02762,30.11617,23.84681,29.4447,32.54703,29.4217,1
161,27.63424072,31.83002,25.41214,26.45051,29.6369,30.81059,33.87979,32.55129,32.72214,32.28071,32.07993,33.69357,31.49975,28.50033,20.98689,21.03643,21.03226,30.97609,28.5451,31.91239,20.98438,21.04606,20.98587,27.67527,29.46319,30.32904,21.32133,32.61501,29.06928,33.55196,27.91158,20.9865,21.02762,21.01461,20.94013,31.29746,32.7322,31.75016,0
162,25.95475047,33.50644,26.29405,26.17604,25.05496,31.68354,31.26265,33.40586,32.81352,31.48333,32.52207,33.24979,31.54857,21.03956,20.98689,21.03643,21.03226,31.47064,29.21324,33.9229,20.98438,21.04606,23.89833,21.16929,31.71143,28.61989,21.32133,32.18904,31.38364,32.13072,21.11217,20.9865,21.02762,21.01461,20.94013,21.27774,33.27493,31.54797,1
163,27.87516115,34.40126,26.10403,26.28917,27.41594,31.36816,32.61572,34.1693,32.91039,33.79946,32.64563,32.8362,31.90407,20.39846,20.82256,20.77313,22.97209,28.66326,28.50088,33.83022,20.92977,20.97631,24.14624,26.58694,30.43504,30.089,28.23909,31.24737,31.15463,33.15202,20.34962,20.83896,20.81345,20.74443,20.94977,25.0644,33.62803,30.98568,0
164,30.32612298,33.67804,26.83906,26.57178,31.80307,31.30442,35.36143,30.85451,31.91568,34.28492,31.51239,34.73263,31.82576,21.03956,20.98689,21.03643,21.03226,30.91344,31.83618,31.71631,20.98438,21.04606,26.23634,27.59013,29.18471,29.19726,21.32133,33.36245,31.62836,34.25895,21.11217,20.9865,21.02762,21.01461,20.94013,25.39299,33.50415,31.06869,0
165,26.27523384,34.15343,26.18632,25.98525,26.41356,32.37184,30.90544,33.87323,33.01563,31.73657,31.89394,33.11249,32.95237,22.50866,21.43067,21.39308,21.98355,30.06065,27.42811,32.75266,21.11516,20.90645,29.45954,26.67884,27.99629,29.38114,27.52107,31.99759,32.11091,35.23823,26.40607,21.31293,21.09326,21.18281,21.37595,25.19205,33.11158,32.87817,1
166,32.61997336,32.3004,26.48839,27.98313,22.97275,30.90058,32.28558,32.1668,31.43395,31.40256,32.04298,33.71323,31.87665,22.50866,21.43067,21.39308,21.98355,24.06377,25.53385,32.52467,21.11516,22.42715,21.86117,21.19456,28.53973,28.31194,21.94019,32.10152,30.47325,32.33619,20.32437,21.31293,21.09326,21.18281,21.37595,24.21145,33.93739,31.09402,0
167,30.65005652,33.59397,21.76825,24.00682,28.45725,30.84622,33.26436,33.32063,32.46507,32.06078,32.50516,33.56281,32.80215,22.50866,21.43067,21.39308,21.98355,27.58136,28.73292,33.25536,21.11516,20.90645,21.86117,21.19456,29.49113,31.10892,27.84778,31.43805,31.91661,32.87854,24.8189,21.31293,21.09326,21.18281,21.37595,28.10961,32.65313,33.33922,1
168,29.20381638,30.81373,27.08391,25.04742,29.03989,31.26401,32.64948,28.90047,31.85628,32.07982,32.88303,33.40529,31.50111,22.50866,21.43067,21.39308,21.98355,28.88566,27.56111,31.49206,21.11516,20.90645,21.86117,26.73554,29.33414,27.83411,21.94019,32.37141,30.59642,35.16413,25.70942,21.31293,26.61024,21.18281,21.37595,28.80126,32.52524,32.22198,0
169,30.62535882,32.73877,27.09472,26.66199,30.03348,31.49599,32.58921,32.66379,32.46309,32.65332,31.95742,33.40239,31.87758,22.50866,21.43067,21.39308,21.98355,31.74027,28.24548,31.81328,21.11516,20.90645,21.86117,26.8313,28.86919,27.43155,21.94019,32.28134,30.81453,36.30152,20.32437,21.31293,21.09326,21.18281,21.37595,27.74826,32.74607,31.48531,0
170,32.89201337,32.49861,27.1664,28.59002,30.58927,30.2723,33.46197,33.10478,31.95903,32.54402,31.71396,33.71257,32.12243,22.50866,21.43067,21.39308,21.98355,30.34139,30.42783,33.37368,21.11516,22.79502,21.86117,26.95684,30.78724,33.19399,27.80529,32.55617,30.02199,33.88463,27.84837,21.31293,21.09326,21.18281,21.37595,26.61432,33.43603,31.41087,1
