	HSPD1	PTEN
0	VHL	SLC2A1
1	VHL	RNF139
2	VHL	ATM
3	VHL	TGM2
4	VHL	TP53
5	VHL	SOD2
6	VHL	EPAS1
7	GSTP1	TGM2
8	GSTP1	MAPK8
9	TGM2	RELA
10	TGM2	PAK1
11	SETD2	TP53
12	ERBB2	NF2
13	ERBB2	PAK1
14	NDRG1	TP53
15	NF2	PAK1
16	NF2	TSC1
17	PIK3CA	PTEN
18	MTOR	TP53
19	MTOR	MAPK8
20	APAF1	TP53
21	TSC1	TSC2
22	RELA	IL6
23	RELA	TP53
24	RELA	ATM
25	ATM	TP53
26	MAPK8	TP53
27	PTEN	TP53
28	PTEN	BAP1
29	ARID1A	TP53
30	PTGS2	TP53
31	HSPB1	TP53
32	HSPD1	PTEN
