,AKT1,ANXA1,ANXA2,APAF1,APC,ARID1A,ATM,AXIN2,BAP1,CARD11,CASP2,CCND1,CDKN2A,CRADD,CRYAB,CTNNB1,CTSD,DLC1,DNMT1,DNMT3A,EPAS1,ERBB2,ERN1,FLT1,FLT4,FN1,FOSL2,GSTP1,HNF1A,HNF4A,HSPA9,HSPB1,HSPD1,IGF1R,IL6,IL6R,INSR,JUN,JUNB,JUND,KDR,KIF1B,L1CAM,LRRK2,MAP2K1,MAPK8,MTOR,MYC,NDRG1,NF2,NFE2L2,PAK1,PIK3CA,PTEN,PTGS1,PTGS2,RELA,RET,RHEB,RNF139,SDHA,SETD2,SFRP2,SHANK1,SLC2A1,SOD2,SRC,STK11,TGM2,TP53,TSC1,TSC2,VEGFA,VHL,Y
30,33.7919363,35.22896625,37.81693166,33.64440839,33.42269071,33.81854681,36.4251727,26.38488448,32.89257041,31.39181866,34.23868963,35.60229175,32.62155005,32.60827,39.23526,35.47718,36.44643,32.73441,35.91488,32.38434,37.06045,33.81135,33.56034,34.56203,30.83713,38.9167,34.85214,35.29076,31.8522,32.74702,37.23182,37.56756,36.92248,33.8074,30.50102,33.86307,34.44924,31.95438,31.9701,34.45882,33.00741,33.69363,33.85374,34.83709,33.54535,33.79979,33.24428,33.19115,39.79833,32.99015,35.58041,34.42196,33.11406,36.97114,32.22794,29.33154,32.70856,23.6062,35.26217,32.84129,35.78427,33.33105,30.07822,28.33195,32.85885,38.72241,31.76498,33.75746,36.27262,34.77403,32.89436,34.89663,38.41022,32.18444,0
31,34.51373272,35.02829436,36.82228054,32.13744576,34.19640539,34.05896209,35.51042474,30.57607747,33.92418113,30.5873458,34.36685642,37.43736107,29.08671965,32.17229,36.7913,35.5614,35.50753,34.75125,34.8964,33.68269,38.88147,34.29627,31.83889,35.09152,31.56358,39.04755,36.46611,36.2924,30.95607,30.41794,35.81358,37.80952,36.43979,36.37383,33.31571,30.87509,35.4583,33.61817,33.87106,34.22612,32.79005,33.36928,30.93695,33.80742,32.74324,32.91157,33.45795,33.57261,40.77444,32.42807,34.88037,34.62536,32.44021,35.27228,32.84234,33.70217,33.28523,30.66056,33.70758,31.26782,37.6191,33.39691,30.85828,24.76661,34.94231,37.57024,31.04294,33.32977,34.99056,36.5513,33.38167,36.15458,40.79282,29.55647,1
32,34.94248262,34.91406276,36.66179523,32.69047766,33.17637854,34.33464031,35.4191848,31.30856946,33.48215132,33.02084297,34.47414012,35.1592052,33.51038672,31.79446,37.20212,35.56126,36.37915,32.57978,34.86426,32.50927,36.74275,34.74669,31.8926,32.66427,32.35898,36.94897,35.44814,36.76224,32.61244,34.48347,35.81361,37.60916,35.87817,35.113,30.40736,33.77221,33.28988,33.41344,32.63361,35.57703,30.93373,34.06017,32.32333,34.19843,33.41187,32.40612,33.79023,32.69023,38.22338,34.14983,34.81621,33.06661,33.03581,36.49972,32.76065,30.05611,33.92521,28.30014,33.57788,32.33853,36.912,32.90743,30.97243,27.44842,33.29177,37.69522,32.61209,33.28225,36.61159,33.46325,32.70867,35.57148,36.67216,32.07804,0
33,34.17646208,36.35910498,36.08380318,32.95241358,34.20462389,33.91170624,36.18760125,31.46744276,32.49201018,31.24183197,33.52076527,36.3799745,30.86067217,31.89353,38.13136,35.69497,35.78491,34.82763,34.84212,33.40463,37.95201,32.47482,31.46279,35.11247,33.27057,38.85248,34.92612,35.74118,33.027,32.31175,37.26893,37.46501,36.04547,34.08291,30.94604,33.77733,34.65525,34.22925,33.62155,35.89694,33.10378,33.5654,23.83883,35.128,33.7735,33.37871,32.43436,34.21427,40.04164,33.34783,35.09306,34.54315,33.49249,36.89801,34.06043,31.84872,33.40941,28.44992,34.30242,33.64744,36.43619,33.43511,30.15919,29.8355,34.0561,38.5424,32.36703,32.61364,33.24322,35.62678,33.39661,34.82624,39.98429,32.19045,0
34,34.14550487,35.33480239,38.68696142,33.08146906,33.94791863,33.31112796,34.58048162,30.92765752,33.38601925,30.49506998,33.35434245,35.10316316,24.50161888,33.38527,40.05105,35.23354,37.39094,33.36026,36.28878,32.07157,37.04465,33.84459,30.91528,34.50498,31.71483,39.08265,35.96062,36.28965,31.80034,33.5186,37.34196,38.08506,37.52539,34.28755,32.2074,32.67909,34.83565,33.48132,32.68222,35.26388,32.92881,33.91813,31.34245,34.81969,33.56885,33.99083,32.87964,33.19069,38.52023,33.93609,36.32304,35.19004,33.32984,37.58374,31.5936,32.56198,33.16559,27.32277,35.20999,33.5604,35.15218,32.97898,32.99525,26.21278,34.67576,40.2601,30.54792,33.1036,35.01177,34.34409,31.78938,34.2,38.33288,31.0072,0
35,34.21461159,36.28398903,37.5994101,32.15053755,33.87892726,34.05614214,35.6265055,31.16848987,33.16089491,30.16248441,33.87841007,36.58636784,32.01758954,31.76622,40.6941,36.18709,37.98904,33.30829,35.55839,31.92949,38.31093,33.46668,31.92583,35.36277,33.22002,38.897,35.97639,36.17764,31.39331,32.95859,37.25569,38.21896,35.78074,36.09634,34.48801,32.74992,35.56193,34.00581,32.88666,34.27325,33.15278,33.79672,30.51869,34.21029,33.83086,33.8527,33.68001,32.8936,39.7003,33.92941,35.18697,34.63602,33.68339,36.6287,32.04671,31.09901,33.02478,29.13549,33.71378,31.83364,35.2362,33.00757,29.16173,26.94146,35.18912,39.16216,31.34357,33.94074,35.65874,34.66919,32.72168,34.90889,39.27414,31.90031,1
36,33.86038713,35.26074962,38.06750916,33.45804675,33.16398915,34.9537067,36.47688371,28.30021254,32.87289636,29.88072665,33.11235905,35.98497555,32.875043,33.22833,35.53574,36.17475,37.57937,33.60614,35.60879,31.20097,38.49299,30.70377,31.30694,34.90519,32.7408,39.8681,36.03708,35.21012,25.25893,26.40499,36.83349,37.99049,35.942,36.39583,33.346,33.24461,34.26205,35.55681,34.18661,34.55345,33.11619,35.12637,23.83883,34.13916,34.01182,32.76571,33.72647,33.9016,40.53389,33.90075,34.69603,31.69179,32.70673,37.1101,35.15486,33.98265,33.00066,27.76296,35.15526,33.21646,36.55012,33.22673,31.89743,27.87751,35.75184,37.47927,32.15628,31.32264,36.85929,33.48096,33.53046,34.51236,40.76846,31.35354,1
37,35.64948749,33.72002739,35.21316925,33.27913096,34.31203676,34.20825978,37.70359131,31.17714013,33.0926036,30.64047394,33.06612788,36.35505761,30.44942068,31.82783,38.05395,36.15657,35.13688,35.02819,36.23234,33.17903,38.30625,33.26534,31.87291,35.47084,33.89036,38.38729,35.41639,36.35967,32.16523,29.54643,37.24318,37.76111,36.71159,36.16729,32.13692,33.80535,36.06916,35.59526,34.82382,35.49812,33.11952,34.85356,29.61897,35.24868,33.24358,33.07517,32.98039,33.78992,40.2016,33.59144,34.87291,34.93133,32.50788,37.6299,31.6295,32.45242,34.04913,29.09234,33.16619,32.37365,37.43144,33.51507,31.92642,26.21725,33.90722,36.88568,30.59689,33.77616,33.22821,34.35794,33.33124,35.96253,40.72336,30.8842,1
38,33.84073701,35.95639969,37.73321729,32.84486986,33.47505579,33.12652983,36.10116953,23.58278724,30.62522282,32.28885816,34.02555005,36.53778519,31.16182149,33.84377,38.52717,35.55795,36.15358,32.61685,34.45764,32.96437,37.93276,32.8475,32.51075,35.3531,32.75802,38.54106,34.86909,35.89483,32.76014,32.61025,36.98516,37.93825,36.10208,34.70887,33.31508,32.85328,34.50568,33.45597,32.06851,32.63002,33.41428,34.29635,33.5798,34.33118,33.98574,33.04684,32.63446,32.74483,40.3062,33.25872,34.75275,34.30773,33.14868,36.26911,30.41463,32.5938,32.92397,26.82215,35.8726,32.49066,36.12745,33.25497,24.04684,27.39356,34.99934,37.49115,31.7696,33.44951,36.39832,35.88948,32.73166,33.80004,40.71375,31.17131,1
39,34.44208043,36.15975554,36.33479448,33.37719079,33.63784016,33.02667405,36.10470919,30.9899806,33.06658648,31.43282654,34.39586328,34.70517947,32.40284637,32.16536,36.56236,35.91886,35.38601,34.08675,35.43402,31.86957,37.57839,33.06746,32.81039,35.35707,33.01597,39.56366,35.25201,35.58861,32.2203,33.71825,36.23594,37.4925,35.35656,34.20896,29.45396,33.70438,35.03841,32.64023,32.83915,35.4125,33.8229,33.79296,23.83883,34.19548,33.12008,33.14815,33.589,32.70099,39.96953,34.18658,34.1241,33.25914,32.9767,36.85926,30.56451,30.44623,32.86075,23.6062,34.05992,33.5531,36.79325,32.97091,32.65823,28.87088,33.9383,36.14906,31.79966,33.65827,34.77159,33.06034,32.87974,35.14273,39.17223,32.3053,1
