,id,AGO1,AGO2,AGO3,AGO4,ATM,BLM,BRCA1,CCNH,CDK7,CETN2,COPS5,CUL4A,CUL4B,DDB1,DDB2,DDX20,DGCR8,DHX9,DICER1,DROSHA,EGFR,EIF4E,ELAVL1,ERCC1,ERCC2,ERCC3,ERCC4,ERCC5,EXO1,FEN1,GTF2F1,GTF2H1,GTF2H2,GTF2H3,HDAC1,HSP90AA1,HUS1,LIG4,MNAT1,MOV10,MSH2,MSH3,MSH6,NPM1,PABPC1,PARP1,PCBP2,PCMT1,PIWIL1,POLD1,PRKRA,PSMC2,RAD23A,RAD23B,RBX1,RPA1,SLX4,SMARCB1,SRRT,TARBP2,TCEA1,TNRC6A,TP53,UBE3A,UBE4B,UBQLN1,XPC,XRCC5,XRCC6,Y
33,33,32.25345641,33.51752143,33.0529485,32.52557045,36.18760125,31.07592327,32.26736301,33.02114872,34.20844482,31.89924719,33.36083573,33.55161,33.59098,34.38411,32.76717,32.59946,32.2926,34.66419,34.3397,34.1881,34.74777,34.59976,32.96664,35.49019,31.80676,33.10401,32.46741,33.30597,31.47107,31.66656,33.48356,33.1169,33.97056,32.20976,33.56293,36.62061,32.95028,31.44492,32.50956,33.13833,32.84284,32.83396,34.13272,39.89564,39.06872,34.6255,38.14819,32.29482,26.83055,31.02681,33.67529,33.70272,34.51556,35.73363,32.83459,33.15778,30.65856,34.07098,34.43361,31.02366,34.83224,35.03323,35.62678,34.39019,32.74787,34.82766,33.28348,35.11961,35.30384,0
34,34,32.15896605,32.85211962,33.08592165,30.10677225,34.58048162,30.22488823,31.94787005,34.52215427,34.8510741,33.85137784,33.13718183,34.06468,34.75972,35.04291,33.3099,32.46365,31.14194,35.03079,34.13347,34.03041,34.45515,35.77014,32.81327,34.86426,33.11117,33.4541,31.58931,34.82325,30.79518,29.07455,33.32986,33.93007,34.93147,34.17829,34.2363,37.01959,32.61231,32.12775,32.54239,32.2732,33.0137,34.10156,34.03163,40.62635,40.07113,34.90898,39.56445,33.60598,22.08228,31.34332,34.03857,34.46899,34.54811,35.50287,33.8605,34.56401,28.78124,34.44639,34.37202,31.2696,35.44739,33.48074,34.34409,35.08915,32.91403,33.97746,32.32457,35.68829,36.58515,0
35,35,31.80619877,33.93090113,34.09425118,31.73430003,35.6265055,30.2459667,31.40633683,33.66538671,33.81699858,31.61382976,33.29816098,33.75725,34.11868,34.93343,33.49819,30.87084,31.42568,34.95074,34.53202,33.89205,34.67377,34.90156,32.72,35.50793,32.90056,33.34628,31.73732,33.81036,29.8564,30.42359,32.51451,32.49212,33.37267,32.479,33.84981,36.21111,32.98394,31.40636,32.94416,33.69712,32.60172,32.79817,33.76649,39.09106,39.27296,34.32651,37.92335,32.96117,29.26307,31.11051,32.53753,34.81847,34.2088,34.9111,33.40798,33.07674,31.0001,34.62815,34.85015,31.24077,33.83392,34.49253,34.66919,33.53834,33.14284,33.47267,32.29356,35.13655,35.48809,1
36,36,31.95781451,34.61064852,33.3011311,30.83137935,36.47688371,32.58019954,33.44568396,34.49262015,33.36663768,32.04951285,33.99498709,33.90562,34.06728,34.77155,32.37245,31.84035,32.13465,34.86043,34.61055,35.2889,36.70616,33.68295,32.43132,34.47216,32.00969,33.18766,31.6845,33.94515,31.06717,30.87757,33.42937,33.74182,34.89464,32.16552,34.59471,36.29071,33.83219,31.46814,32.28188,34.44705,33.62099,33.20969,33.00741,39.42565,39.37493,34.46073,37.08146,32.13928,22.08228,30.60822,33.98988,34.5203,33.64262,36.09724,32.62696,33.40566,31.09041,34.77236,35.11272,31.11708,35.02472,34.18587,33.48096,34.76796,34.71625,34.10276,31.79425,34.49371,35.59851,1
37,37,31.45017416,34.66481458,34.8081096,31.99207246,37.70359131,30.83920232,32.27786826,33.43641408,32.07598187,31.65908026,33.52801387,33.66189,33.37079,34.04599,33.55209,30.8373,31.93899,35.07971,35.82336,35.63235,34.09813,33.35582,32.69556,36.0803,33.9975,33.77905,33.12784,33.81845,30.25266,31.28757,33.47977,33.40807,33.82963,31.06969,33.50423,37.29116,33.54901,31.67303,31.41262,34.64449,32.2285,33.72729,33.98296,37.69588,38.7527,34.34202,38.26891,32.09992,22.08228,32.38145,34.96178,33.68305,32.98411,34.55531,31.91862,33.68015,31.47327,34.40819,35.0642,29.40933,34.52124,36.28378,34.35794,34.84584,34.22333,34.60337,33.16957,35.3536,34.76359,1
38,38,32.25238974,33.16579927,34.12781534,31.75260283,36.10116953,28.87878345,30.94054874,33.35184304,34.15262998,32.25865086,33.4424872,33.06331,34.11286,34.00429,33.01188,31.39223,31.48504,34.48917,34.04591,34.79842,34.54155,34.95021,32.40165,34.5143,32.81466,32.92522,32.24761,34.27862,29.83519,30.19395,33.35519,33.9292,33.13784,32.06331,34.19232,36.2299,33.16606,31.34314,33.468,33.88285,33.18778,32.89778,33.71355,39.58204,38.92259,34.86199,38.42597,32.24965,22.08228,30.09702,33.06367,34.15963,34.05999,35.20059,33.66939,33.50504,31.03101,34.50041,34.22035,30.51177,35.16547,34.35202,35.88948,34.73864,33.10717,34.43552,31.40295,35.65084,35.86526,1
39,39,32.11881862,33.67308077,33.96740788,32.49575167,36.10470919,31.11324771,32.17120433,34.68729134,34.14943373,32.40187255,34.12639725,34.00992,34.29379,33.51225,33.04894,31.49154,34.10911,34.49492,35.11204,34.84547,35.09831,33.48586,31.47131,34.76698,33.16726,33.38022,33.59458,34.51023,30.2416,29.5101,33.85964,33.75752,33.46574,32.82101,33.57168,35.4134,33.58098,31.20794,33.30775,34.11742,33.74217,33.65487,33.82773,39.11493,38.64795,34.16043,37.41205,32.30108,22.08228,31.5699,32.90741,34.25658,33.39751,35.11687,31.91136,33.2815,31.43649,34.54509,34.78041,31.46237,33.45319,35.28784,33.06034,35.25868,33.84463,33.46404,32.82093,34.5134,34.93277,1
40,40,32.6060718,33.00505113,34.23019213,32.96624804,35.50924774,30.19347769,34.82430076,32.40042102,34.93863679,32.65536079,32.09736687,33.4106,34.16008,33.80909,33.56507,29.75137,31.58274,34.44468,35.62438,35.32683,34.72345,34.48354,32.56129,35.25206,30.94253,34.04488,31.2848,32.56477,31.27584,31.17339,33.43172,33.54349,32.72497,33.35827,33.25611,36.34727,33.59429,31.64406,32.68722,34.1807,31.3376,33.8126,32.68219,38.29646,38.26209,34.01308,37.74326,33.06838,22.08228,33.58096,33.63732,34.65827,33.99037,35.94443,34.53978,32.7572,30.91549,33.67365,35.43222,33.8256,34.24696,35.20196,34.61866,33.40777,34.58871,34.6485,32.37699,35.7545,35.15262,0
41,41,31.58344885,34.05811677,34.08082803,30.51457699,36.63692229,30.20443578,32.62907214,34.34882344,34.31462814,31.18418186,33.17553541,33.68882,35.06042,34.29559,33.60878,28.66794,33.27362,35.43491,35.54487,34.15509,34.91856,34.38314,33.34379,35.9444,32.76394,32.7489,32.12491,34.22237,29.17479,32.64744,33.20574,32.82188,32.31305,33.07349,34.03207,37.06546,32.047,31.88808,32.86889,33.73395,32.52238,33.32778,33.7312,39.61249,39.72425,34.93861,38.4708,33.61204,25.73741,30.48791,33.87754,34.47946,34.05237,35.68921,34.43751,34.30182,30.90022,35.1722,35.14957,32.26803,35.37437,34.50234,32.99527,34.2751,33.40502,34.62848,32.11874,35.91961,35.74617,0
42,42,31.13006001,33.45131184,34.0747691,30.27619749,35.40827872,31.72633375,33.4681554,33.78578623,33.75795178,31.82923596,33.27771798,34.84398,33.67331,34.5716,34.14699,32.33474,32.42336,34.42912,34.12154,33.16915,35.47797,34.35498,32.49801,35.6844,31.76656,33.21764,34.09669,33.94821,30.61345,30.87219,33.46741,33.50846,34.23091,31.58741,33.1895,38.55205,33.43482,31.5616,33.38684,33.40651,33.42776,33.34923,33.6682,38.50174,38.21919,34.35712,36.75432,33.18323,22.08228,31.58741,34.1503,34.86056,33.62266,34.82703,32.32634,34.54734,31.88942,34.89416,34.53517,30.66142,35.37409,34.7838,34.01316,34.04507,33.84273,32.83591,32.52008,35.05208,35.22228,1
43,43,30.86269352,34.20577576,33.65768961,32.0934132,35.09397636,32.39502849,32.17703221,33.73521475,32.70693256,31.41977791,32.9180642,34.14674,32.49281,34.89267,33.13033,30.96584,32.68771,34.40931,35.01861,35.33094,35.23007,33.14506,31.41004,36.24402,33.22271,34.40478,31.9228,33.51947,31.46021,27.41801,32.64571,32.98981,32.09209,28.97981,32.92796,35.64105,33.82494,30.50661,32.86072,34.31424,31.6282,31.51338,32.98764,37.19237,39.29727,35.05908,37.34285,32.68564,29.82416,31.57616,33.97292,33.92462,34.34915,35.47169,32.27376,33.29108,31.28013,34.35154,35.24047,29.81825,34.80182,35.27258,34.39162,33.83297,34.06802,33.58075,32.19455,34.3535,34.97186,1
44,44,31.84179579,34.15651989,34.03295053,30.518187,36.66304664,30.50848728,31.44324305,35.00590993,34.20607958,32.27655094,33.69267628,34.60861,34.25954,34.04951,33.03275,31.54146,32.49205,35.14068,35.06754,35.09578,34.66563,33.90917,32.47971,35.25767,33.19682,33.84792,32.42991,34.65907,28.4757,28.75182,33.19774,32.56102,34.02045,32.66767,33.41425,36.17055,33.37237,32.2484,32.88627,33.13696,33.00814,33.72186,33.39246,39.41994,38.56866,33.96283,38.0119,31.95763,23.20265,30.0945,33.91232,33.80931,33.16817,34.51414,32.72685,33.42875,31.1958,34.341,34.73896,30.03984,33.8749,35.05637,34.48647,35.03659,34.06364,34.14798,33.50879,34.98101,35.40361,0
45,45,31.96373843,33.94085982,34.64619121,31.95641696,36.13931747,32.13647483,33.31964455,33.36811642,33.70746886,31.55593125,33.46465961,33.29272,33.53149,34.88688,33.86932,32.03199,32.41124,35.60124,34.50982,34.93278,34.39009,34.38645,32.77551,34.74842,32.45298,33.81182,32.36597,33.9486,32.43051,31.76355,33.56307,32.9104,34.16712,33.23133,34.47157,36.47773,33.32165,30.82943,32.39162,34.73959,33.11455,33.45949,34.1492,37.83416,39.49376,36.03744,37.61811,32.47601,24.11501,32.38238,33.48472,34.59368,34.35981,34.701,32.62927,33.45892,32.04368,34.27257,35.39447,32.39667,34.89165,34.34171,34.42311,34.97289,33.64536,34.14124,32.20282,35.47095,34.59306,0
46,46,32.05822081,34.00967262,34.24537329,31.91908182,35.73293852,30.43632334,31.99140642,33.36773052,33.05481251,31.72362295,33.1049503,33.2949,33.06772,35.32714,33.67207,31.52136,32.17173,35.07044,34.30943,34.22263,35.25117,33.57219,32.81979,35.72353,33.16867,33.62604,32.14879,33.65224,29.30395,30.95378,33.56878,32.6763,33.25358,31.84168,33.68806,35.76603,32.26268,31.06156,32.95294,34.70098,32.1653,32.4822,33.10856,37.594,38.3301,34.72552,37.25874,32.98646,26.27464,32.24122,32.84498,33.76513,34.61566,34.60335,32.52502,33.74992,31.00867,34.32963,35.04245,31.68987,34.44933,33.89174,33.81581,34.10104,33.02204,33.88411,32.4426,35.10027,34.78245,0
47,47,32.24808836,34.74472204,34.59062726,32.40357637,35.36794528,29.03227025,31.81244243,34.88370931,32.85251105,32.54218337,33.32344479,34.04862,34.15624,34.8182,33.06021,30.92086,32.53292,35.07007,35.10434,34.28499,34.82642,34.91443,32.90932,35.28328,32.4622,33.01523,32.01191,33.7289,26.32743,30.14003,33.36991,32.98244,33.36129,32.07119,33.59187,37.95427,33.03291,31.78731,33.37062,33.59912,31.73659,32.41261,33.70673,38.50918,39.44743,34.51375,37.76149,32.98875,24.57682,30.58625,34.11093,34.20473,34.24882,35.79236,32.76997,33.53669,31.02163,34.03821,34.9143,30.21971,35.18821,34.83049,33.06353,34.71553,34.57377,34.36061,32.75618,35.21144,35.86547,1
48,48,32.31224101,33.13973912,33.37793287,30.85574717,36.77353862,30.89240083,33.06578647,34.4115709,34.61742192,32.36078879,33.57200436,33.51237,34.35499,35.51006,33.58035,31.89892,31.31674,35.2155,35.25743,34.57275,35.53571,34.43414,32.86928,35.71363,33.68344,33.87154,32.17945,34.88131,29.05443,31.24268,33.87819,32.85764,33.23294,32.96412,34.21763,36.63489,32.93405,31.13443,33.2489,34.05299,32.35319,33.70384,33.22399,38.92349,39.13029,34.92118,38.60693,33.12874,26.28326,31.58054,32.98051,34.27434,33.96188,35.1482,33.19396,34.36186,30.12571,34.94038,34.94908,30.5802,35.2297,34.81707,34.17134,34.48703,33.57853,34.18939,32.76253,35.14655,35.97904,1
49,49,32.27001583,34.28088201,33.70061428,32.30465769,36.14926077,31.32707824,32.84881077,34.09062499,33.32856032,32.56571583,33.53206626,34.58286,33.92605,34.9626,32.49796,30.93748,32.76324,35.32144,35.26079,35.21026,34.07474,34.81567,32.98926,35.04218,33.60494,33.79886,31.98104,34.74193,30.62589,30.96435,33.98249,32.75849,33.39925,33.11497,33.40672,37.69712,33.03201,32.23262,33.04529,34.04558,32.72563,33.03161,34.03602,38.22105,39.33351,35.66192,37.84093,32.63844,24.04258,31.91568,33.28095,34.59263,34.01208,35.57046,32.43511,33.91556,32.19855,34.51609,35.25308,31.56946,35.11853,33.75379,34.72803,34.78126,33.9201,34.4979,32.34892,35.48597,35.58321,0
50,50,31.46817037,34.19351065,34.12914086,32.27897698,35.91288584,31.20362669,33.00948112,33.18808778,34.48891036,29.14850434,33.29732658,33.48982,33.65018,34.40523,33.58237,30.25766,32.06178,34.75185,34.75377,34.38434,35.55604,33.98032,32.19,34.70168,33.91548,33.88436,32.80048,34.6201,31.98493,30.19379,33.34994,33.63025,33.03162,32.00876,33.67864,35.53147,32.9309,32.34505,32.52456,34.86024,32.65408,33.10829,33.5471,37.90767,38.88298,33.97496,37.17232,32.0255,19.43493,32.17404,32.48221,33.05091,33.92563,34.62826,32.78216,34.30462,31.34005,34.33715,35.53071,33.77667,33.13596,35.69534,35.53983,34.228,34.92412,33.96196,32.66202,34.30524,34.11549,1
51,51,32.4008426,34.54893314,34.95737223,30.38424824,36.80279439,33.2576599,34.47891683,35.72316735,34.13956595,31.4718952,33.51557291,34.58507,34.79033,35.8293,35.26912,31.74957,33.52272,35.65579,34.78196,35.56124,34.73975,34.69762,33.19439,36.13061,33.55457,34.48326,30.74139,34.57301,33.94101,33.89457,34.32886,33.66988,33.30947,32.64005,34.58923,37.35823,33.91458,30.34147,33.94987,35.03745,33.3524,33.38301,33.43208,39.39449,40.41076,35.8651,37.52484,33.23688,21.08764,33.29357,33.90281,35.07545,34.71407,35.86649,31.13528,33.31036,32.40629,34.93623,35.90288,32.10731,35.90292,33.92013,36.36869,34.92996,33.6518,34.25738,33.21668,35.55118,35.62055,1
52,52,31.88677538,33.11370921,33.28016148,30.6293317,36.92952934,29.34724028,30.90544249,34.55537998,34.34936434,31.88223268,33.81571641,33.87538,34.14394,34.53759,32.51704,31.27644,31.73486,35.14305,36.02915,35.35425,35.41481,34.52115,31.98793,35.34242,31.07307,32.96915,32.7974,34.09354,27.74299,28.47989,32.94586,33.03337,34.37167,32.62809,33.7969,35.68574,33.36491,31.49751,31.61092,34.06526,32.92259,33.79146,33.57281,38.316,39.17917,34.118,37.91194,31.49827,30.3978,31.57512,34.57735,32.83989,33.7265,35.72508,32.65819,32.64731,29.72937,34.40031,35.16552,30.82139,34.9988,36.7438,35.91553,35.04931,33.18607,34.5282,34.09446,35.1324,35.50082,1
53,53,31.46784841,34.76788556,33.99069396,30.65873299,36.09020895,30.58658633,32.04528012,34.80442026,35.46362379,32.41768918,33.50237518,32.90082,35.52517,33.76916,33.47026,31.68148,30.11479,34.95985,35.66824,34.3347,34.79295,35.92021,31.6676,35.0718,33.09436,32.81774,32.35458,33.14899,30.55351,25.63935,32.07888,33.8549,36.08402,33.17903,32.4261,35.74253,33.18878,31.59583,32.57721,34.02051,32.56463,34.34932,33.71507,39.88256,40.85954,35.07588,39.79386,33.36687,24.1223,29.75387,34.04892,35.20227,34.22737,36.31789,34.44369,31.91551,29.65794,34.14982,35.45286,31.27036,35.7371,34.92394,32.58365,35.16917,33.93066,34.94361,31.29987,35.45815,35.18907,0
54,54,31.50945546,34.03209217,34.01489976,32.10667972,35.51944257,29.0673743,30.81944793,33.72133617,33.90036528,30.55184998,33.04520486,33.04917,33.15991,34.84814,32.97808,31.47927,32.56394,34.38137,34.38467,34.78654,35.35059,33.82149,32.57386,35.17372,32.88473,33.62231,32.28123,32.94909,29.81398,28.17052,33.67459,32.89093,33.65586,32.60537,33.46563,35.73657,32.27063,30.24731,32.63556,33.88284,31.95932,32.80206,34.11439,37.9557,38.47645,34.3925,37.67569,32.41938,21.08764,31.76508,33.20452,34.03948,34.45627,34.91761,33.10001,32.60926,30.88347,34.82221,34.53717,31.60903,34.69199,34.50246,33.82773,34.0459,33.57032,34.24312,32.24891,34.44183,34.49961,1
55,55,32.21486848,33.7417101,34.07894698,33.14363977,36.28046809,31.15118993,33.45161139,35.04675324,34.92364385,32.5174344,33.14148266,33.49118,34.47787,35.15626,33.81534,32.60272,33.21284,34.83456,35.41593,35.09147,34.07528,34.95318,33.28302,35.87354,29.74781,33.49572,34.25673,35.01389,32.0152,28.47576,33.66341,32.25598,34.40449,32.22428,33.84458,36.75041,32.82739,31.95615,33.1721,34.48501,33.27066,33.74282,33.12865,41.02161,39.62183,34.46326,39.28735,34.14403,21.08764,32.88211,32.97302,34.45205,34.57314,36.32186,34.40781,32.67835,30.2929,35.13442,35.06074,25.22549,35.88026,34.34996,35.35425,34.89283,35.55488,34.4348,31.08426,35.40696,35.86488,1
56,56,31.99426443,34.2683669,32.20192513,32.49057749,34.90934805,31.26246188,32.28098812,33.70537013,31.71410191,30.82770723,32.43528208,33.96033,33.33826,34.7306,32.60233,29.87837,33.16846,34.86801,34.85439,34.00677,34.13107,33.69725,32.64705,35.86826,32.12417,33.49157,32.30856,34.18242,29.62659,32.02587,33.13712,31.8314,27.50642,31.79278,34.00574,35.9329,31.07636,31.24379,31.70362,34.41762,31.34963,32.27815,32.9843,37.8485,38.89238,35.03922,37.21923,31.1413,27.38409,31.73963,33.04983,33.64082,34.51631,34.94167,31.701,33.3935,31.93852,33.88683,35.14338,31.90009,34.60148,34.06587,32.66038,34.19106,33.97372,34.2634,32.64953,34.28218,35.07233,1
57,57,32.06878745,34.22560535,34.18804231,32.29686034,36.68355873,31.96193623,32.72718915,34.50184625,34.25959946,31.55599172,33.75869563,33.97253,33.7741,34.89694,34.03509,31.87393,32.85229,35.18973,34.81009,34.66822,34.61012,34.57977,33.02602,34.91189,32.66711,34.05502,31.77577,34.67975,31.28822,31.07739,33.28829,33.58295,34.33465,32.72217,33.14299,36.93691,33.33007,31.67381,32.46446,34.94729,33.11408,33.42119,33.99896,38.5143,39.39365,35.08149,37.47363,32.48353,21.08764,31.86081,33.28617,34.14251,34.12507,35.06614,33.34375,33.84012,31.70059,34.83238,35.08282,31.4523,34.56577,34.99254,34.55579,34.7528,33.49796,33.9383,32.66802,35.27348,35.20184,1
58,58,32.07964817,33.44891436,32.80614419,34.27545023,35.95990558,28.82462617,31.22513992,34.66028832,33.16187938,30.2780875,32.69762934,33.80673,33.89949,33.71228,32.36504,33.19919,32.55826,34.34997,35.77661,33.19006,33.42531,35.02248,31.5585,35.35305,33.24253,33.05512,32.67974,33.44607,28.75163,28.01032,31.60621,32.54239,33.89527,32.76197,32.21858,35.71428,31.32723,32.16212,33.3437,33.37616,32.77133,33.11247,32.81668,38.546,39.5305,33.77333,38.07136,31.89676,19.43493,30.55711,32.82052,33.35932,32.88632,35.07363,32.02764,30.56464,30.59988,33.44745,34.58084,31.57882,34.51974,37.57429,36.09736,34.50941,34.65624,33.91702,33.50759,34.55106,34.77382,1
59,59,30.68866778,33.96346822,33.18039999,29.76507874,36.08001508,30.80009229,32.73088316,34.79789873,32.58910618,31.69716811,32.93376635,33.15245,33.26436,35.19869,34.31426,31.08064,31.93084,34.6784,34.611,35.05318,35.37019,32.83638,32.67349,34.88896,33.48297,33.80777,31.48035,33.83565,29.5076,31.82313,33.44365,31.79796,33.3619,32.4497,33.34997,36.21601,32.84299,30.67037,31.85595,34.11791,32.71384,32.06784,32.69614,37.23112,38.55027,34.7941,36.61081,32.10382,25.1981,32.05097,32.40221,34.12187,34.16256,33.72314,32.17188,33.34305,32.45884,34.33749,34.46778,31.89994,34.33365,34.35875,34.85328,33.71642,33.41463,33.62879,33.41325,34.57264,35.37651,1
60,60,31.63067754,34.3858269,33.57453403,31.54764758,36.80114394,30.32225728,32.09418875,34.38626648,34.01487293,31.05314953,33.2256104,33.9446,34.35114,34.69426,33.38945,31.41591,32.05211,35.31224,34.798,35.44199,36.62031,34.28192,32.83904,35.63099,32.82882,33.32899,32.01375,34.23471,29.49698,30.95995,33.77733,32.90747,34.49507,32.00693,33.2105,37.52234,32.81855,31.33136,32.65739,33.4922,32.41234,33.14255,33.6715,39.72099,39.60255,34.19589,37.99249,32.21935,24.0123,30.63468,33.48885,34.26988,34.26452,35.18133,32.56387,32.36456,31.24711,34.79949,35.06953,31.02668,34.99089,35.50164,33.94407,34.28748,33.60455,33.83827,32.3015,35.01632,35.80405,0
61,61,31.74482994,34.36580477,33.64582281,31.14909204,34.89710103,29.6549228,31.25515652,33.42536577,33.3094325,31.95469348,32.78389856,33.75872,33.68885,35.24804,33.50025,31.55592,33.40548,34.50556,34.78695,34.83915,35.76333,33.45247,32.86807,35.09038,32.8644,33.03859,32.32328,33.94002,28.33852,32.42868,33.54375,31.99613,34.31549,31.19612,33.77399,36.37939,31.35323,31.60722,32.97843,34.48898,32.31426,32.63638,32.46263,37.98426,38.58441,35.06547,37.2042,32.43576,23.66522,32.24688,32.85823,33.55755,34.15004,34.6498,31.84293,33.79804,31.52973,34.53192,35.63897,32.28405,33.78039,34.96279,34.01062,34.1494,32.99106,34.25369,32.85047,34.717,34.87715,1
62,62,31.87321551,33.29118376,32.4369093,31.21857943,36.49081947,29.27906222,32.05089848,33.98051749,34.05139902,33.25214033,33.49308593,34.43772,34.00765,35.5677,33.41156,32.15204,31.70773,34.91513,34.58102,35.68208,35.12219,34.24761,32.35209,34.88365,32.51053,33.20148,32.94935,35.59309,31.35177,32.79012,33.93796,33.51558,35.25015,31.80416,34.06306,37.06535,32.60367,32.14143,33.18807,34.45335,32.68209,33.07406,33.33142,40.23391,38.68243,34.789,38.06355,32.6808,21.08764,30.6032,32.71843,34.4395,33.75408,35.25881,32.71146,33.29707,32.11976,34.10211,35.17575,30.70073,35.52964,34.09636,33.67613,34.55774,33.49018,33.72425,33.44234,35.70933,36.46001,0
63,63,32.28814042,32.89698214,33.17432817,30.97093481,36.2804428,31.14911991,31.56204309,33.55041934,32.80538311,30.92067609,33.34488945,34.18232,34.61294,35.48526,33.17294,32.80475,30.26576,35.38338,34.82928,35.66723,35.00494,34.47405,32.36668,35.90115,30.36562,33.46359,31.41203,33.40632,28.94193,32.49942,32.9904,32.79715,34.73287,31.25388,34.44184,36.43522,33.42321,31.06234,32.28239,34.93302,32.22979,32.52464,33.75398,39.4646,40.13896,35.61649,38.5169,33.13084,24.22199,30.97199,32.58203,34.27648,34.42923,35.02421,31.57388,31.7506,31.50663,34.55831,35.4151,30.90188,35.49307,34.13113,35.54351,34.19399,34.21816,34.23513,32.35999,35.31758,35.45447,1
64,64,32.23784031,34.30497282,34.35628734,32.41174025,36.17298096,30.11234818,32.07616157,33.07420055,34.134735,30.41920418,33.22553056,33.43974,33.73744,34.8543,33.56013,30.63931,33.39261,34.81574,35.14835,34.61293,35.0559,33.85918,32.54108,34.35362,33.10049,34.49527,31.6169,33.54022,29.74417,29.97403,33.07682,32.53284,33.50256,32.52126,34.31726,35.41454,33.26124,31.54368,33.11398,34.60594,33.24081,33.0724,34.17636,37.49171,38.65181,34.62228,37.39718,31.65081,27.30863,31.47924,33.92623,33.74208,33.72159,34.40918,32.58341,33.53895,31.32899,34.99872,35.18738,31.64823,33.97579,35.27319,33.75687,34.16169,34.14098,33.9348,32.14494,34.33335,34.93473,1
65,65,33.02155047,33.81945154,34.69025395,31.77163616,36.94362001,32.30038738,31.76729087,34.0147754,34.17924196,31.0912791,33.55520703,34.31294,34.45336,34.6903,33.19695,31.30455,32.96191,35.3375,34.89665,35.21527,34.91553,34.14483,32.60094,35.12096,33.28383,33.88665,31.24897,34.55852,27.76052,30.43615,33.78781,33.33654,33.07859,32.33535,33.50031,36.30043,33.17556,31.50433,33.29944,34.29065,33.23937,34.35422,33.68858,38.93495,39.16523,34.03971,38.14944,32.42587,26.45212,31.43672,33.40527,33.64632,34.05648,35.1781,32.77357,33.78369,30.59941,34.79302,35.33418,30.76352,34.34169,35.15047,34.04007,34.51995,34.43651,33.9252,32.41565,34.74003,35.7149,0
66,66,31.99888085,32.51030551,34.47522647,31.88952258,36.69973835,27.36688539,33.51833496,33.9601277,33.81894266,31.93350573,33.25406518,33.55731,33.6941,34.2436,34.1699,31.86444,31.75049,34.8148,33.811,34.92884,34.81348,32.70348,31.91079,35.68146,32.86777,33.51398,32.29958,32.66389,31.099,31.81196,33.61126,33.19754,34.91552,32.13021,33.99715,35.49447,32.89232,31.75683,32.99371,35.24978,33.18925,33.33332,33.85418,39.03687,38.4534,34.37575,37.77343,32.57201,24.99502,32.04941,33.05953,33.42687,34.50863,34.58678,31.19775,33.05054,31.43942,34.43407,34.92049,31.58226,34.54089,34.85479,36.06187,33.67334,34.25361,33.71906,33.05463,34.56935,34.82672,1
67,67,31.99666036,33.9399961,33.48910071,31.19755299,37.29731704,29.20698656,32.30296019,34.38329319,34.18776028,32.20191476,33.18430925,34.4838,34.42798,34.9929,34.45436,33.40396,32.27918,35.11334,34.72549,36.41633,36.13668,35.21365,32.72017,35.92294,33.45248,33.86746,32.47206,35.45779,28.30121,30.73141,33.83168,33.38988,34.35095,31.73843,33.25846,37.05779,32.44358,32.29124,33.73048,33.33762,33.04009,33.49564,34.35047,40.40467,39.13886,34.74429,38.44978,32.87354,25.40438,30.84173,33.87402,34.72031,34.14759,35.19571,32.39783,32.40281,31.2177,34.87302,35.15077,30.70137,35.19161,35.97347,35.35577,34.54375,33.67323,34.06177,33.63564,35.63139,36.5344,1
68,68,31.96001494,33.84274514,34.0777828,33.33222714,36.0255581,31.83133088,32.51251029,33.91535409,32.86204269,31.56022546,32.88378199,34.09486,33.62168,34.70728,33.00307,31.13739,32.79148,35.65404,34.91238,34.52611,34.78427,34.10596,33.01052,34.04588,33.99055,33.96458,33.03681,33.26245,31.37602,31.26979,33.02976,32.62245,33.23757,31.83082,34.02367,36.1005,33.27459,32.50323,32.56355,34.61885,33.74641,33.11429,33.8409,37.16789,38.32716,35.58405,37.22453,31.83077,23.22592,31.94811,33.59364,34.62731,34.21938,35.13467,32.94207,34.25116,31.38093,34.92696,35.17588,31.72817,34.17756,34.79634,32.79931,34.02918,33.63159,34.17811,32.3123,35.40286,35.06255,1
69,69,31.55599261,34.58575427,32.89338244,30.60881433,35.39103594,32.86222076,32.14078342,33.68031388,33.15581143,32.44817589,33.23243965,33.22175,32.8934,35.12091,33.52957,30.65087,32.32074,34.66577,34.10348,34.91267,34.94826,33.96524,32.51703,35.39429,32.57185,33.16439,32.4351,34.42601,27.32421,31.05596,33.72246,32.15313,32.30401,31.45157,34.09889,37.38403,32.18353,30.69265,33.67035,35.27083,31.205,32.72486,32.81454,39.48459,38.57933,35.28676,36.20482,34.27079,29.65195,33.00874,32.11184,34.38924,34.42507,33.50755,31.92474,33.82609,31.85294,35.28686,35.37965,32.68806,34.80754,34.23066,33.45069,33.6336,32.00712,33.33615,32.53129,34.58955,35.2141,1
