,id,AGO1,AGO2,AGO3,AGO4,ATM,BLM,BRCA1,CCNH,CDK7,CETN2,COPS5,CUL4A,CUL4B,DDB1,DDB2,DDX20,DGCR8,DHX9,DICER1,DROSHA,EGFR,EIF4E,ELAVL1,ERCC1,ERCC2,ERCC3,ERCC4,ERCC5,EXO1,FEN1,GTF2F1,GTF2H1,GTF2H2,GTF2H3,HDAC1,HSP90AA1,HUS1,LIG4,MNAT1,MOV10,MSH2,MSH3,MSH6,NPM1,PABPC1,PARP1,PCBP2,PCMT1,PIWIL1,POLD1,PRKRA,PSMC2,RAD23A,RAD23B,RBX1,RPA1,SLX4,SMARCB1,SRRT,TARBP2,TCEA1,TNRC6A,TP53,UBE3A,UBE4B,UBQLN1,XPC,XRCC5,XRCC6,Y
12,12,31.66970106,33.14035052,34.12374322,30.59585032,35.7928831,31.59906249,30.99630077,33.43174999,33.30152553,31.88946701,32.63503097,33.51072,34.81975,34.71767,34.14203,31.80154,32.89688,33.89472,34.98564,34.21026,35.94771,32.53927,31.83175,35.23218,33.0363,33.46068,33.03336,33.60654,29.00594,31.65573,32.53998,33.42922,33.6568,33.00651,32.5208,34.83401,33.64041,31.06584,33.12661,34.63863,33.36513,32.78732,32.21293,37.83015,38.35657,34.44047,37.93487,30.97341,25.89914,31.50926,33.27156,33.89151,34.11186,34.51674,32.28789,33.6599,30.69057,34.40587,35.46564,32.02799,34.86394,35.25454,33.58405,34.175,33.98176,33.8083,32.33806,34.06415,34.87767,0
13,13,32.48889189,34.40976723,34.75058484,33.08722302,36.20127841,30.81117079,31.22070149,34.93161049,34.77153484,28.31226775,33.62981428,33.90218,33.72799,35.19043,34.04076,30.71532,33.71559,34.53484,34.79866,35.76767,34.7497,32.34039,31.71153,35.38041,32.89531,33.58878,31.99868,35.11937,27.24573,31.37874,33.14695,32.86121,34.31899,32.66469,33.81787,34.27134,32.6921,30.77968,31.20637,35.23143,31.81589,33.25129,33.68414,36.43918,37.78554,33.09633,36.69623,30.74535,30.75249,31.82842,31.94187,33.50305,33.94701,33.77061,31.3682,29.94408,31.65251,34.69364,36.18081,31.05249,35.19549,35.50612,31.99556,34.22559,34.32336,32.9358,32.64931,33.55583,33.50444,0
14,14,31.81560906,34.3331414,33.67770851,31.86177602,36.24531286,30.72894898,32.40271218,33.93757227,33.19480379,30.97385642,33.5319393,33.81416,32.80619,33.86961,34.86353,31.28022,33.11224,34.79388,34.54435,35.31873,35.19498,33.37612,32.5748,34.78,32.5557,33.89126,31.09427,34.70025,28.78874,30.59466,33.62576,31.85627,33.58534,31.6799,33.65384,36.37735,32.51327,30.8279,32.87722,35.32775,32.64258,32.66155,33.37284,37.49116,37.744,34.91972,36.67474,30.85651,24.89827,32.80137,32.71652,33.00852,34.44989,34.23559,31.43608,32.60904,32.10639,34.5843,35.25013,32.87979,35.05143,34.74113,33.20506,34.20592,33.59639,33.06437,33.06521,34.01367,34.58378,0
15,15,31.19879115,35.30032486,34.46245203,31.39476206,36.06760764,30.16766428,32.21170263,34.64001233,32.32736222,29.20139333,32.58207426,34.47722,32.81727,34.58799,33.68883,31.83506,32.90058,35.26062,35.69328,34.37237,35.28519,33.41421,31.18739,35.68543,32.36478,33.98569,31.69144,33.91021,27.36296,27.29907,32.29203,32.8174,32.9974,30.73178,33.67464,34.9513,32.94781,31.76412,34.04234,35.62129,32.63068,33.21338,33.75609,36.99772,38.88292,34.31066,36.89495,32.43069,22.08228,29.3688,32.87586,32.64585,33.8655,34.49682,31.42947,32.19168,31.68431,33.8067,35.42471,31.40995,34.96712,34.61068,33.18497,34.49082,33.7836,34.54661,32.1451,35.05415,34.45318,0
16,16,31.90391743,33.96477854,34.20929834,31.17296215,35.74189515,30.8290158,31.0843866,33.77903056,33.38628358,31.28655451,33.14011117,33.95174,34.00697,34.30744,32.35453,32.28073,32.15233,34.79554,34.31619,34.61044,35.80308,33.90194,32.70062,35.63152,33.81119,33.17955,32.82008,34.44278,31.03277,31.53375,34.25363,33.02355,34.82496,32.41866,33.19942,35.74147,32.6392,30.47721,32.51568,34.75253,32.34568,32.49012,33.42489,38.97119,39.84452,34.28642,38.22163,33.08878,26.54323,31.86131,33.80634,34.411,34.41483,35.36291,33.36607,33.15657,31.35947,34.65488,34.41586,32.33566,34.5793,34.30214,35.35686,34.31274,34.32119,33.9988,31.96266,35.36677,35.55066,0
17,17,31.9248427,34.20059596,34.42329683,33.01474908,35.9476452,30.16712346,31.47395777,33.80506784,32.67065686,31.48582866,32.85409771,33.21519,32.96268,33.70998,34.07455,32.01704,32.88531,34.79095,34.14469,34.75787,33.82215,33.02118,32.5507,35.31055,31.70423,33.337,31.14298,33.87206,28.38321,29.65257,32.21295,32.85607,32.37841,32.59802,33.21667,37.68015,32.57532,30.91952,31.48758,34.85844,31.77908,32.02981,32.4848,38.06956,38.90381,33.6386,36.71408,32.9797,22.08228,32.22859,32.44756,32.78037,34.0961,34.82603,33.09066,32.86243,31.70037,34.63869,34.36598,32.4819,35.12553,33.6089,35.19154,34.12052,34.21204,33.58233,33.16377,34.20517,35.35773,0
18,18,30.8752528,34.0884505,34.61605363,31.56679254,36.86543364,29.46775043,31.72378819,34.29341573,32.93246627,31.46652057,33.50882664,33.56667,34.02726,35.27124,33.56192,31.41958,32.42235,34.46151,35.05703,34.9807,34.01842,33.88608,31.42599,35.27113,32.33045,34.01146,32.64852,34.33962,28.62525,28.8471,32.86979,32.97254,33.77882,32.08391,33.60653,35.81871,33.53087,32.35545,32.56995,34.08847,33.07203,33.4148,33.72275,37.50197,38.42273,34.55291,36.9124,32.00942,22.08228,30.67718,33.45292,33.48941,32.77159,34.12992,31.10934,32.72362,31.37605,34.07352,35.50335,30.67809,34.06364,35.80177,32.90625,34.37651,33.54967,33.85585,33.04864,34.48348,34.56856,1
19,19,32.05459957,33.84008526,33.23046629,31.32290696,36.03547076,32.55925755,33.39705693,33.7987851,33.06473557,31.45881544,33.19214953,33.53395,33.58993,34.84196,33.35041,31.73525,32.36823,34.89934,35.67215,34.69826,32.06859,34.57005,32.85094,34.73691,33.39692,33.06648,31.58276,34.02287,31.896,31.4471,33.31247,33.50347,33.56207,32.75553,33.73063,36.97401,32.79134,32.13618,32.76634,34.06481,32.91266,32.9517,33.45018,38.68954,39.85941,35.27325,37.51253,33.06019,25.55465,33.14997,33.22205,34.66983,34.16769,35.60404,33.20439,33.14326,31.07599,35.1946,35.05399,32.11682,34.41816,34.31598,33.50537,34.65311,33.49145,34.44969,32.37011,35.06719,35.54214,0
20,20,31.09505266,34.70642112,33.48712023,31.63819359,35.31571305,30.24194662,32.3345469,32.95568955,33.59608495,29.85947851,34.01677931,35.32054,34.20346,35.01959,34.24732,30.59682,33.20348,34.93409,34.85891,34.80839,36.33982,34.36548,32.79337,34.95604,33.3515,33.71205,31.38191,33.9913,31.1519,32.82578,33.90465,33.52722,33.36869,33.59902,33.51374,37.88815,32.58235,31.84731,33.7012,33.44686,33.44419,32.77061,34.9259,39.52876,41.2791,35.52794,37.6577,31.54419,22.08228,32.65818,33.44232,33.93989,34.14357,36.17921,32.28197,33.55793,31.19681,34.58697,35.13761,30.61511,36.24644,34.30003,34.73591,33.11835,32.34137,34.15774,33.26847,35.35491,35.66194,1
21,21,31.20656402,32.93413698,34.57433071,30.32460626,36.10040351,32.38840388,31.83893436,34.47763986,33.03837396,31.30638749,33.52741835,34.0168,33.80814,35.71455,33.27483,30.45015,32.98406,34.85665,35.03675,35.16879,35.55092,34.33835,32.18237,35.89761,31.99553,33.56595,31.37474,32.43032,30.78172,31.98265,34.25834,34.09378,33.20894,32.36241,32.99796,36.12588,32.37792,30.5399,32.89602,33.46379,32.72314,33.79248,34.24066,39.436,39.21842,35.21886,37.90752,32.86254,22.08228,31.36069,32.56592,34.70066,33.45404,34.36185,32.27819,33.23554,31.26867,33.93495,33.50571,31.03013,36.17214,35.19161,34.4433,34.01928,32.93174,32.90515,33.03191,35.04074,36.17163,1
22,22,32.32830039,33.9939648,34.30205655,31.76189293,35.67324164,29.13988958,31.68791306,34.26476895,34.32705153,32.4773053,33.36896331,34.15919,34.67071,34.86692,34.90176,31.95983,31.19425,34.49621,33.55639,34.70673,36.49729,33.23681,32.64549,35.65145,32.37643,33.43861,32.20363,34.39548,22.41623,31.1926,33.43887,32.70908,34.1323,32.39249,33.12369,37.41524,32.71274,30.37426,32.05286,34.45685,32.47712,32.80241,33.59375,39.08861,38.60878,33.80336,38.08096,31.60242,22.08228,31.3042,33.59971,34.36418,34.72802,34.10003,32.2235,33.41649,29.69591,34.59294,34.49281,30.85818,35.2932,34.26863,34.56879,33.58461,33.65371,33.47928,33.78154,34.58118,34.99945,1
