,feature_idx,cv_scores,avg_score,feature_names
28,"(1088, 2902, 3929, 4068, 4804, 4982, 5075, 6117, 13293, 14335, 15282, 23243, 26400, 26857, 27785, 27895, 28701, 29827, 31429, 31655, 32071, 32333, 33848, 36657, 36666, 37109, 39460, 41245)",[0.73772996],0.7377299571993237,"('AC015923.1', 'AMTN', 'ATP5G2P1', 'B3GALT2', 'C19orf73', 'C3orf14', 'C6orf62', 'CEP104', 'HEXB', 'IGHV1OR16-4', 'KCTD21', 'PRSS21', 'RP11-1029M24.4', 'RP11-122C5.3', 'RP11-19J5.1', 'RP11-20G6.3', 'RP11-289H16.1', 'RP11-374M1.2', 'RP11-507E23.1', 'RP11-52I18.1', 'RP11-568G20.2', 'RP11-5N11.4', 'RP11-815J4.7', 'RPS8P3', 'RPSAP14', 'SCNM1', 'STX11', 'TRIM43CP')"
29,"(1088, 2902, 3929, 4068, 4804, 4982, 5075, 6117, 10435, 13293, 14335, 15282, 23243, 26400, 26857, 27785, 27895, 28701, 29827, 31429, 31655, 32071, 32333, 33848, 36657, 36666, 37109, 39460, 41245)",[0.75012016],0.7501201598831235,"('AC015923.1', 'AMTN', 'ATP5G2P1', 'B3GALT2', 'C19orf73', 'C3orf14', 'C6orf62', 'CEP104', 'EML5', 'HEXB', 'IGHV1OR16-4', 'KCTD21', 'PRSS21', 'RP11-1029M24.4', 'RP11-122C5.3', 'RP11-19J5.1', 'RP11-20G6.3', 'RP11-289H16.1', 'RP11-374M1.2', 'RP11-507E23.1', 'RP11-52I18.1', 'RP11-568G20.2', 'RP11-5N11.4', 'RP11-815J4.7', 'RPS8P3', 'RPSAP14', 'SCNM1', 'STX11', 'TRIM43CP')"
30,"(1088, 2902, 3929, 4068, 4804, 4982, 5075, 6117, 10435, 13293, 14335, 15282, 17478, 23243, 26400, 26857, 27785, 27895, 28701, 29827, 31429, 31655, 32071, 32333, 33848, 36657, 36666, 37109, 39460, 41245)",[0.76165311],0.7616531099786438,"('AC015923.1', 'AMTN', 'ATP5G2P1', 'B3GALT2', 'C19orf73', 'C3orf14', 'C6orf62', 'CEP104', 'EML5', 'HEXB', 'IGHV1OR16-4', 'KCTD21', 'MAFA-AS1', 'PRSS21', 'RP11-1029M24.4', 'RP11-122C5.3', 'RP11-19J5.1', 'RP11-20G6.3', 'RP11-289H16.1', 'RP11-374M1.2', 'RP11-507E23.1', 'RP11-52I18.1', 'RP11-568G20.2', 'RP11-5N11.4', 'RP11-815J4.7', 'RPS8P3', 'RPSAP14', 'SCNM1', 'STX11', 'TRIM43CP')"
31,"(1088, 2902, 3929, 4068, 4804, 4982, 5075, 6117, 10435, 13293, 14335, 15282, 17478, 23243, 26400, 26857, 27056, 27785, 27895, 28701, 29827, 31429, 31655, 32071, 32333, 33848, 36657, 36666, 37109, 39460, 41245)",[0.77293085],0.772930852762155,"('AC015923.1', 'AMTN', 'ATP5G2P1', 'B3GALT2', 'C19orf73', 'C3orf14', 'C6orf62', 'CEP104', 'EML5', 'HEXB', 'IGHV1OR16-4', 'KCTD21', 'MAFA-AS1', 'PRSS21', 'RP11-1029M24.4', 'RP11-122C5.3', 'RP11-1379J22.5', 'RP11-19J5.1', 'RP11-20G6.3', 'RP11-289H16.1', 'RP11-374M1.2', 'RP11-507E23.1', 'RP11-52I18.1', 'RP11-568G20.2', 'RP11-5N11.4', 'RP11-815J4.7', 'RPS8P3', 'RPSAP14', 'SCNM1', 'STX11', 'TRIM43CP')"
32,"(1088, 2902, 3929, 4068, 4804, 4982, 5075, 6117, 10435, 13293, 14335, 15282, 17478, 23243, 23712, 26400, 26857, 27056, 27785, 27895, 28701, 29827, 31429, 31655, 32071, 32333, 33848, 36657, 36666, 37109, 39460, 41245)",[0.78396059],0.7839605919867463,"('AC015923.1', 'AMTN', 'ATP5G2P1', 'B3GALT2', 'C19orf73', 'C3orf14', 'C6orf62', 'CEP104', 'EML5', 'HEXB', 'IGHV1OR16-4', 'KCTD21', 'MAFA-AS1', 'PRSS21', 'RAB40C', 'RP11-1029M24.4', 'RP11-122C5.3', 'RP11-1379J22.5', 'RP11-19J5.1', 'RP11-20G6.3', 'RP11-289H16.1', 'RP11-374M1.2', 'RP11-507E23.1', 'RP11-52I18.1', 'RP11-568G20.2', 'RP11-5N11.4', 'RP11-815J4.7', 'RPS8P3', 'RPSAP14', 'SCNM1', 'STX11', 'TRIM43CP')"
33,"(1088, 2902, 3929, 4068, 4804, 4982, 5075, 6117, 10435, 13293, 14335, 15282, 17478, 23243, 23712, 26400, 26857, 27056, 27785, 27895, 28701, 29827, 31429, 31655, 32071, 32333, 33848, 36657, 36666, 37109, 39460, 40327, 41245)",[0.79704876],0.7970487625241947,"('AC015923.1', 'AMTN', 'ATP5G2P1', 'B3GALT2', 'C19orf73', 'C3orf14', 'C6orf62', 'CEP104', 'EML5', 'HEXB', 'IGHV1OR16-4', 'KCTD21', 'MAFA-AS1', 'PRSS21', 'RAB40C', 'RP11-1029M24.4', 'RP11-122C5.3', 'RP11-1379J22.5', 'RP11-19J5.1', 'RP11-20G6.3', 'RP11-289H16.1', 'RP11-374M1.2', 'RP11-507E23.1', 'RP11-52I18.1', 'RP11-568G20.2', 'RP11-5N11.4', 'RP11-815J4.7', 'RPS8P3', 'RPSAP14', 'SCNM1', 'STX11', 'TKFC', 'TRIM43CP')"
34,"(1088, 2902, 3929, 4068, 4804, 4982, 5075, 6117, 10435, 13293, 14335, 15282, 17478, 17711, 23243, 23712, 26400, 26857, 27056, 27785, 27895, 28701, 29827, 31429, 31655, 32071, 32333, 33848, 36657, 36666, 37109, 39460, 40327, 41245)",[0.80674929],0.8067492946259278,"('AC015923.1', 'AMTN', 'ATP5G2P1', 'B3GALT2', 'C19orf73', 'C3orf14', 'C6orf62', 'CEP104', 'EML5', 'HEXB', 'IGHV1OR16-4', 'KCTD21', 'MAFA-AS1', 'MATN2', 'PRSS21', 'RAB40C', 'RP11-1029M24.4', 'RP11-122C5.3', 'RP11-1379J22.5', 'RP11-19J5.1', 'RP11-20G6.3', 'RP11-289H16.1', 'RP11-374M1.2', 'RP11-507E23.1', 'RP11-52I18.1', 'RP11-568G20.2', 'RP11-5N11.4', 'RP11-815J4.7', 'RPS8P3', 'RPSAP14', 'SCNM1', 'STX11', 'TKFC', 'TRIM43CP')"
35,"(1088, 2902, 3929, 4068, 4804, 4982, 5075, 6117, 10435, 13293, 14335, 15282, 17478, 17711, 23243, 23712, 26400, 26857, 27056, 27785, 27895, 28701, 29827, 31429, 31655, 32071, 32333, 33661, 33848, 36657, 36666, 37109, 39460, 40327, 41245)",[0.81487625],0.8148762497497614,"('AC015923.1', 'AMTN', 'ATP5G2P1', 'B3GALT2', 'C19orf73', 'C3orf14', 'C6orf62', 'CEP104', 'EML5', 'HEXB', 'IGHV1OR16-4', 'KCTD21', 'MAFA-AS1', 'MATN2', 'PRSS21', 'RAB40C', 'RP11-1029M24.4', 'RP11-122C5.3', 'RP11-1379J22.5', 'RP11-19J5.1', 'RP11-20G6.3', 'RP11-289H16.1', 'RP11-374M1.2', 'RP11-507E23.1', 'RP11-52I18.1', 'RP11-568G20.2', 'RP11-5N11.4', 'RP11-794G24.1', 'RP11-815J4.7', 'RPS8P3', 'RPSAP14', 'SCNM1', 'STX11', 'TKFC', 'TRIM43CP')"
36,"(1088, 2902, 3929, 4068, 4804, 4982, 5075, 6117, 10435, 13293, 14335, 15282, 17478, 17711, 23243, 23712, 26400, 26857, 27056, 27785, 27895, 28701, 29827, 31429, 31655, 32071, 32333, 33661, 33848, 36657, 36666, 37109, 39460, 40327, 41245, 41961)",[0.82370416],0.8237041551857416,"('AC015923.1', 'AMTN', 'ATP5G2P1', 'B3GALT2', 'C19orf73', 'C3orf14', 'C6orf62', 'CEP104', 'EML5', 'HEXB', 'IGHV1OR16-4', 'KCTD21', 'MAFA-AS1', 'MATN2', 'PRSS21', 'RAB40C', 'RP11-1029M24.4', 'RP11-122C5.3', 'RP11-1379J22.5', 'RP11-19J5.1', 'RP11-20G6.3', 'RP11-289H16.1', 'RP11-374M1.2', 'RP11-507E23.1', 'RP11-52I18.1', 'RP11-568G20.2', 'RP11-5N11.4', 'RP11-794G24.1', 'RP11-815J4.7', 'RPS8P3', 'RPSAP14', 'SCNM1', 'STX11', 'TKFC', 'TRIM43CP', 'UGT2A2')"
37,"(1088, 2902, 3929, 4068, 4804, 4982, 5075, 6117, 10435, 13293, 14335, 15282, 17478, 17711, 21628, 23243, 23712, 26400, 26857, 27056, 27785, 27895, 28701, 29827, 31429, 31655, 32071, 32333, 33661, 33848, 36657, 36666, 37109, 39460, 40327, 41245, 41961)",[0.8329936],0.8329936000232459,"('AC015923.1', 'AMTN', 'ATP5G2P1', 'B3GALT2', 'C19orf73', 'C3orf14', 'C6orf62', 'CEP104', 'EML5', 'HEXB', 'IGHV1OR16-4', 'KCTD21', 'MAFA-AS1', 'MATN2', 'PARP1P1', 'PRSS21', 'RAB40C', 'RP11-1029M24.4', 'RP11-122C5.3', 'RP11-1379J22.5', 'RP11-19J5.1', 'RP11-20G6.3', 'RP11-289H16.1', 'RP11-374M1.2', 'RP11-507E23.1', 'RP11-52I18.1', 'RP11-568G20.2', 'RP11-5N11.4', 'RP11-794G24.1', 'RP11-815J4.7', 'RPS8P3', 'RPSAP14', 'SCNM1', 'STX11', 'TKFC', 'TRIM43CP', 'UGT2A2')"
38,"(1088, 2902, 3929, 4068, 4804, 4982, 5075, 6117, 10350, 10435, 13293, 14335, 15282, 17478, 17711, 21628, 23243, 23712, 26400, 26857, 27056, 27785, 27895, 28701, 29827, 31429, 31655, 32071, 32333, 33661, 33848, 36657, 36666, 37109, 39460, 40327, 41245, 41961)",[0.8413397],0.8413396999636359,"('AC015923.1', 'AMTN', 'ATP5G2P1', 'B3GALT2', 'C19orf73', 'C3orf14', 'C6orf62', 'CEP104', 'EIF5', 'EML5', 'HEXB', 'IGHV1OR16-4', 'KCTD21', 'MAFA-AS1', 'MATN2', 'PARP1P1', 'PRSS21', 'RAB40C', 'RP11-1029M24.4', 'RP11-122C5.3', 'RP11-1379J22.5', 'RP11-19J5.1', 'RP11-20G6.3', 'RP11-289H16.1', 'RP11-374M1.2', 'RP11-507E23.1', 'RP11-52I18.1', 'RP11-568G20.2', 'RP11-5N11.4', 'RP11-794G24.1', 'RP11-815J4.7', 'RPS8P3', 'RPSAP14', 'SCNM1', 'STX11', 'TKFC', 'TRIM43CP', 'UGT2A2')"
39,"(1088, 2697, 2902, 3929, 4068, 4804, 4982, 5075, 6117, 10350, 10435, 13293, 14335, 15282, 17478, 17711, 21628, 23243, 23712, 26400, 26857, 27056, 27785, 27895, 28701, 29827, 31429, 31655, 32071, 32333, 33661, 33848, 36657, 36666, 37109, 39460, 40327, 41245, 41961)",[0.84955286],0.8495528649279375,"('AC015923.1', 'AKR1E2', 'AMTN', 'ATP5G2P1', 'B3GALT2', 'C19orf73', 'C3orf14', 'C6orf62', 'CEP104', 'EIF5', 'EML5', 'HEXB', 'IGHV1OR16-4', 'KCTD21', 'MAFA-AS1', 'MATN2', 'PARP1P1', 'PRSS21', 'RAB40C', 'RP11-1029M24.4', 'RP11-122C5.3', 'RP11-1379J22.5', 'RP11-19J5.1', 'RP11-20G6.3', 'RP11-289H16.1', 'RP11-374M1.2', 'RP11-507E23.1', 'RP11-52I18.1', 'RP11-568G20.2', 'RP11-5N11.4', 'RP11-794G24.1', 'RP11-815J4.7', 'RPS8P3', 'RPSAP14', 'SCNM1', 'STX11', 'TKFC', 'TRIM43CP', 'UGT2A2')"
40,"(1088, 2697, 2902, 3547, 3929, 4068, 4804, 4982, 5075, 6117, 10350, 10435, 13293, 14335, 15282, 17478, 17711, 21628, 23243, 23712, 26400, 26857, 27056, 27785, 27895, 28701, 29827, 31429, 31655, 32071, 32333, 33661, 33848, 36657, 36666, 37109, 39460, 40327, 41245, 41961)",[0.85720908],0.8572090844214129,"('AC015923.1', 'AKR1E2', 'AMTN', 'ARHGEF19-AS1', 'ATP5G2P1', 'B3GALT2', 'C19orf73', 'C3orf14', 'C6orf62', 'CEP104', 'EIF5', 'EML5', 'HEXB', 'IGHV1OR16-4', 'KCTD21', 'MAFA-AS1', 'MATN2', 'PARP1P1', 'PRSS21', 'RAB40C', 'RP11-1029M24.4', 'RP11-122C5.3', 'RP11-1379J22.5', 'RP11-19J5.1', 'RP11-20G6.3', 'RP11-289H16.1', 'RP11-374M1.2', 'RP11-507E23.1', 'RP11-52I18.1', 'RP11-568G20.2', 'RP11-5N11.4', 'RP11-794G24.1', 'RP11-815J4.7', 'RPS8P3', 'RPSAP14', 'SCNM1', 'STX11', 'TKFC', 'TRIM43CP', 'UGT2A2')"
41,"(1088, 2042, 2697, 2902, 3547, 3929, 4068, 4804, 4982, 5075, 6117, 10350, 10435, 13293, 14335, 15282, 17478, 17711, 21628, 23243, 23712, 26400, 26857, 27056, 27785, 27895, 28701, 29827, 31429, 31655, 32071, 32333, 33661, 33848, 36657, 36666, 37109, 39460, 40327, 41245, 41961)",[0.86465304],0.8646530380285457,"('AC015923.1', 'AC144450.1', 'AKR1E2', 'AMTN', 'ARHGEF19-AS1', 'ATP5G2P1', 'B3GALT2', 'C19orf73', 'C3orf14', 'C6orf62', 'CEP104', 'EIF5', 'EML5', 'HEXB', 'IGHV1OR16-4', 'KCTD21', 'MAFA-AS1', 'MATN2', 'PARP1P1', 'PRSS21', 'RAB40C', 'RP11-1029M24.4', 'RP11-122C5.3', 'RP11-1379J22.5', 'RP11-19J5.1', 'RP11-20G6.3', 'RP11-289H16.1', 'RP11-374M1.2', 'RP11-507E23.1', 'RP11-52I18.1', 'RP11-568G20.2', 'RP11-5N11.4', 'RP11-794G24.1', 'RP11-815J4.7', 'RPS8P3', 'RPSAP14', 'SCNM1', 'STX11', 'TKFC', 'TRIM43CP', 'UGT2A2')"
