	#node1	node2
212	MAPK7	MAPK3
213	MAPK7	PRKCZ
214	MAPK8	MAPK8IP1
215	MAPK8	MAPK8IP3
216	MAPK8	MAP3K11
217	MAPK8	MAP2K4
218	MAPK8	MAP2K7
219	MAPK8IP1	MAP3K13
220	MAPK8IP1	MAP3K12
221	MAPK8IP1	MAP3K11
222	MAPK8IP1	MAPK10
223	MAPK8IP1	MAPK8IP2
224	MAPK8IP1	MAPK8IP3
225	MAPK8IP1	MAPK9
226	MAPK8IP1	MAP2K7
227	MAPK8IP1	MAPK8
228	MAPK8IP2	MAPK8IP1
229	MAPK8IP2	MAPK8IP3
230	MAPK8IP2	MAP2K3
231	MAPK8IP3	MAPK8IP1
232	MAPK8IP3	MAPK10
233	MAPK8IP3	MAPK8IP2
234	MAPK8IP3	MAPK8
235	MAPK8IP3	MAP2K4
236	MAPK8IP3	MAP3K5
237	MAPK8IP3	LCK
238	MAPK8IP3	PTK2
239	MAPK9	MAPK8IP1
240	MAPK9	MAP2K7
241	MAPK9	MAP2K4
242	MAPKAP1	PRKDC
243	MAPKAPK2	MAPK14
244	MAPKAPK2	MAPK11
245	MAPKAPK3	MAPK13
246	MAPKAPK3	MAPK14
247	MAPKAPK3	MAPK11
248	MAPKAPK5	MAPK14
249	MAPKAPK5	MAPK6
250	MAPKAPK5	MAPK11
251	MAPKAPK5	MAPK4
252	PACSIN1	PACSIN2
253	PACSIN1	PACSIN3
254	PACSIN2	PACSIN3
255	PACSIN2	PACSIN1
256	PACSIN3	PACSIN2
257	PACSIN3	PACSIN1
258	PAK1	PAK4
259	PAK1	PAK3
260	PAK1	PTK2
261	PAK1	LCK
262	PAK1	PAK2
263	PAK1	GIT2
264	PAK1	GIT1
265	PAK2	PAK1
266	PAK2	GIT1
267	PAK2	PAK4
268	PAK2	PTK2
269	PAK2	PAK3
270	PAK2	GIT2
271	PAK3	PAK1
272	PAK3	PAK2
273	PAK3	PTK2
274	PAK3	GIT2
275	PAK3	GIT1
276	PAK3	PAK4
277	PAK4	PAK1
278	PAK4	PAK2
279	PAK4	PTK2
280	PAK4	GIT2
281	PAK4	PAK3
282	PAK4	PAK6
283	PAK6	PAK4
284	PDPK1	RPS6KB1
285	PDPK1	PRKCQ
286	PDPK1	PKN3
287	PDPK1	PKN1
288	PDPK1	MAP3K7
289	PDPK1	PRKCZ
290	PDPK1	PKN2
291	PKIA	PRKACA
292	PKIA	PRKACB
293	PKMYT1	CKS2
294	PKMYT1	CKS1B
295	PKN1	PRKAR2A
296	PKN1	PRKAR2B
297	PKN1	PRKCE
298	PKN1	PRKAG1
299	PKN1	PDPK1
300	PKN1	PRKACB
301	PKN1	PRKACG
302	PKN1	AKAP9
303	PKN2	PDPK1
304	PKN3	PDPK1
305	PRKAA1	CAMKK1
306	PRKAA1	PRKAB1
307	PRKAA1	PRKAB2
308	PRKAA1	PRKAR2A
309	PRKAA1	PRKAG2
310	PRKAA1	PRKACA
311	PRKAA1	PRKAG1
312	PRKAA1	PRKAR1A
313	PRKAA1	PRKAG3
314	PRKAA1	PRKAA2
315	PRKAA2	PRKAB1
316	PRKAA2	PRKAB2
317	PRKAA2	PRKAG2
