,AKAP1,AKAP10,AKAP12,AKAP13,AKAP14,AKAP4,AKAP5,AKAP7,AKAP8,AKAP9,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CAMK4,CAMKK1,CAMKK2,CKS1B,CKS2,DAPK1,DOK1,GIT1,GIT2,LCK,MAP2K1,MAP2K2,MAP2K3,MAP2K4,MAP2K5,MAP2K6,MAP2K7,MAP3K1,MAP3K11,MAP3K12,MAP3K13,MAP3K2,MAP3K3,MAP3K4,MAP3K5,MAP3K6,MAP3K7,MAP4K4,MAPK1,MAPK10,MAPK11,MAPK13,MAPK14,MAPK3,MAPK4,MAPK6,MAPK7,MAPK8,MAPK8IP1,MAPK8IP2,MAPK8IP3,MAPK9,MAPKAP1,MAPKAPK2,MAPKAPK3,MAPKAPK5,PACSIN1,PACSIN2,PACSIN3,PAK1,PAK2,PAK3,PAK4,PAK6,PDPK1,PKIA,PKMYT1,PKN1,PKN2,PKN3,PRKAA1,PRKAA2,PRKAB1,PRKAB2,PRKACA,PRKACB,PRKACG,PRKAG1,PRKAG2,PRKAG3,PRKAR1A,PRKAR1B,PRKAR2A,PRKAR2B,PRKCA,PRKCD,PRKCE,PRKCG,PRKCI,PRKCQ,PRKCZ,PRKD1,PRKDC,PRKG1,PRKX,PTK2,PTK2B,PTK6,RPS6KA1,RPS6KA2,RPS6KA3,RPS6KB1,RPS6KB2,SH3KBP1,SKP1,SKP2,TAB1,TAB2,TAB3,TEC,WNK1,WNK2,ZAP70,Y
112,33.64992785,33.51661587,34.53600409,35.79944729,25.6581024,20.87496554,29.70127273,32.23819303,32.35525736,36.01576338,23.68867733,26.11173189,33.08473201,32.35837386,32.27877236,28.66792193,32.25742109,32.99358419,30.62402302,33.85943,30.66032,32.75223,34.52569,31.39088,33.18949,34.66804,33.43573,33.04015,32.95634,30.89131,31.27073,33.40883,32.38044,32.13149,33.04582,33.81041,32.47442,34.52865,32.52388,32.29769,32.02659,35.10108,34.46675,33.30299,28.35633,31.26944,32.64978,33.97964,23.81158,31.48696,31.14805,33.32729,30.05699,25.41161,34.4581,32.3352,33.69844,34.63363,32.62689,33.37171,26.89856,32.86277,29.9639,33.64564,33.45884,30.58603,31.95089,28.93302,33.55709,27.86846,29.38844,33.89883,34.8341,30.5577,34.16098,30.87356,32.3827,31.4218,33.11317,32.72614,20.62577,33.03506,34.76067,20.57071,37.03292,31.71278,32.6625,30.81239,32.57971,31.43951,31.86695,25.17366,33.2868,32.22299,32.32805,33.06985,34.271,32.86257,33.3811,35.33257,33.20723,25.11463,32.20627,32.65346,34.82923,33.96959,31.97861,33.36116,36.35904,32.25992,30.96144,35.93807,32.0841,30.7737,36.24798,28.93506,31.31968,1
113,33.6226474,33.77498299,33.67261524,35.82868132,21.03897075,20.92292865,29.37873575,33.17283128,32.7310398,35.71129134,21.23015911,21.05826289,34.22499023,32.80661149,30.7049804,29.75838519,32.07791749,33.77640485,30.22861768,32.9463,31.1221,32.97836,34.27058,28.62548,32.75896,34.21557,33.83781,34.08035,32.91493,30.92023,32.8097,33.11094,33.50097,31.80736,33.85305,33.99875,32.06837,34.20805,32.69456,32.22721,32.08212,35.47063,35.09797,33.52406,28.934,30.54055,32.9399,34.12131,27.90683,32.1457,31.79258,33.97427,31.33352,21.31822,33.75127,33.22477,33.68064,35.23459,32.33424,33.70812,24.90074,33.06335,29.90399,34.52381,33.90069,27.59393,32.56311,23.78918,33.65616,21.3876,27.40879,34.30172,35.49993,31.45022,34.41409,31.90599,32.66517,31.6478,33.78269,33.0438,23.57206,33.88249,35.159,20.97998,37.50263,31.12901,33.84183,30.76023,31.29177,31.22853,31.84541,21.22272,33.88297,28.81462,32.56698,32.6147,34.87094,33.08443,33.14138,36.48335,31.54146,26.41482,32.40923,33.65494,35.207,34.63149,32.36098,33.29404,37.41498,32.10539,30.39811,36.47421,32.58669,30.38489,35.52243,26.36209,27.10746,0
114,34.96822985,33.63538213,33.65912639,34.97202807,21.03897075,20.92292865,28.08061588,30.51931792,33.54548603,34.61512922,28.21319164,28.19945003,33.19388003,32.69417641,26.33803918,30.04777854,33.10369283,33.86287668,32.11679923,34.37543,33.51335,33.93566,34.16858,30.47137,34.21495,35.82268,34.76876,33.51537,31.35604,29.56651,32.39144,32.17887,34.07414,33.6355,33.70133,33.43087,32.51994,32.79333,31.96762,32.77222,31.57716,34.78819,34.30238,30.17302,29.78508,33.52232,33.11539,34.57672,20.8447,31.71494,33.3902,31.02496,31.22912,27.56066,34.9721,32.6785,33.69605,35.46036,33.64759,33.81654,26.36688,33.44551,30.492,34.19026,32.57702,31.17692,34.49308,28.57126,34.64571,21.3876,31.19501,34.76796,33.47463,29.3979,33.94025,30.67077,32.16421,29.84382,33.97831,31.21693,20.99503,33.57224,35.06325,20.97998,37.40314,33.27889,31.62272,28.57594,34.39042,32.99833,31.85712,28.34007,33.30024,31.41249,31.29934,31.4595,35.46497,32.12402,33.02715,34.94504,33.69632,31.79261,33.99099,32.44085,34.57791,34.04253,33.29173,33.95884,37.03227,31.33328,32.52853,34.04994,31.50687,31.32825,35.56334,24.30656,30.36583,1
115,34.5165029,33.77688863,33.51832248,35.00508911,21.03897075,20.92292865,29.10553735,31.75881772,32.42342236,36.11032862,25.78142517,26.84992418,34.10160727,32.71564527,28.98922743,29.29978844,31.79521487,33.23908547,31.01417801,34.04786,30.87959,33.38328,34.1876,28.58757,33.62469,34.82577,33.76787,33.35134,33.53852,30.17395,31.32994,33.34785,32.84093,33.02866,33.52535,33.95386,32.12979,33.54922,31.54466,31.85286,31.71086,34.83581,34.50573,32.79554,29.66261,31.05407,33.47052,35.07457,20.8447,31.35451,31.40944,33.62147,30.18986,23.76696,34.90365,32.30483,33.33496,34.35458,33.02884,33.4889,21.41607,32.75613,31.30106,33.84761,33.63079,28.42403,33.1209,26.20491,34.20199,30.53333,29.39595,34.84428,35.17772,30.33793,34.11405,31.57597,33.12038,30.68581,33.4747,32.61459,20.99503,33.56285,34.68408,20.97998,37.4819,32.38679,32.9782,27.06595,31.43014,31.54262,30.50654,21.22272,32.92793,31.82885,32.15533,32.37163,34.4395,32.10224,32.90844,35.69769,31.79443,26.76804,32.36874,31.74843,34.8609,33.84749,32.26036,33.20116,36.51019,32.04663,30.71915,35.09578,32.01282,31.83108,35.30635,27.93799,29.98377,0
116,34.93337737,32.89051884,31.89678972,35.26519525,23.81094457,20.87496554,28.36950178,31.55699307,31.34266777,35.53499236,27.53206623,25.66390825,34.52091041,32.40199599,27.57626684,27.54099706,32.21735239,34.89448747,33.85248709,32.98524,31.71743,35.24138,33.94487,28.95789,33.94304,36.16806,31.7777,33.00905,33.34886,34.22879,31.25808,33.26635,32.59036,33.05654,33.37675,34.42335,32.1468,33.92407,31.48283,30.14715,31.86711,35.02906,34.42901,28.07815,29.97027,32.04362,33.85773,33.91464,26.0255,34.17153,30.92311,33.75505,30.83986,32.82152,32.20701,33.87965,33.64166,35.99429,33.30369,34.20024,29.71767,34.22135,32.14633,34.76162,35.51255,29.76863,33.2334,31.67565,33.97865,18.08407,30.09856,34.91404,33.99633,30.44896,34.56611,28.99884,32.40791,32.25458,34.24054,32.19673,20.62577,34.87704,32.81101,28.50566,38.69666,32.22862,33.22541,31.30927,33.91156,32.02215,29.11451,25.74629,35.05809,29.45607,32.06302,31.2587,35.90702,29.17146,33.18635,35.99277,31.90566,27.86783,32.77676,31.01861,36.6807,34.52921,32.64437,35.35908,37.78035,33.99214,30.71332,36.73538,33.46819,29.92052,35.29538,33.01502,26.95005,0
117,32.59970513,34.00563076,32.56974654,35.65065033,25.2966492,26.41094635,30.87076423,32.51727069,32.14413393,35.52707226,26.60483044,28.00991677,34.53559602,32.38294364,33.44175643,28.57575921,31.74123416,33.57194556,31.69949816,33.40756,31.93363,32.35273,34.19364,32.6358,33.48348,35.07531,33.32621,33.96407,32.93903,31.00738,31.66009,33.11593,31.97281,32.65759,32.50603,34.22892,32.98616,34.00385,33.14922,32.37801,32.40916,35.50285,34.0033,33.5678,29.61399,30.43409,33.27757,33.77776,27.15187,31.91383,30.96814,33.40943,29.64325,26.42438,32.91701,33.12255,34.07448,34.81864,32.37245,33.12603,27.37059,32.35795,29.13346,33.97509,34.03591,31.43315,31.57352,24.00663,33.34195,30.55219,27.69519,33.80092,34.26908,29.5671,33.78917,28.94222,31.13135,30.69881,33.81868,34.08409,20.62577,33.64876,33.70629,22.80104,37.4175,31.44707,33.07329,31.61097,32.10594,32.11429,31.33717,25.70644,33.92913,31.55422,31.53817,32.14499,34.74516,32.51011,33.81789,35.33872,33.32024,24.12484,32.89407,33.12531,35.7438,33.66508,32.03046,34.19829,37.04781,32.95432,30.96513,37.02528,32.3495,31.01242,36.44962,27.85053,31.84105,1
118,34.27827684,33.84704948,33.71286992,34.29230957,21.03897075,20.92292865,25.89133622,32.06647365,32.88785101,35.28643755,23.34695559,28.61447214,32.66241822,32.36567798,29.56772177,29.27256554,32.34638707,33.27251837,29.24986977,33.19356,30.65629,33.83654,34.00194,31.26203,33.33853,34.84112,33.34614,33.9061,33.00469,28.83241,32.02626,33.12277,33.57201,32.74054,33.65567,32.97026,32.1099,34.47243,32.78294,31.52058,31.89378,33.71558,34.02487,33.80292,29.79244,30.50745,32.4637,34.69186,23.02797,31.169,32.52936,32.82936,31.8202,21.31822,35.32606,32.41888,33.54839,34.35122,32.68624,32.82275,21.41607,33.39577,30.1313,33.02043,33.76371,30.01987,33.25259,27.67664,33.87362,30.68277,30.40435,34.11432,34.80782,30.15041,33.27272,31.01661,31.9515,31.17932,33.65667,33.01506,20.99503,32.6468,34.0029,20.97998,36.85933,33.0847,32.95064,29.40285,32.49996,32.5462,30.98183,21.22272,32.40469,30.38332,30.86873,32.49501,34.06931,32.8269,31.70167,34.9187,32.05748,28.83538,33.34821,31.92021,34.70316,33.77877,32.30766,34.05439,36.07307,32.75938,31.22634,35.44162,32.04821,31.17952,36.0154,30.35082,30.98587,1
119,33.75503061,33.61200617,32.75617363,35.95493907,21.03897075,20.92292865,26.94904469,32.22122083,33.31420923,35.19955439,28.34720167,25.14328067,33.82271039,32.56058624,21.06009956,30.23363848,33.00429187,32.23400556,32.67652553,34.49597,31.6034,33.92463,34.62225,28.9953,34.12905,36.85766,33.34273,32.50763,32.73549,29.33886,33.8896,32.7329,31.63137,32.1515,33.1107,33.29225,32.14773,33.37708,30.31876,32.58765,32.03021,34.23248,33.94761,32.15498,30.95101,32.09905,32.48183,35.05825,20.8447,31.38133,32.35091,32.55555,30.64862,21.31822,35.48266,33.06564,33.76434,34.957,31.43891,33.45636,21.41607,33.38198,30.18332,34.05582,33.44091,26.58873,32.6847,21.16752,32.80177,21.3876,30.97127,34.61289,34.21215,32.22667,33.04563,30.75514,32.12396,32.11674,33.17981,33.14138,23.32764,33.28365,34.47663,20.97998,36.89016,31.91893,32.2801,32.86308,34.49202,32.17927,32.2082,21.22272,32.42103,30.02168,29.66387,32.22858,34.59016,32.40295,33.15924,34.89436,32.68685,26.665,33.91958,33.30237,35.45977,34.08436,32.21749,33.60491,36.46588,31.97122,28.89282,35.42813,32.55721,30.86142,35.45984,31.04173,26.23594,0
120,33.88825997,33.31415888,34.50671528,35.54465804,26.31603014,20.87496554,30.90004578,30.50490378,32.60250459,36.11094179,18.30824975,27.14944864,33.26425163,32.93373073,30.34179494,28.97736618,30.92138402,32.01647435,30.29457808,34.09257,32.12877,32.60993,33.59645,29.5179,32.71439,35.06227,33.52846,33.47162,32.84181,30.15797,30.75012,33.68519,32.92317,32.73074,33.33409,33.18874,32.9597,34.11323,32.81555,32.56629,31.88903,34.91222,34.22233,33.44454,29.16007,31.59863,33.22829,34.07294,29.08378,31.27346,31.24664,33.89865,30.4586,24.58053,33.71247,32.55543,33.85532,34.71494,32.8259,32.81739,25.30345,33.36779,32.45757,34.6923,33.8757,28.41528,33.54233,27.58919,33.47592,29.23055,27.88985,34.25461,34.79432,30.43542,33.96207,30.3671,32.72057,31.31944,33.39752,33.03408,20.62577,33.95386,34.73136,20.57071,37.35545,31.66037,33.31874,32.25754,32.85224,32.17781,33.16414,27.00427,34.48828,31.61783,32.11703,33.49162,34.25115,32.67164,33.72101,35.26688,34.06497,26.87129,34.10272,32.95857,34.58684,34.01034,31.64278,33.14748,36.92535,31.52363,30.3818,35.84851,32.32237,31.10447,36.47063,30.66412,30.89869,1
121,34.10836907,33.49874236,32.84330105,35.91874587,24.98573176,20.92292865,28.22072034,30.95044823,32.99977371,35.45366536,25.93364037,28.24331469,33.57115277,32.86730275,31.00005617,30.60493317,32.20643844,33.42941707,31.46183527,33.65694,32.04414,33.09383,34.20383,31.073,33.89687,35.1068,32.95095,33.15425,32.99273,30.66006,31.26001,33.12837,32.98349,32.7292,33.13833,33.79771,32.50819,33.39233,32.62938,33.60546,32.02642,34.41723,34.36486,32.69801,29.52622,32.34319,33.24489,34.19984,20.8447,31.08687,32.1328,32.92747,29.7747,24.38339,34.83668,32.84898,33.01624,34.5516,32.75466,32.89627,28.49785,33.65309,31.1589,34.10249,33.57933,30.68705,32.51487,25.24597,33.89135,28.94122,30.00724,34.76599,34.60091,30.72922,33.70762,30.47273,32.53589,31.25789,33.49876,32.68409,20.99503,33.5484,34.65044,20.97998,37.20491,32.32935,32.73425,29.61637,33.16713,32.83647,31.60306,26.94726,33.11792,31.57868,31.75506,32.11396,34.37602,31.91328,33.83077,34.81918,33.83627,29.6975,32.90685,32.87922,34.9646,33.57071,32.42993,33.58941,36.71951,32.12638,30.69409,35.46689,31.97564,31.60297,35.58351,29.31032,31.54146,1
