,ACAD10,ACTB,BANF1,CCDC22,COMMD3,COPS7A,DLGAP4,DRD2,EIF4E,GPR155,GRIN1,GYPE,HOMER1,IL25,IL6,KDM1A,KLHL5,LEMD1,MORF4L2,NASP,PCMT1,RANBP2,RP11-96O20.4,SDR42E1,SUMO1,SUPT16H,TARBP1,TARBP2,TRIM43B,TRMT6,XPC,ZSCAN4,Y
20,32.71229466,41.87541864,36.18167303,30.84848646,32.99188987,34.46579841,35.93788,32.9604,34.36548,30.55836,24.3128,23.05703,32.76789,21.08036,31.33716,33.54509,33.09703,22.39503,34.89568,34.70893,31.54419,36.02031,21.18753,27.43927,34.74282,34.00678,31.89948,30.61511,21.9744,32.87965,33.26847,22.02469,1
21,33.14039588,40.15072278,33.91776165,31.44342014,32.42171827,33.19999923,33.02829,22.29581,34.33835,30.72141,21.93735,23.05703,26.19812,21.08036,33.04247,32.20387,33.40939,30.56238,32.72705,34.54215,32.86254,36.08916,21.18753,22.83731,34.78995,33.32809,35.64292,31.03013,21.9744,30.83297,33.03191,22.02469,1
22,32.97320885,40.25300534,34.89740295,31.38768757,32.26490922,34.15925615,35.2125,22.29581,33.23681,30.202,21.93735,23.05703,29.59075,21.08036,28.26596,32.78254,32.51007,29.06278,33.7147,33.6731,31.60242,35.29879,21.18753,28.59622,33.97902,32.16555,33.1226,30.85818,21.9744,31.72587,33.78154,22.02469,1
23,33.12691922,41.37712195,34.46527853,31.12033812,33.28296944,33.25500394,34.76494,25.48533,34.73438,30.47195,21.93735,23.05703,32.37342,21.08036,34.54201,32.76806,33.72166,32.9107,34.784,34.95497,32.41071,36.20649,21.18753,28.59348,34.64783,32.83382,33.14585,30.80615,21.9744,31.66483,32.37789,22.02469,0
24,33.79223511,40.40034215,33.13659114,28.19855855,34.60438835,32.40764987,33.04221,22.29581,35.4752,32.68205,21.93735,23.05703,31.94739,21.08036,32.50834,34.61322,33.51857,22.39503,32.63178,34.97251,32.08603,36.9221,21.18753,32.90608,35.44869,33.99083,33.7206,31.3563,21.9744,31.15447,33.58037,22.02469,1
25,35.53250414,40.59133637,35.78865762,32.20804756,32.41359003,33.99342807,33.91073,22.29581,35.18776,30.21129,21.93735,23.05703,32.84219,21.08036,33.20111,31.97982,33.17548,22.39503,33.27685,33.28615,32.83268,35.53655,21.18753,29.85684,34.68724,32.1386,33.25618,32.83283,21.9744,31.58409,31.6211,22.02469,0
26,33.53752308,39.89445406,34.72493617,30.61513552,32.10396749,35.08518815,33.91698,30.17291,33.63698,31.97621,21.93735,31.95221,31.74954,21.08036,26.45394,32.97988,33.23131,22.39503,33.22311,33.642,32.44611,36.20029,21.18753,30.88728,35.13802,32.14113,33.73525,31.92808,21.9744,32.20965,33.22431,22.02469,1
27,34.00658214,40.96383052,34.78656176,31.48900385,31.29241214,33.82973164,35.2081,28.42246,35.048,30.05636,21.93735,23.05703,32.55696,29.70723,31.91482,32.49783,34.59564,22.39503,33.63158,35.7095,32.52135,36.17944,21.18753,26.98005,34.55042,33.18914,34.40395,30.2694,21.9744,31.01555,33.5284,22.02469,0
28,32.90409273,40.44453924,33.72359516,30.35252118,34.05318468,33.94091108,34.84261,22.29581,34.34092,31.87882,21.93735,23.05703,29.10746,21.08036,24.29608,33.05845,33.75328,22.39503,33.14537,35.19749,33.52024,36.88686,21.18753,31.29958,33.30611,32.82957,34.18246,30.8583,21.9744,33.0173,32.59051,22.02469,0
29,32.69784262,41.06386435,33.44440928,29.99755135,30.6561186,32.81195785,34.72172,22.29581,34.66897,31.31089,21.93735,23.05703,27.7373,21.08036,30.78242,32.64719,34.12966,22.39503,34.16091,34.57559,33.37125,37.35413,21.18753,29.59882,32.99788,32.46818,33.70925,30.82558,21.9744,30.91502,32.67732,22.02469,0
30,32.53541911,40.79178218,34.96587347,31.3240527,34.35708687,32.59145855,34.60345,25.87843,35.28948,32.15359,28.51343,23.05703,31.86434,21.08036,30.50102,33.06434,33.71337,22.39503,33.1948,34.13959,33.08179,36.39657,21.18753,29.4833,35.51258,33.1822,33.19047,30.17264,21.9744,31.75339,32.64322,22.02469,0
31,33.93345949,41.09304076,35.15480747,30.72163328,34.02636392,32.98869386,35.09823,29.92748,34.40775,30.55069,21.93735,23.05703,33.33268,21.08036,33.31571,33.90678,33.47937,22.39503,33.49325,34.46503,33.14376,35.3606,21.18753,30.07282,36.02492,33.70219,32.21505,29.79486,37.41532,32.14262,32.65392,22.02469,1
32,33.47435856,40.5276332,35.3764075,31.99233959,32.4620359,33.79489081,34.71507,27.76719,34.14593,31.18941,26.91176,27.87714,31.47972,21.08036,30.40736,32.23285,32.87151,30.54804,33.44789,33.62405,32.65099,35.58127,21.18753,29.86907,34.42149,32.5633,33.71293,32.82905,21.9744,31.54579,32.78068,22.02469,0
33,33.33964261,39.92043702,35.0369524,32.06496182,33.81821856,33.84824393,34.58544,22.29581,34.59976,31.71198,21.93735,26.01798,31.55706,21.08036,30.94604,32.5841,33.14628,32.99591,33.0538,34.26601,32.29482,36.02609,31.03984,32.5588,35.07519,32.78163,32.86599,31.02366,21.9744,31.61017,33.28348,22.02469,0
34,32.8045779,40.74122644,34.71571273,30.23147895,35.54161881,33.70836095,34.10552,22.29581,35.77014,30.54657,21.93735,23.05703,33.52339,21.08036,32.2074,33.79166,34.75519,22.39503,33.7724,34.37969,33.60598,36.49237,21.18753,30.81009,35.50985,33.11535,32.2427,31.2696,21.9744,33.19538,32.32457,22.02469,0
35,32.87627258,41.11152092,35.44037227,31.40566182,33.86787327,34.03158947,34.53572,22.29581,34.90156,31.31024,21.93735,23.05703,32.5427,21.08036,34.48801,33.0088,33.39724,22.39503,33.26987,34.78791,32.96117,35.65932,21.18753,24.77049,34.87139,32.561,32.79968,31.24077,21.9744,31.77114,32.29356,22.02469,1
36,32.72198504,41.13715144,33.80341532,31.0489087,33.19122642,32.67886437,35.15473,22.29581,33.68295,30.34617,21.93735,33.15678,32.84567,21.08036,33.346,33.44829,33.40447,22.39503,34.50828,34.59154,32.13928,35.73341,21.18753,29.20183,34.93126,32.35788,33.08144,31.11708,21.9744,31.79474,31.79425,22.02469,1
37,32.7995386,39.40312292,34.23526186,31.3164433,33.13414655,32.80970574,34.7555,22.29581,33.35582,33.33604,21.93735,23.05703,30.90386,21.08036,32.13692,33.16563,33.66141,22.39503,33.68116,35.04876,32.09992,36.36859,21.18753,22.83731,35.13802,33.28497,34.20126,29.40933,21.9744,32.34053,33.16957,22.02469,1
38,34.39796983,40.09072669,35.21432656,30.01952231,34.30586922,33.89380084,34.2073,22.29581,34.95021,31.0243,21.93735,23.05703,31.94776,21.08036,33.31508,32.87425,33.62374,22.39503,33.97082,34.43421,32.24965,35.62594,21.18753,22.83731,34.78707,32.46727,33.71585,30.51177,21.9744,32.65601,31.40295,22.02469,1
39,32.9495389,38.95866282,32.82150962,31.34016105,32.85543824,34.17648621,34.76277,27.57697,33.48586,29.93741,21.93735,23.05703,30.45551,21.08036,29.45396,32.91033,33.43224,22.39503,33.86418,35.09823,32.30108,35.16601,21.18753,30.71366,34.11272,32.90955,33.63152,31.46237,21.9744,31.02604,32.82093,22.02469,1
40,35.2026805,41.13173755,34.82907503,31.51842691,33.64563876,33.7548019,35.10735,22.29581,34.48354,30.18307,21.93735,23.05703,29.18094,21.08036,24.29608,33.17671,33.05328,22.39503,32.86016,33.61049,33.06838,36.49267,21.18753,22.83731,35.00438,31.75717,33.87856,33.8256,21.9744,33.54193,32.37699,22.02469,0
41,32.94177177,40.8532334,34.47465605,31.10418657,33.9979919,33.54767514,35.07287,22.29581,34.38314,31.01211,21.93735,23.05703,31.41405,21.08036,31.81679,32.96448,34.03188,22.39503,33.09402,34.79476,33.61204,35.80957,21.18753,29.01556,35.37413,33.12731,33.75878,32.26803,21.9744,32.30747,32.11874,22.02469,0
42,33.32909421,40.2156097,35.17349693,31.95660333,34.24800524,34.448387,34.46904,27.19374,34.35498,30.08542,21.93735,23.05703,32.92798,21.08036,34.89661,32.0619,33.01033,22.39503,33.84123,34.70041,33.18323,35.75385,21.18753,26.32985,33.78969,32.50956,32.54489,30.66142,21.9744,32.03592,32.52008,22.02469,1
43,32.51224857,41.04557638,34.37842264,31.80096136,33.11571332,33.22415189,35.2251,22.29581,33.14506,32.17202,21.93735,23.05703,31.40115,21.08036,32.11174,32.75364,33.44356,22.39503,32.86406,34.44633,32.68564,35.60994,21.18753,31.33355,32.3065,32.38367,33.43117,29.81825,21.9744,32.26709,32.19455,22.02469,1
44,32.92171029,39.74417399,34.08890071,31.10740099,32.7835857,33.54250621,34.46381,22.29581,33.90917,30.88345,21.93735,23.05703,31.03425,21.08036,30.75427,32.73824,33.81556,22.39503,33.66848,34.57659,31.95763,36.60774,21.18753,27.16089,34.61671,33.0267,34.41184,30.03984,21.9744,31.74102,33.50879,25.55244,0
45,33.50762474,40.96219247,34.70113745,31.97139788,32.92422325,34.42283615,35.46868,29.16443,34.38645,30.70152,26.02346,18.99387,31.15245,20.87258,30.52482,32.77597,33.50399,28.01727,33.29582,35.04325,32.47601,35.74222,20.77248,30.42147,34.35302,32.9394,33.5975,32.39667,26.50605,31.47736,32.20282,22.9848,0
46,33.1067054,41.20958366,34.90809653,32.33873246,32.84943285,34.35182537,34.8362,25.51003,33.57219,32.25715,21.02797,28.12308,29.67517,20.96655,27.97473,32.08568,33.69721,21.37538,32.91283,34.49433,32.98646,35.50278,26.5091,27.99266,34.48406,32.55214,34.18107,31.68987,23.12584,30.95065,32.4426,25.43074,0
47,32.84175725,41.78331299,34.46468167,31.26163804,33.37374341,33.80481286,35.43895,26.87566,34.91443,32.21458,23.30821,26.8563,32.60961,20.96655,36.06162,33.10372,33.57476,21.37538,34.23929,34.88561,32.98875,36.82171,21.03524,29.31521,34.69771,33.68395,32.95519,30.21971,27.17384,31.88484,32.75618,27.14576,1
48,33.61564991,40.44135012,34.78063095,31.65197984,33.50346958,33.54030513,34.07716,23.83192,34.43414,31.00101,21.02797,21.21382,30.08221,20.96655,28.14811,33.42212,33.3672,21.37538,33.58177,34.22003,33.12874,35.77071,21.03524,25.60503,34.73884,33.30418,33.65906,30.5802,20.68433,31.43832,32.76253,21.16338,1
49,33.78766095,42.25183828,34.66629208,32.00392526,32.98538617,34.4549449,34.02773,24.61919,34.81567,31.52159,26.29987,27.89299,32.27679,20.96655,33.72567,33.19634,33.5921,26.52081,33.83186,34.79285,32.63844,36.15143,21.03524,28.76824,34.7694,33.4607,33.5397,31.56946,23.68631,32.22978,32.34892,21.16338,0
50,33.99028472,40.60774299,33.41098258,32.02473988,31.71791186,33.70433884,35.09415,19.17202,33.98032,30.84567,28.82702,25.64862,31.47717,20.87258,29.87476,32.05913,33.11621,19.07305,33.3938,34.16978,32.0255,34.84386,20.77248,26.0327,32.3377,32.42232,33.41631,33.77667,21.11484,30.99656,32.66202,19.64094,1
51,34.10589786,42.04609921,36.2383334,32.88098621,33.23681257,34.14462181,36.25602,21.13571,34.69762,29.87067,26.94461,21.21382,30.82054,20.96655,30.52786,34.09823,33.22555,24.88984,33.91142,35.74053,33.23688,35.50986,21.03524,26.74041,33.78234,33.63134,34.21894,32.10731,20.68433,33.49947,33.21668,21.16338,1
52,34.00143154,40.1134938,34.07086839,29.12546289,33.27352733,32.95551147,34.44617,21.13571,34.52115,33.03889,21.02797,21.21382,30.99035,20.96655,32.07428,33.10566,34.13689,21.37538,33.08364,34.55589,31.49827,36.2095,21.03524,29.36242,35.57067,32.57097,34.05552,30.82139,20.68433,32.06899,34.09446,21.16338,1
53,32.75009855,40.813705,35.17349001,30.61755921,34.8236942,33.4119737,34.96374,21.13571,35.92021,32.05335,21.02797,21.21382,33.24414,20.96655,32.32241,33.60655,34.91932,21.37538,34.11032,33.15279,33.36687,36.14278,21.03524,31.94461,35.31025,31.95719,33.65865,31.27036,23.7673,32.3789,31.29987,21.16338,0
54,33.02171023,40.63594949,34.86550427,31.75479572,33.3289947,34.46981242,34.46925,25.91081,33.82149,31.62663,25.60562,21.21382,31.34185,20.96655,31.15824,32.74368,33.01803,21.37538,33.16002,34.10977,32.41938,35.94359,21.03524,29.91341,33.9089,32.60381,33.44371,31.60903,23.27461,31.17246,32.24891,21.16338,1
55,33.19869473,40.51834789,35.85075917,32.79820506,33.28419341,32.71081703,34.3405,21.13571,34.95318,31.70477,21.02797,21.21382,33.02058,20.96655,34.02529,33.43342,33.68288,32.22112,33.97677,35.44805,34.14403,36.19535,21.03524,31.01511,35.36173,33.28713,33.13416,25.22549,20.68433,30.94541,31.08426,21.16338,1
56,32.77217486,41.32613062,34.85697118,31.82225349,33.12332748,33.84095339,34.61829,21.13571,33.69725,30.00966,23.2314,21.21382,32.35317,25.96889,31.56961,32.25847,32.67148,21.37538,32.96764,34.0627,31.1413,35.39916,21.03524,28.70898,34.1374,32.8326,33.48855,31.90009,24.14205,31.82445,32.64953,26.81366,1
57,33.80781716,40.78612536,33.74681091,31.49922266,33.38369612,33.8702574,34.77776,21.13571,34.57977,31.72001,28.46336,26.13739,31.14897,20.96655,29.33757,32.57386,33.47405,24.5577,33.38414,35.2301,32.48353,36.32658,21.03524,29.99844,34.25651,32.88513,33.63925,31.4523,20.68433,31.99081,32.66802,24.57221,1
58,34.12109118,39.68667819,34.01796966,28.83886727,33.65085545,32.45855487,33.8497,19.17202,35.02248,30.66533,20.14651,18.99387,33.75788,20.87258,32.99078,32.80878,33.72477,19.07305,31.30647,32.89607,31.89676,35.64609,20.77248,27.95618,33.77538,32.04733,33.68223,31.57882,21.11484,31.46602,33.50759,19.64094,1
59,33.86745323,41.61394278,34.56325592,31.44936141,31.7700674,34.50082604,35.4098,19.17202,32.83638,30.07407,20.14651,27.44287,28.64402,20.87258,32.25103,31.82094,32.30717,19.07305,33.80498,34.85043,32.10382,35.28534,20.77248,28.10299,33.56961,32.72442,33.53229,31.89994,21.11484,32.50846,33.41325,19.64094,1
60,33.14843352,40.04867671,34.26852777,30.76443193,32.81324407,33.83418763,34.46758,26.85754,34.28192,31.0097,25.14305,21.21382,31.43329,20.96655,29.86122,32.87538,33.30163,25.40239,33.32355,34.77039,32.21935,36.29739,21.03524,29.1652,34.65465,33.05145,32.69409,31.02668,27.55122,31.34286,32.3015,24.53065,0
61,31.3750111,40.5686121,35.00899423,31.63917995,32.78211646,33.21841088,34.81317,21.13571,33.45247,30.68899,23.66211,25.43262,31.10975,20.96655,34.57514,32.35672,33.19994,21.37538,33.11024,34.31672,32.43576,35.63788,21.03524,30.87834,34.48912,32.88494,33.95882,32.28405,27.54408,31.37255,32.85047,21.16338,1
62,34.36493357,40.73361513,33.72515878,30.55136221,32.52998766,34.24860435,33.61503,24.12726,34.24761,30.77834,21.02797,21.21382,29.19072,20.96655,25.81958,32.1779,33.5992,25.9688,33.70344,35.55298,32.6808,35.892,21.03524,20.40858,34.85734,33.20768,34.44757,30.70073,20.68433,32.24532,33.44234,21.16338,0
63,33.3766262,41.36313278,34.24809162,31.41893468,32.16689778,32.49287257,35.12126,21.13571,34.47405,32.66266,21.02797,29.88937,29.62682,20.96655,33.73139,32.18111,33.93057,21.37538,33.91331,34.88312,33.13084,35.27687,21.03524,28.00353,34.99316,32.98422,31.77973,30.90188,20.68433,32.55016,32.35999,21.16338,1
64,32.42264702,40.15545747,34.0192223,31.45686525,33.03946096,33.63364962,34.9952,27.09328,33.85918,31.70611,26.08335,26.93094,30.76052,20.96655,28.73603,32.88997,33.1031,27.72655,32.79134,34.58015,31.65081,35.84193,21.03524,30.57802,34.38434,33.02402,34.11175,31.64823,24.99559,31.10415,32.14494,21.16338,1
65,33.63816563,40.046007,33.69412032,31.03742879,33.55107961,33.47000039,34.81085,28.49344,34.14483,32.63871,27.94899,24.45134,29.93374,20.96655,27.01261,32.90598,33.54685,26.30902,33.22208,34.54371,32.42587,35.85156,21.03524,28.60206,34.59675,33.21745,32.84372,30.76352,23.98354,31.20952,32.41565,23.58895,0
66,33.89104266,39.93539587,33.6582808,32.19021927,33.19779051,33.95305167,35.39083,21.13571,32.70348,31.05675,21.02797,21.21382,27.33772,20.96655,26.56634,32.11347,33.16206,21.37538,33.17723,34.74296,32.57201,36.54812,21.03524,20.40858,33.07621,32.12262,33.62772,31.58226,23.3321,30.4325,33.05463,21.16338,1
67,34.02164849,40.56185793,33.41152752,30.07840131,32.46076115,33.76304284,34.70293,25.91902,35.21365,31.88741,20.14651,23.84181,29.44087,20.87258,30.65827,32.94143,34.13957,25.63752,33.1413,35.56517,32.87354,36.58203,20.77248,30.18461,36.82423,33.37858,32.77533,30.70137,25.43011,31.78816,33.63564,24.99302,1
68,33.50997054,40.03337916,34.47933105,32.01706801,33.33320544,33.68429324,35.33281,21.13571,34.10596,31.96011,25.54931,21.21382,31.8968,20.96655,28.71551,33.25287,33.27748,21.37538,33.09457,34.11246,31.83077,36.31204,21.03524,29.80811,34.32275,33.17178,34.23816,31.72817,20.68433,32.11436,32.3123,21.16338,1
69,32.60066546,41.93775908,36.50283192,32.44020926,32.44655514,34.1977741,34.98509,21.13571,33.96524,30.59392,25.53145,21.21382,29.27878,20.96655,33.77719,32.34447,32.47263,21.37538,33.58745,34.59406,34.27079,35.51326,21.03524,27.87981,34.26884,33.17996,34.17191,32.68806,26.25,29.83118,32.53129,21.16338,1
70,34.82043867,40.30072218,33.63152971,31.00443117,33.50308767,32.88862868,34.01533,22.51759,36.11673,30.58517,30.00494,18.99387,32.24353,20.87258,30.29053,33.80809,33.99171,29.50093,33.86722,34.56519,31.57129,37.32469,20.77248,30.64005,35.32028,33.04747,35.52523,30.02791,21.11484,32.30086,32.58082,25.12142,1
71,33.68341406,40.32249702,33.50436856,31.0453779,32.9289294,32.83115585,34.20441,26.2328,34.32025,32.24631,24.5671,22.70822,32.94972,20.87258,28.02116,33.23903,33.39588,24.09071,33.7357,34.73835,32.51382,36.80621,25.49331,27.05548,34.79344,33.92708,34.51395,31.57451,21.11484,32.32756,32.76533,22.76643,0
72,33.41975207,41.34697698,35.86454298,32.84698409,32.34277123,35.04648941,35.02656,21.13571,32.13903,28.99773,24.04252,29.47975,29.82734,20.96655,27.95268,32.31264,32.65617,21.37538,33.96415,34.28726,33.90342,34.01496,21.03524,27.55084,32.32382,32.74463,34.2202,31.87203,24.52332,30.05754,32.79881,21.16338,1
73,33.97551508,41.61825651,35.17416874,32.22306707,33.44406324,34.02267917,34.88514,21.13571,35.98841,32.64007,21.02797,21.21382,33.27759,20.96655,32.44702,33.60233,34.42869,21.37538,34.51458,35.40898,33.01431,37.55973,21.03524,31.202,34.16366,33.68426,32.4379,25.58523,20.68433,32.14435,33.86269,29.46134,1
74,33.06471228,40.8994238,33.89242611,31.3591819,33.63447351,33.6364522,35.66098,23.36921,35.01569,31.82421,24.06888,23.40939,31.71221,20.96655,33.51901,32.4681,33.61464,21.37538,33.66661,34.13316,32.60321,36.45704,21.03524,30.63064,35.04645,32.69879,34.9935,31.87918,23.70731,32.38749,32.84108,21.16338,0
75,33.35237539,41.46876786,35.93346658,32.16430032,33.44650093,35.32901794,35.35898,23.21898,33.53365,31.12093,20.14651,27.02593,33.25278,20.87258,36.91295,33.11354,33.4516,19.07305,33.4749,35.65752,32.21133,35.62222,25.33436,28.08496,34.56644,33.10375,33.69261,31.15583,21.11484,32.47826,33.02507,24.52052,1
76,32.86337462,41.30765066,33.82443057,30.96389168,31.62623139,33.13015281,34.71827,24.45949,33.8798,30.84969,25.34321,25.85674,31.86624,20.87258,32.43001,32.46003,33.35837,24.47242,33.28091,34.55287,32.14569,35.80826,20.77248,28.64912,33.66815,32.64423,33.17802,30.25043,21.11484,30.81186,32.50078,25.38184,1
77,33.97640951,40.68717721,35.78739309,33.42099364,33.43203063,34.18388056,33.23523,21.13571,33.61502,31.48214,21.02797,21.21382,31.88109,20.96655,33.98038,32.48019,33.78751,21.37538,34.06968,35.21564,33.2947,35.81864,21.03524,29.13376,34.72029,32.79234,34.15448,30.71226,23.54526,31.11542,33.10792,21.16338,1
78,33.06003416,39.62812286,33.58512395,31.43473512,33.41987396,33.61113974,34.82022,25.34626,33.14495,30.91838,21.02797,25.7494,30.3888,20.96655,27.88446,32.65746,33.18074,26.48369,32.74629,34.36534,31.85069,35.45464,21.03524,29.68416,33.74316,32.39766,33.41899,30.81451,20.68433,31.38613,32.69467,22.92772,0
