,feature_idx,cv_scores,avg_score,feature_names
28,"(3929, 9532, 10307, 10942, 12317, 12659, 13056, 14654, 15554, 16055, 16185, 21792, 26832, 27895, 29507, 29827, 31712, 34317, 34378, 35420, 36380, 37184, 38495, 39768, 41104, 41244, 42368, 42731)",[0.73385067],0.7338506664533997,"('ATP5G2P1', 'DLGAP4', 'EIF4A1P9', 'FAM172BP', 'GJA9', 'GPR155', 'GYPE', 'IL25', 'KLHL5', 'LANCL1-AS1', 'LEMD1', 'PCMT1', 'RP11-120J4.1', 'RP11-20G6.3', 'RP11-349G13.2', 'RP11-374M1.2', 'RP11-536C10.21', 'RP11-95G17.2', 'RP11-96O20.4', 'RP5-827C21.1', 'RPS12P26', 'SDR42E1', 'SNORD113-5', 'TARBP2', 'TRAV41', 'TRIM43B', 'VN2R17P', 'XPC')"
29,"(3929, 9532, 10307, 10942, 11056, 12317, 12659, 13056, 14654, 15554, 16055, 16185, 21792, 26832, 27895, 29507, 29827, 31712, 34317, 34378, 35420, 36380, 37184, 38495, 39768, 41104, 41244, 42368, 42731)",[0.74551448],0.7455144756325536,"('ATP5G2P1', 'DLGAP4', 'EIF4A1P9', 'FAM172BP', 'FAM224A', 'GJA9', 'GPR155', 'GYPE', 'IL25', 'KLHL5', 'LANCL1-AS1', 'LEMD1', 'PCMT1', 'RP11-120J4.1', 'RP11-20G6.3', 'RP11-349G13.2', 'RP11-374M1.2', 'RP11-536C10.21', 'RP11-95G17.2', 'RP11-96O20.4', 'RP5-827C21.1', 'RPS12P26', 'SDR42E1', 'SNORD113-5', 'TARBP2', 'TRAV41', 'TRIM43B', 'VN2R17P', 'XPC')"
30,"(399, 3929, 9532, 10307, 10942, 11056, 12317, 12659, 13056, 14654, 15554, 16055, 16185, 21792, 26832, 27895, 29507, 29827, 31712, 34317, 34378, 35420, 36380, 37184, 38495, 39768, 41104, 41244, 42368, 42731)",[0.75840194],0.758401942332952,"('AC005307.1', 'ATP5G2P1', 'DLGAP4', 'EIF4A1P9', 'FAM172BP', 'FAM224A', 'GJA9', 'GPR155', 'GYPE', 'IL25', 'KLHL5', 'LANCL1-AS1', 'LEMD1', 'PCMT1', 'RP11-120J4.1', 'RP11-20G6.3', 'RP11-349G13.2', 'RP11-374M1.2', 'RP11-536C10.21', 'RP11-95G17.2', 'RP11-96O20.4', 'RP5-827C21.1', 'RPS12P26', 'SDR42E1', 'SNORD113-5', 'TARBP2', 'TRAV41', 'TRIM43B', 'VN2R17P', 'XPC')"
31,"(399, 3443, 3929, 9532, 10307, 10942, 11056, 12317, 12659, 13056, 14654, 15554, 16055, 16185, 21792, 26832, 27895, 29507, 29827, 31712, 34317, 34378, 35420, 36380, 37184, 38495, 39768, 41104, 41244, 42368, 42731)",[0.76891217],0.7689121718458352,"('AC005307.1', 'AQP7P4', 'ATP5G2P1', 'DLGAP4', 'EIF4A1P9', 'FAM172BP', 'FAM224A', 'GJA9', 'GPR155', 'GYPE', 'IL25', 'KLHL5', 'LANCL1-AS1', 'LEMD1', 'PCMT1', 'RP11-120J4.1', 'RP11-20G6.3', 'RP11-349G13.2', 'RP11-374M1.2', 'RP11-536C10.21', 'RP11-95G17.2', 'RP11-96O20.4', 'RP5-827C21.1', 'RPS12P26', 'SDR42E1', 'SNORD113-5', 'TARBP2', 'TRAV41', 'TRIM43B', 'VN2R17P', 'XPC')"
32,"(399, 3224, 3443, 3929, 9532, 10307, 10942, 11056, 12317, 12659, 13056, 14654, 15554, 16055, 16185, 21792, 26832, 27895, 29507, 29827, 31712, 34317, 34378, 35420, 36380, 37184, 38495, 39768, 41104, 41244, 42368, 42731)",[0.78001549],0.7800154866603932,"('AC005307.1', 'AP001055.6', 'AQP7P4', 'ATP5G2P1', 'DLGAP4', 'EIF4A1P9', 'FAM172BP', 'FAM224A', 'GJA9', 'GPR155', 'GYPE', 'IL25', 'KLHL5', 'LANCL1-AS1', 'LEMD1', 'PCMT1', 'RP11-120J4.1', 'RP11-20G6.3', 'RP11-349G13.2', 'RP11-374M1.2', 'RP11-536C10.21', 'RP11-95G17.2', 'RP11-96O20.4', 'RP5-827C21.1', 'RPS12P26', 'SDR42E1', 'SNORD113-5', 'TARBP2', 'TRAV41', 'TRIM43B', 'VN2R17P', 'XPC')"
33,"(399, 3224, 3443, 3929, 9532, 10307, 10942, 11056, 12317, 12659, 13056, 14654, 15554, 16055, 16185, 21792, 26832, 27895, 29507, 29827, 31712, 34317, 34378, 35420, 35659, 36380, 37184, 38495, 39768, 41104, 41244, 42368, 42731)",[0.79125575],0.7912557533271665,"('AC005307.1', 'AP001055.6', 'AQP7P4', 'ATP5G2P1', 'DLGAP4', 'EIF4A1P9', 'FAM172BP', 'FAM224A', 'GJA9', 'GPR155', 'GYPE', 'IL25', 'KLHL5', 'LANCL1-AS1', 'LEMD1', 'PCMT1', 'RP11-120J4.1', 'RP11-20G6.3', 'RP11-349G13.2', 'RP11-374M1.2', 'RP11-536C10.21', 'RP11-95G17.2', 'RP11-96O20.4', 'RP5-827C21.1', 'RPL10P13', 'RPS12P26', 'SDR42E1', 'SNORD113-5', 'TARBP2', 'TRAV41', 'TRIM43B', 'VN2R17P', 'XPC')"
34,"(399, 3224, 3443, 3929, 8301, 9532, 10307, 10942, 11056, 12317, 12659, 13056, 14654, 15554, 16055, 16185, 21792, 26832, 27895, 29507, 29827, 31712, 34317, 34378, 35420, 35659, 36380, 37184, 38495, 39768, 41104, 41244, 42368, 42731)",[0.80112222],0.8011222187108292,"('AC005307.1', 'AP001055.6', 'AQP7P4', 'ATP5G2P1', 'CTD-2337A12.1', 'DLGAP4', 'EIF4A1P9', 'FAM172BP', 'FAM224A', 'GJA9', 'GPR155', 'GYPE', 'IL25', 'KLHL5', 'LANCL1-AS1', 'LEMD1', 'PCMT1', 'RP11-120J4.1', 'RP11-20G6.3', 'RP11-349G13.2', 'RP11-374M1.2', 'RP11-536C10.21', 'RP11-95G17.2', 'RP11-96O20.4', 'RP5-827C21.1', 'RPL10P13', 'RPS12P26', 'SDR42E1', 'SNORD113-5', 'TARBP2', 'TRAV41', 'TRIM43B', 'VN2R17P', 'XPC')"
35,"(399, 3224, 3443, 3929, 8301, 9532, 10307, 10942, 11056, 12317, 12659, 13056, 13282, 14654, 15554, 16055, 16185, 21792, 26832, 27895, 29507, 29827, 31712, 34317, 34378, 35420, 35659, 36380, 37184, 38495, 39768, 41104, 41244, 42368, 42731)",[0.81042092],0.8104209192898619,"('AC005307.1', 'AP001055.6', 'AQP7P4', 'ATP5G2P1', 'CTD-2337A12.1', 'DLGAP4', 'EIF4A1P9', 'FAM172BP', 'FAM224A', 'GJA9', 'GPR155', 'GYPE', 'HERPUD2', 'IL25', 'KLHL5', 'LANCL1-AS1', 'LEMD1', 'PCMT1', 'RP11-120J4.1', 'RP11-20G6.3', 'RP11-349G13.2', 'RP11-374M1.2', 'RP11-536C10.21', 'RP11-95G17.2', 'RP11-96O20.4', 'RP5-827C21.1', 'RPL10P13', 'RPS12P26', 'SDR42E1', 'SNORD113-5', 'TARBP2', 'TRAV41', 'TRIM43B', 'VN2R17P', 'XPC')"
36,"(399, 3224, 3443, 3929, 8301, 9532, 10307, 10942, 11056, 12317, 12659, 13056, 13282, 14654, 15554, 16055, 16185, 21792, 26832, 27895, 29507, 29827, 31712, 34317, 34378, 35420, 35659, 36380, 36522, 37184, 38495, 39768, 41104, 41244, 42368, 42731)",[0.81874999],0.818749990410514,"('AC005307.1', 'AP001055.6', 'AQP7P4', 'ATP5G2P1', 'CTD-2337A12.1', 'DLGAP4', 'EIF4A1P9', 'FAM172BP', 'FAM224A', 'GJA9', 'GPR155', 'GYPE', 'HERPUD2', 'IL25', 'KLHL5', 'LANCL1-AS1', 'LEMD1', 'PCMT1', 'RP11-120J4.1', 'RP11-20G6.3', 'RP11-349G13.2', 'RP11-374M1.2', 'RP11-536C10.21', 'RP11-95G17.2', 'RP11-96O20.4', 'RP5-827C21.1', 'RPL10P13', 'RPS12P26', 'RPS27P20', 'SDR42E1', 'SNORD113-5', 'TARBP2', 'TRAV41', 'TRIM43B', 'VN2R17P', 'XPC')"
37,"(399, 3224, 3443, 3929, 8301, 9532, 10307, 10942, 11056, 12317, 12659, 13056, 13282, 14654, 15554, 16055, 16185, 20728, 21792, 26832, 27895, 29507, 29827, 31712, 34317, 34378, 35420, 35659, 36380, 36522, 37184, 38495, 39768, 41104, 41244, 42368, 42731)",[0.82666436],0.8266643626327161,"('AC005307.1', 'AP001055.6', 'AQP7P4', 'ATP5G2P1', 'CTD-2337A12.1', 'DLGAP4', 'EIF4A1P9', 'FAM172BP', 'FAM224A', 'GJA9', 'GPR155', 'GYPE', 'HERPUD2', 'IL25', 'KLHL5', 'LANCL1-AS1', 'LEMD1', 'OR13K1P', 'PCMT1', 'RP11-120J4.1', 'RP11-20G6.3', 'RP11-349G13.2', 'RP11-374M1.2', 'RP11-536C10.21', 'RP11-95G17.2', 'RP11-96O20.4', 'RP5-827C21.1', 'RPL10P13', 'RPS12P26', 'RPS27P20', 'SDR42E1', 'SNORD113-5', 'TARBP2', 'TRAV41', 'TRIM43B', 'VN2R17P', 'XPC')"
